"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","extreme1","extreme2","plotnames"
"Jesus","Medina","Jesus Medina",2019,"NYC",764,"Wing",113,0.779,0.742,4.19082968682051,3.70869883789425,17.2448007765021,1.30943181818182,870.833,14.1989528795812,0.778761061946903,0.74167407356796,0.526596400438179,3.70869883789425,17.2448007765021,1.30943181818182,340,405,"Medina"
"Przemyslaw","Frankowski","Przemyslaw Frankowski",2019,"CHI",2478,"Wing",510,0.688,0.68,4.11163407936692,0.80620276066018,16.4628726092482,-1.92878917378917,661.688,19.7578692493947,0.688235294117647,0.680173266511045,0.159288487336249,0.80620276066018,16.4628726092482,-1.92878917378917,175,207,"Frankowski"
"Oriol","Rosell","Oriol Rosell",2019,"ORL",1594,"CM",136,0.838,0.809,4.04387947171926,2.97344078802887,17.8561072021767,2.91131578947368,522.5,8.19071518193225,0.838235294117647,0.808500886237358,0.243546066050846,2.97344078802887,17.8561072021767,2.91131578947368,519,507,"Rosell"
"Chase","Gasper","Chase Gasper",2019,"MIN",1400,"FB/WB",183,0.683,0.661,3.99226465076207,2.1815653829301,16.7670599164067,-5.16396,56.25,12.5485714285714,0.683060109289617,0.661244455460317,0.273755290337971,2.1815653829301,16.7670599164067,-5.16396,132,197,"Gasper"
"Rece","Buckmaster","Rece Buckmaster",2019,"NYRB",494,"FB/WB",75,0.8,0.747,3.9811210334301,5.30816137790681,12.2702195695854,1.97991666666667,NA,14.5748987854251,0.8,0.746918386220932,0.773659148196943,5.30816137790681,12.2702195695854,1.97991666666667,356,446,"Buckmaster"
"John","Nelson","John Nelson",2019,"FCD",510,"FB/WB",85,0.765,0.72,3.77901318669319,4.44589786669787,16.1376650917656,0.145076923076924,113,16,0.764705882352941,0.720246903685962,0.711343658671659,4.44589786669787,16.1376650917656,0.145076923076924,282,377,"Nelson"
"Andrew","Gutman","Andrew Gutman",2019,"CIN",524,"FB/WB",62,0.694,0.633,3.76379681378604,6.07064002223554,15.4986703942355,1.73302325581395,NA,11.3587786259542,0.693548387096774,0.632841986874419,0.689550561304312,6.07064002223554,15.4986703942355,1.73302325581395,82,217,"Gutman"
"Andres","Flores","Andres Flores",2019,"POR",836,"Wing",94,0.84,0.801,3.72156085819006,3.95910729594687,14.9751822810723,-0.189240506329114,70.25,10.7942583732057,0.840425531914894,0.800834458955425,0.427356270796945,3.95910729594687,14.9751822810723,-0.189240506329114,504,509,"Flores"
"Wayne","Rooney","Wayne Rooney",2019,"DCU",2495,"F",475,0.667,0.66,3.71062727272512,0.781184688994763,23.2953983654205,-0.734621451104101,3507.5,18.2765531062124,0.667368421052632,0.659556574162684,0.142773634541728,0.781184688994763,23.2953983654205,-0.734621451104101,126,172,"Rooney"
"Lucas","Rodriguez","Lucas Rodriguez",2019,"DCU",2922,"Wing",294,0.803,0.79,3.68185720965266,1.2523323842356,14.9825076211584,0.0511652542372881,298.55,9.65913757700205,0.802721088435374,0.790197764593018,0.120964507914667,1.2523323842356,14.9825076211584,0.0511652542372881,477,447,"Rodriguez"
"Jorge","Corrales","Jorge Corrales",2019,"CHI,MTL",1196,"FB/WB",155,0.742,0.718,3.6817502975464,2.37532277261058,15.9140869333403,0.216,70.875,12.4414715719064,0.741935483870968,0.718182256144862,0.295525107495363,2.37532277261058,15.9140869333403,0.216,276,326,"Corrales"
"Brandon","Bye","Brandon Bye",2019,"NER",2873,"FB/WB",416,0.627,0.619,3.60707695782184,0.86708580716871,15.3494458153756,-0.553850574712643,63.245,13.9004524886878,0.627403846153846,0.618732988082159,0.120528850661642,0.86708580716871,15.3494458153756,-0.553850574712643,62,96,"Bye"
"Jordan","Morris","Jordan Morris",2019,"SEA",2162,"Wing",306,0.725,0.714,3.5511109754443,1.16049378282493,15.1623808611334,-3.08894144144144,619.6,13.5874190564292,0.725490196078431,0.713885258250182,0.157681153396232,1.16049378282493,15.1623808611334,-3.08894144144144,262,285,"Morris"
"Mathieu","Choiniere","Mathieu Choiniere",2019,"MTL",694,"Wing",99,0.828,0.793,3.44596873223781,3.48077649720991,14.2960871338909,-2.81609756097561,86.39,13.6945244956772,0.828282828282828,0.793475063310729,0.476675790050188,3.48077649720991,14.2960871338909,-2.81609756097561,488,494,"Choiniere"
"Edgar","Castillo","Edgar Castillo",2019,"NER",1802,"FB/WB",237,0.759,0.745,3.41432662308216,1.44064414476041,14.4052783753177,2.08852777777778,250,12.6259711431743,0.759493670886076,0.745087229438472,0.181895313993278,1.44064414476041,14.4052783753177,2.08852777777778,352,367,"Castillo"
