Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
117,Servando Carrasco/Servando-Carrasco,us USA,MF,LA Galaxy,30,1988,4.4,46.8,3.18,16.6,26.6,6.14,0.23,45.9,0.23,0.45,50,0.45,0,25.7,84.1,38,29.5,117,90,0.23,0.91,Matches
118,Julio Cascante/Julio-Cascante,cr CRC,DF,Portland,25,1993,16,49.4,6.69,28.6,22.9,1.69,1.06,47.8,0.5,0.5,100,0.5,1,30.1,158.7,95.8,30.6,477,97.5,0.19,0.13,Matches
119,Cristian Cásseres/Cristian-Casseres,ve VEN,MF,NY Red Bulls,19,2000,20,58.8,1.1,9.7,34,19.3,1.75,57.5,1.05,2.55,41.2,1.15,1,38.4,190.1,108.5,38.6,689,89.1,1.3,1.5,Matches
120,Valentín Castellanos/Valentin-Castellanos,ar ARG,FW,NYCFC,20,1998,22.8,37.5,1.05,1.97,14.7,22.2,6.54,35.8,1.49,2.41,61.8,1.58,6,26,136.1,71.6,47.8,631,57.9,3.46,2.28,Matches
121,Edgar Castillo/Edgar-Castillo,us USA,DF,New England,32,1986,18.8,61.2,2.66,16.6,31.2,16.4,1.49,51,1.44,2.23,64.3,1.44,0,37.4,184.8,119.6,36,617,91.1,1.17,0.85,Matches
122,Emanuel Cecchini/Emanuel-Cecchini,ar ARG,MF,Seattle,22,1996,1.7,71.8,1.18,18.2,44.1,12.4,1.18,71.2,2.94,3.53,83.3,2.94,0,51.2,270,132.4,57.1,92,94.8,1.76,2.94,Matches
123,Darwin Cerén/Darwin-Ceren,sv SLV,MF,Houston,29,1989,6,64.2,3.67,16.8,39.8,10.3,1,62.5,1.5,2.5,60,1.5,0,49.5,236.2,82.5,44.3,254,95.5,0.33,0.83,Matches
124,Edwin Cerrillo/Edwin-Cerrillo,us USA,MF,FC Dallas,18,2000,10.2,66.2,3.53,26.5,36.2,7.65,0.1,64.4,0.49,0.69,71.4,0.59,0,49.6,244,99.2,49.5,485,96,0.88,0.69,Matches
125,Thomás Chacón/Thomas-Chacon,uy URU,FW,Minnesota,18,2000,0.9,43.3,0,5.56,15.6,24.4,5.56,43.3,0,2.22,0,0,0,34.4,242.2,137.8,42.2,30,78.9,3.33,3.33,Matches
126,Maxime Chanot/Maxime-Chanot,lu LUX,DF,NYCFC,29,1989,31,63.5,9.1,43.3,22.3,1.35,0.52,61.6,0.39,0.42,92.3,0.39,2,37.5,202,83.2,39.8,1205,97.6,0.16,0.19,Matches
127,Jay Chapman/Jay-Chapman,ca CAN,MFFW,Toronto FC,25,1994,5.9,57.8,0.51,8.47,24.9,27.8,5.42,56.3,1.53,2.03,75,1.53,0,46.9,290.5,129,52.4,257,83.2,2.03,1.02,Matches
128,Diego Chará/Diego-Chara,co COL,MF,Portland,32,1986,29,70.8,3.62,19.8,44.4,12.8,0.79,69.6,1.1,1.31,84.2,1.1,1,51.8,294.5,181.5,52.6,1440,94.4,0.83,0.62,Matches
129,Michaell Chirinos/Michaell-Chirinos,hn HON,MFFW,Vancouver,23,1995,4.6,43.9,0.65,6.09,19.6,22.6,3.7,42.8,1.74,3.26,53.3,1.96,0,36.5,253,150.4,42.6,152,77.6,2.39,2.17,Matches
130,Mathieu Choiniere/Mathieu-Choiniere,ca CAN,FWMF,Montreal,19,1999,7.6,44.2,0.26,6.97,20.5,21.2,2.24,43.7,1.97,3.16,62.5,2.11,0,33.8,221.7,114.3,47.4,243,67.5,2.5,2.5,Matches
131,Laurent Ciman/Laurent-Ciman,be BEL,DF,Toronto FC,33,1985,14,66.6,7.07,35.3,31.6,3.36,0.57,63.9,0.21,0.21,100,0.21,0,44.6,215.1,133.6,46.9,647,98.6,0.14,0,Matches
132,Ricardo Clark/Ricardo-Clark,us USA,MF,Columbus,35,1983,4,64.3,2,18.8,40.3,9.25,0.75,63.8,1.75,1.75,100,1.75,1,44.5,199,83.3,43.3,163,94.2,1.5,1.5,Matches
133,Steve Clark/Steve-Clark,us USA,GK,Portland,32,1986,24,36.6,29.8,36.3,0.25,0.08,0,25.2,0,0,,0,0,17.6,91.6,57.8,13.5,322,99.4,0.04,0,Matches
134,Aurélien Collin/Aurelien-Collin,fr FRA,DF,Philadelphia,32,1986,5.9,64.4,6.27,29.3,35.3,3.9,1.02,63.7,0.17,0.34,50,0.34,0,39.7,223.9,133.2,42.7,246,97.6,0.34,0,Matches
135,Josué Colmán/Josue-Colman,py PAR,FWMF,Orlando City,20,1998,1.8,68.3,0,6.11,32.2,38.3,2.78,62.8,4.44,4.44,100,4.44,1,58.3,436.7,265.6,61.1,90,81.8,2.78,3.89,Matches
136,Tomás Conechny/Tomas-Conechny,ar ARG,FWMF,Portland,20,1998,4,72,0.75,7,33.3,39.8,5.5,70,2.25,5,45,2.25,0,54.8,400.3,222.8,66.8,221,82.8,2.75,2.5,Matches
137,Derek Cornelius/Derek-Cornelius,ca CAN,DF,Vancouver,21,1997,15.8,56.1,11.6,37.9,20,1.14,0.51,54.9,0.06,0.06,100,0.06,0,35.4,166.9,72.2,37.2,574,97.6,0.06,0.06,Matches
138,Joe Corona/Joe-Corona,us USA,MF,LA Galaxy,28,1990,25.8,74.8,1.2,12.6,49.3,18.4,1.09,73.7,2.25,3.18,70.7,2.33,3,60.4,289.8,136.7,59.3,1423,93.1,0.81,2.25,Matches
139,Carlos Coronel/Carlos-Coronel,br BRA,GK,Philadelphia,22,1996,3.6,31.7,29.2,31.7,0,0,0,23.1,0,0,,0,0,16.7,81.7,46.7,11.1,40,100,0,0,Matches
140,Warren Creavalle/Warren-Creavalle,us USA,MF,Philadelphia,28,1990,4.1,46.6,2.44,11.5,25.9,12.4,1.95,46.6,0.98,0.98,100,0.98,0,34.1,161.7,76.3,34.4,122,86.5,1.71,1.95,Matches
141,Maxime Crépeau/Maxime-Crepeau,ca CAN,GK,Vancouver,24,1994,26,40.5,36.6,40.5,0.12,0.04,0,26.2,0.08,0.12,66.7,0.12,0,16.4,74.7,43.5,13.4,347,99.7,0,0,Matches
142,Alex Crognale/Alex-Crognale,us USA,DF,Columbus,24,1994,9.8,48.7,5.61,29,20.7,1.43,0.92,47.7,0,0.2,0,0.1,0,29.7,174.4,89,31.2,298,97.4,0.1,0.1,Matches
143,Yohan Croizet/Yohan-Croizet,fr FRA,FWDF,Sporting KC,26,1992,12.1,49.8,1.57,8.6,23.8,21.7,2.64,44.4,2.64,4.21,62.7,3.06,2,36.7,258.9,146.3,47,387,68,2.98,2.07,Matches
144,Cody Cropper/Cody-Cropper,us USA,GK,New England,25,1993,7,30.1,25.9,30.1,0,0,0,20,0.14,0.14,100,0.14,0,12,54,33,8,55,98.2,0,0,Matches
145,Allan Cruz/Allan-Cruz,cr CRC,MFFW,FC Cincinnati,22,1996,19.3,38.4,0.88,7.93,18.9,14.3,3.11,37.5,0.52,1.3,40,0.57,0,25.5,165.8,84,37.5,479,66.2,1.97,1.04,Matches
146,Emil Cuello/Emil-Cuello,us USA,MFFW,LA Galaxy,21,1997,2.2,48.6,1.36,9.09,20.9,22.7,4.55,48.2,1.36,3.18,42.9,1.36,0,34.1,215.9,110.9,40.9,66,73.3,4.55,3.64,Matches
147,Harold Cummings/Harold-Cummings,pa PAN,DF,San Jose,26,1992,15.4,70.1,9.03,47.9,24.5,1.49,0.39,68.4,0.71,0.78,91.7,0.71,1,48.3,242.7,141.9,47.8,729,99,0.13,0.39,Matches
148,Rashawn Dally/Rashawn-Dally,jm JAM,FW,FC Cincinnati,22,1997,6,36,0.67,2.17,19.3,16.7,3.33,32.7,1.67,3.33,50,1.83,1,24.7,170.3,50.2,50.5,152,50.2,3.83,2.83,Matches
149,Mario Daniel Vega/Mario-Daniel-Vega,ar ARG,GK,San Jose,34,1984,34,37.9,35.7,37.8,0.12,0,0,28,0,0,,0,0,20,88.7,38.5,18.8,638,100,0.06,0,Matches
150,Abu Danladi/Abu-Danladi,gh GHA,FWMF,Minnesota,23,1995,8,40.8,0.5,3.88,15.1,24.8,6.25,40.3,1.13,2.5,45,1.38,1,32,182,98.9,49.9,234,58.6,4.13,2.38,Matches
151,Juan David Cabezas/Juan-David-Cabezas,co COL,MF,Houston,27,1991,6,52,2.67,20.2,29.5,4.17,1.17,51.3,0.5,0.67,75,0.5,0,31.5,135.3,54.7,30.3,168,92.3,0.83,1,Matches
152,Sean Davis/Sean-Davis,us USA,MF,NY Red Bulls,25,1993,28.4,67.1,2.85,15.2,40.6,14.4,0.92,64.3,0.6,0.67,89.5,0.6,0,38.6,146.3,77.1,40.4,1062,92.7,0.42,0.7,Matches
153,Alex DeJohn/Alex-DeJohn,us USA,DF,Orlando City,27,1991,4.5,38.9,9.33,26,13.6,1.78,0.44,36.9,0,0,,0,0,17.3,128.4,55.1,17.6,79,100,0,0.22,Matches
154,A.J. DeLaGarza/AJ-DeLaGarza,gu GUM,DF,Houston,31,1987,22.1,54.4,3.12,18,27.5,12,0.77,44.6,0.27,0.41,66.7,0.27,1,30,152.8,74.2,31.9,662,93.8,0.41,0.36,Matches
155,Antonio Delamea Mlinar/Antonio-Delamea-Mlinar,si SVN,DF,New England,27,1991,15.2,49.5,6.38,26.7,24.2,1.51,0.59,48,0.26,0.26,100,0.26,0,26.9,150.5,80.7,25.9,388,98.5,0.13,0.26,Matches
156,Jordy Delem/Jordy-Delem,mq MTQ,MF,Seattle,25,1993,16,52.6,3.63,17.4,32.4,5.38,0.44,51.8,0.81,1.13,72.2,0.81,1,32.8,155.3,68.6,32.8,498,94.9,0.38,0.69,Matches
157,Nick DeLeon/Nick-DeLeon,us USA,MFFW,Toronto FC,28,1990,20.6,56.9,1.7,10.6,25.2,25.4,3.93,54.4,1.55,2.82,55.2,1.7,2,42.4,283.9,151,49.9,839,81.7,1.75,1.55,Matches
158,Marky Delgado/Marky-Delgado,us USA,MF,Toronto FC,23,1995,28.3,76.5,1.24,11.9,42.7,26.8,2.3,75.8,0.74,1.34,55.3,0.74,3,58.7,268.3,146.5,65.5,1671,90.2,1.17,1.27,Matches
159,Mathieu Deplagne/Mathieu-Deplagne,fr FRA,DF,FC Cincinnati,27,1991,31.9,59.1,4.58,20.4,29.2,12.5,1.44,50.3,0.78,1.19,65.8,0.82,2,33.8,167.1,91.6,36,1035,90.2,0.69,0.66,Matches
160,Maikel van der Werff/Maikel-van-der-Werff,nl NED,DF,FC Cincinnati,29,1989,11,52.9,9.09,31.8,23.5,1.55,0.55,50.5,0.18,0.27,66.7,0.18,0,28.3,174.6,83,30.9,328,96.5,0.27,0.09,Matches
161,Tyler Deric/Tyler-Deric,us USA,GK,Houston,30,1988,7,34.6,30.6,34.4,0.14,0,0,21.9,0,0.14,0,0,0,15,81.3,50.4,9.71,68,100,0,0,Matches
162,Justin Dhillon/Justin-Dhillon,us USA,FW,Seattle,23,1995,2.9,24.5,1.03,2.76,11.4,11.7,5.17,22.4,0.69,1.72,40,0.69,0,11.7,47.6,12.4,39,46,40.7,2.76,1.03,Matches
163,Zakaria Diallo/Zakaria-Diallo,fr FRA,DF,Montreal,32,1986,22.6,67.6,5.93,35.1,35.5,2.52,0.84,65.2,0.49,0.62,78.6,0.53,1,46,300.5,177.3,47.4,1050,97.9,0.27,0.31,Matches
164,Luis Díaz/Luis-Diaz,cr CRC,FWMF,Columbus,20,1998,8.8,32.8,0.23,3.3,13.1,19.8,3.75,31.8,2.27,3.52,64.5,2.5,5,28.2,220.5,145.5,33.5,212,71.9,1.59,1.93,Matches
165,Eric Dick/Eric-Dick,us USA,GK,Sporting KC,24,1994,1,31,27,30,0,1,0,22,0,0,,0,0,15,78,58,9,9,100,0,0,Matches
166,Claude Dielna/Claude-Dielna,GPE,DF,Portland,31,1987,12.1,63.1,7.77,33.7,31.5,3.31,1.4,61.6,0.25,0.33,75,0.25,0,35.8,231.7,154.4,39.5,471,98.5,0.25,0.17,Matches
167,Adama Diomande/Adama-Diomande,no NOR,FW,Los Angeles FC,28,1990,16,36.8,0.5,1.56,15.9,22.5,6.88,34.7,2.69,4.25,63.2,2.75,2,28.3,203.5,123.5,43.3,433,62.5,2.81,2.94,Matches
168,Clément Diop/Clement-Diop,sn SEN,GK,Montreal,25,1993,2,31,27.5,31,0,0,0,19.5,0,0,,0,0,12.5,77.5,27.5,9,18,100,0,0,Matches
169,Griffin Dorsey/Griffin-Dorsey,us USA,DF,Toronto FC,19,1999,0,2,0,0,0,2,1,2,0,0,,0,0,1,0,0,2,2,100,1,0,Matches
170,Jonathan dos Santos/Jonathan-dos-Santos,mx MEX,MF,LA Galaxy,28,1990,28.2,85.9,1.81,22.3,51.8,18.4,0.5,80.1,1.84,2.34,78.8,1.91,2,63.7,316.3,160.6,61.4,1672,96.5,1.03,1.42,Matches
171,Hassani Dotson/Hassani-Dotson,us USA,DFMF,Minnesota,21,1997,15.7,56.4,3.76,18.3,27.8,14.5,1.02,53.6,0.89,1.4,63.6,0.96,1,34.8,200.2,112.3,36.1,512,90.3,1.02,1.21,Matches
172,Kyle Duncan/Kyle-Duncan,us USA,DF,NY Red Bulls,21,1997,12,63.7,2.75,17.7,27.8,20.8,1.17,50.4,1.92,3.17,60.5,1.92,0,34.3,212.4,118.2,28.9,298,85.9,1.08,1.67,Matches
173,Chris Durkin/Chris-Durkin,us USA,MF,D.C. United,18,2000,7.1,66.2,5.92,19.4,40.6,9.58,0.42,65.4,0.7,1.41,50,0.99,1,45.6,189.6,77.9,48,319,93.5,0.85,0.85,Matches
174,Chris Duvall/Chris-Duvall,us USA,DF,Houston,27,1991,1,70,4,23,36,14,0,64,0,0,,0,0,46,186,94,46,45,97.8,1,2,Matches
175,Dom Dwyer/Dom-Dwyer,us USA,FW,Orlando City,28,1990,18,24.7,0.61,1.22,10.2,14,5.06,22.8,0.56,1,55.6,0.56,2,15.4,89.7,41.8,39.6,339,47.5,2.83,2.17,Matches
176,Jeremy Ebobisse/Jeremy-Ebobisse,us USA,FW,Portland,21,1997,25.6,32.2,1.17,3.36,13.4,17.2,4.45,31.7,0.55,1.05,51.9,0.63,1,22,113.8,47.8,39.4,633,62.8,2.03,1.17,Matches
177,Raheem Edwards/Raheem-Edwards,ca CAN,DF,Chicago,23,1995,2.7,64.1,2.22,18.9,34.4,18.5,3.33,58.1,2.22,2.96,75,2.22,2,41.1,309.6,208.1,39.6,100,93.5,1.85,1.11,Matches
178,Alberth Elis/Alberth-Elis,hn HON,FWMF,Houston,22,1996,21.4,44.3,0.37,3.08,17.3,28.2,8.93,42.8,2.34,5.56,42,2.66,7,34.2,312.7,225.6,52,744,66.9,3.22,2.06,Matches
179,Jack Elliott/Jack-Elliott,eng ENG,DF,Philadelphia,23,1995,34,61.2,7.06,33.6,29,3.5,1.5,59.9,0.41,0.47,87.5,0.41,0,38.8,215.1,116.2,38.4,1283,98.3,0.24,0.35,Matches
180,Tsubasa Endoh/Tsubasa-Endoh,jp JPN,FWMF,Toronto FC,25,1993,9.7,43.7,0.93,4.54,15.6,25.8,3.3,41.2,0.93,1.34,69.2,0.93,0,32.7,183.6,90.4,46.9,327,71.9,0.93,0.72,Matches
181,Marcus Epps/Marcus-Epps,us USA,MFDF,NY Red Bulls,24,1995,1.2,60.8,0,5,24.2,35,2.5,55.8,4.17,5.83,71.4,4.17,0,50,339.2,209.2,55,52,78.8,3.33,4.17,Matches
182,Jon Erice/Jon-Erice,es ESP,MF,Vancouver,32,1986,19.4,67.6,4.28,24.7,40.4,5.67,0.21,66,0.31,0.52,60,0.31,1,46.5,175.4,82.7,50.2,929,95.5,0.41,0.62,Matches
183,Magnus Eriksson/Magnus-Eriksson,se SWE,MF,San Jose,28,1990,31.1,68.7,1.13,5.85,33.6,34.3,3.5,62.8,0.9,1.45,62.2,0.93,1,51.2,304.4,149.3,61.5,1605,83.9,1.9,1.16,Matches
184,Franco Escobar/Franco-Escobar,ar ARG,DF,Atlanta,23,1995,22.4,63,3.08,19.6,30.2,17.2,1.74,54.8,1.03,1.7,60.5,1.29,0,38.7,225.3,127.8,42.3,835,88.2,1.16,1.12,Matches
185,Cristian Espinoza/Cristian-Espinoza,ar ARG,FWMF,San Jose,23,1995,28,64.1,0.32,5.43,24.7,39.9,4.82,58.2,2.93,4.96,59,3.11,7,51.7,427.4,259.6,58.5,1342,81.9,2.39,1.71,Matches
186,Roger Espinoza/Roger-Espinoza,hn HON,MF,Sporting KC,32,1986,12.7,51.7,1.18,8.19,27.9,19.1,2.76,51,1.02,1.5,68.4,1.1,1,36.1,189.8,90.6,42.3,446,83.1,1.42,0.55,Matches
187,Derrick Etienne/Derrick-Etienne,ht HAI,FW,FC Cincinnati,22,1996,2.4,40.8,0.83,7.08,19.6,17.9,2.08,38.8,1.67,5.42,30.8,2.5,1,34.2,243.3,116.7,39.6,75,78.9,2.5,2.08,Matches
188,Derrick Etienne/Derrick-Etienne,ht HAI,FWMF,NY Red Bulls,22,1996,5.2,46.5,1.15,6.15,17.1,27.1,4.42,45.6,1.35,3.27,41.2,1.35,0,35.6,243.3,130.4,46.5,170,70.2,1.54,1.15,Matches
189,Marco Fabián/Marco-Fabian,mx MEX,MFFW,Philadelphia,29,1989,13.8,70.8,0.65,6.09,33.9,36.7,4.64,67,1.59,2.75,57.9,1.74,2,56.2,369.1,175,63.6,749,85.4,1.88,1.23,Matches
190,Fabinho/Fabinho,br BRA,DF,Philadelphia,33,1985,1,47,1,19,16,16,0,34,0,0,,0,0,26,179,96,25,20,80,1,2,Matches
191,Diego Fagúndez/Diego-Fagundez,uy URU,MFFW,New England,23,1995,13.1,50.5,0.84,7.18,25.9,21.5,3.36,48.1,0.84,2.14,39.3,0.92,1,38,270.5,151.6,49.1,495,77,1.3,0.99,Matches
192,Rod Fanni/Rod-Fanni,fr FRA,DF,Montreal,37,1981,3,59.3,9.33,35.7,24,3.67,0.33,58.7,0.33,0.67,50,0.33,0,33.3,206.7,129.3,34.3,102,99,0,0.33,Matches
193,Marco Farfan/Marco-Farfan,us USA,DF,Portland,20,1998,2.1,51.4,5.24,18.6,21.9,12.4,0,41,0.95,0.95,100,0.95,0,21.4,97.1,44.3,21.4,40,88.9,0.48,1.43,Matches
194,Andrew Farrell/Andrew-Farrell,us USA,DF,New England,26,1992,28.9,51.6,6.61,26.3,24.8,4.01,0.07,47.9,0.31,0.52,60,0.31,0,29.3,178.3,104.9,27.1,766,97.8,0.1,0.38,Matches
195,Benny Feilhaber/Benny-Feilhaber,us USA,MF,Sporting KC,34,1985,12.2,56.4,1.64,13.5,29.7,17,1.89,53.2,0.82,1.15,71.4,0.82,0,41.3,202,108.9,43.8,492,92.1,0.57,1.56,Matches
196,Benny Feilhaber/Benny-Feilhaber,us USA,MF,Colorado,34,1985,6.9,56.1,2.32,12.2,32.8,15.2,1.74,52.8,1.88,2.9,65,1.88,1,40.4,229.3,129.9,43.5,273,91,1.74,2.17,Matches
197,Felipe/Felipe,br BRA,MF,Vancouver,28,1990,12.7,58.3,3.15,18,31.7,10.5,1.02,56.5,0.39,0.63,62.5,0.39,0,41.7,154.2,59.5,47.2,548,91.5,1.02,0.87,Matches
198,Felipe/Felipe,br BRA,MF,D.C. United,28,1990,8.6,66.3,3.95,17.8,42.2,9.88,0.35,61.6,0.7,1.05,66.7,0.7,0,43.1,190.1,86.4,45.9,377,95.4,0.35,0.47,Matches
199,Luis Felipe/Luis-Felipe,br BRA,MF,San Jose,23,1996,0.5,52,4,20,28,6,0,50,0,0,,0,0,24,100,46,26,12,92.3,0,0,Matches
200,Rolf Feltscher/Rolf-Feltscher,ve VEN,DF,LA Galaxy,28,1990,24.2,61.7,3.22,16.5,26.7,22.6,2.31,53,0.7,1.16,60.7,0.79,1,38,207.7,124.1,41.7,904,89.5,0.58,0.58,Matches
201,Gerso Fernandes/Gerso-Fernandes,gw GNB,FWMF,Sporting KC,27,1991,19.4,38.4,0.93,4.69,13.7,23.8,6.75,37.8,2.11,4.64,45.6,2.47,3,33.2,284.2,197.7,42.7,540,65.1,2.32,2.84,Matches
202,Brian Fernández/Brian-Fernandez,ar ARG,FW,Portland,24,1994,15.7,29.6,0.06,1.15,11.2,19.4,6.62,28.1,1.21,2.17,55.9,1.34,2,21.1,155.4,83.8,44.4,364,52.2,2.48,1.21,Matches
203,Omir Fernandez/Omir-Fernandez,us USA,FWMF,NY Red Bulls,19,1999,6.4,41.9,0.63,5.63,16.1,22.5,5,40.8,0.63,2.5,25,1.09,0,28.8,169.2,91.1,41.7,160,59.9,3.44,2.03,Matches
204,Juan Fernando Caicedo/Juan-Fernando-Caicedo,co COL,FW,New England,29,1989,11.9,32.8,0.92,2.44,15.4,17,5.8,29.8,1.26,2.61,48.4,1.51,0,21.8,130.3,49,44.8,273,51.2,3.36,1.43,Matches
205,Jesus Ferreira/Jesus-Ferreira,us USA,FWMF,FC Dallas,18,2000,27.1,42.7,0.85,6.2,22.1,16.5,2.99,41.3,1.14,1.81,63.3,1.22,0,32.5,142.7,75.9,42.7,870,75.1,1.11,1.18,Matches
206,Marcelo dos Santos Ferreira/Marcelo-dos-Santos-Ferreira,br BRA,DF,Chicago,29,1989,12.8,48.4,4.84,27,21.4,2.42,0.78,47.1,0.23,0.23,100,0.23,0,27.3,118.6,62.8,29.4,367,97.6,0,0.23,Matches
207,Carlos Fierro/Carlos-Fierro,mx MEX,FWMF,San Jose,24,1994,2.5,46.8,1.2,7.2,14.8,28.4,6.8,43.6,0.8,2,40,0.8,0,34.4,240.8,125.2,52,84,64.6,1.2,2.8,Matches
208,Maynor Figueroa/Maynor-Figueroa,hn HON,DF,Houston,35,1983,25,64.9,6.6,34.1,33.6,4.84,0.56,63.4,0.56,0.56,100,0.56,0,44.4,327.7,220.6,43.6,1075,98.6,0.2,0.2,Matches
209,Ethan Finlay/Ethan-Finlay,us USA,FWMF,Minnesota,28,1990,21.2,31.7,0.71,4.2,12.6,16.8,4.86,31.3,1.04,1.84,56.4,1.18,2,21.8,143.4,76.5,32.6,430,62.1,1.51,1.46,Matches
210,Andrés Flores/Andres-Flores,sv SLV,MF,Portland,28,1990,8.6,50.5,1.74,9.42,28.8,16,1.51,49.8,0.58,1.05,55.6,0.7,1,37.8,195.3,99.5,40.6,303,86.8,0.93,1.05,Matches
211,Anthony Fontana/Anthony-Fontana,us USA,MFFW,Philadelphia,19,1999,1.4,69.3,1.43,8.57,38.6,26.4,5.71,65.7,2.14,3.57,60,2.14,0,59.3,399.3,240.7,64.3,73,81.1,3.57,0.71,Matches
212,Andreu Fontàs/Andreu-Fontas,es ESP,DF,Sporting KC,29,1989,10.7,84.5,7.94,45.8,42,3.27,0.37,82.6,0.28,0.28,100,0.28,0,59.4,285.9,192,62.5,663,99.1,0.19,0.28,Matches
213,Waylon Francis/Waylon-Francis,cr CRC,DF,Columbus,28,1990,15.4,64.2,2.86,20.5,29.2,17.7,0.32,53.4,0.32,0.52,62.5,0.39,0,36.1,143.5,72.9,37.7,534,91.9,0.52,0.45,Matches
214,Przemysław Frankowski/Przemyslaw-Frankowski,pl POL,FWMF,Chicago,23,1995,25.6,52,1.52,8.28,20.7,28.5,5.47,49.3,1.33,2.5,53.1,1.45,1,38.4,287,171.9,46.9,958,79.8,1.91,1.6,Matches
215,Liam Fraser/Liam-Fraser,ca CAN,MFDF,Toronto FC,20,1998,9,89.6,2.56,21.1,55.8,18.7,0.89,86.2,0.78,0.78,100,0.78,0,69.1,248.3,130.3,72.6,644,98.6,0.78,0.44,Matches
216,Matt Freese/Matt-Freese,us USA,GK,Philadelphia,20,1998,4.9,28.8,27.1,28.8,0,0,0,19,0.2,0.2,100,0.2,0,13.3,78.4,45.3,8.37,40,97.6,0,0,Matches
217,Stefan Frei/Stefan-Frei,ch SUI,GK,Seattle,32,1986,34,35.8,32.6,35.7,0.12,0,0,24.1,0,0,,0,0,16.5,77.9,40.2,13.6,461,99.6,0.03,0,Matches
218,Alejandro Fuenmayor/Alejandro-Fuenmayor,ve VEN,DF,Houston,22,1996,7.8,60.5,6.41,37.1,26.5,1.67,0.64,58.7,0,0,,0,0,41,248.6,155.6,43.2,332,98.5,0,0.64,Matches
219,Gilbert Fuentes/Gilbert-Fuentes,us USA,FW,San Jose,16,2002,0,4,0,0,4,1,0,4,1,1,100,1,0,4,19,15,4,3,75,0,0,Matches
220,Ray Gaddis/Ray-Gaddis,us USA,DF,Philadelphia,29,1990,32.9,58.6,2.43,15.7,30.7,16.4,0.64,51.6,0.94,1.49,63.3,1.06,1,38.8,193,99.1,37.4,1155,93.8,0.88,0.85,Matches
221,Nicolás Gaitán/Nicolas-Gaitan,ar ARG,MF,Chicago,30,1988,22.3,55.7,0.36,5.16,27,27.2,2.91,49.1,2.06,2.78,74.2,2.2,4,40.7,220.1,112.7,47.1,857,81.6,1.79,1.48,Matches
222,Erickson Gallardo/Erickson-Gallardo,ve VEN,MFFW,Toronto FC,25,1993,2.7,44.4,0,4.81,18.1,25.6,5.19,43.7,2.22,3.7,60,2.22,1,34.8,237.8,152.2,48.1,85,65.4,3.33,1.11,Matches
223,Boniek García/Boniek-Garcia,hn HON,MF,Houston,34,1984,28.6,57.7,1.54,11.4,34.5,15.8,0.66,55.9,1.15,1.64,70.2,1.15,2,43.1,217.1,119.5,42.9,1133,92.3,0.91,1.05,Matches
224,Kevin Garcia/Kevin-Garcia,us USA,DF,Houston,28,1990,9.1,61.1,7.69,33.7,26.9,4.95,0.77,57.3,0.44,0.77,57.1,0.55,0,36.5,243.2,137.8,37.5,331,97.1,0.22,0.22,Matches
225,Greg Garza/Greg-Garza,us USA,DF,FC Cincinnati,27,1991,10.1,69.5,4.36,26.4,31.3,16,0.69,60.8,0.5,1.29,38.5,0.79,0,42.8,239.7,151.5,45.6,416,90.2,1.19,0.69,Matches
226,Chase Gasper/Chase-Gasper,us USA,DF,Minnesota,23,1996,14.4,58.6,4.79,21.7,25.6,15.5,0.63,50.3,1.53,1.74,88,1.6,0,34.6,233.5,147.4,34.6,475,95.4,0.63,0.69,Matches
227,Carles Gil/Carles-Gil,es ESP,MFFW,New England,26,1992,33.9,73.4,0.47,6.37,39,35.6,2.65,66,2.63,4.13,63.6,2.8,4,58.9,471,227.4,61.6,1826,87.5,2.01,1.83,Matches
228,Justen Glad/Justen-Glad,us USA,DF,Real Salt Lake,21,1997,22.9,58.8,7.42,35.9,26.2,1.62,0.61,57.7,0.17,0.22,80,0.17,0,34.7,207.9,129,38.3,860,98.2,0.17,0.26,Matches
229,Aníbal Godoy/Anibal-Godoy,pa PAN,MF,San Jose,28,1990,14.9,66.6,3.09,18.8,44.4,8.52,0.81,64.6,0.54,0.94,57.1,0.54,0,46.7,265,128,50.3,693,92.5,0.4,1.01,Matches
230,Erik Godoy/Erik-Godoy,ar ARG,DF,Vancouver,25,1993,28.9,56.6,8.27,36.6,20.7,3.01,0.62,54.6,0.24,0.45,53.8,0.31,0,35.9,176.2,116.6,37.1,1048,97.7,0.21,0.03,Matches
231,Leandro González Pirez/Leandro-Gonzalez-Pirez,ar ARG,DF,Atlanta,26,1992,30,76.8,5.73,34.8,43,5.23,1,73.7,1.1,1.33,82.5,1.13,0,53.6,343.9,213.9,51.8,1523,98,0.5,0.8,Matches
232,Giancarlo González/Giancarlo-Gonzalez,cr CRC,DF,LA Galaxy,30,1988,15.9,45.5,7.92,30.2,15.5,1.45,0.63,44,0.19,0.25,75,0.19,0,23.7,136.7,59.4,24,371,97.4,0.19,0.25,Matches
233,Jesse Gonzalez/Jesse-Gonzalez,mx MEX,GK,FC Dallas,23,1995,32,34.4,31.4,34.3,0.06,0,0,24.8,0,0,,0,0,17.8,67.8,30.1,16.4,522,99.2,0.03,0,Matches
