Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
564,Josh Sims/Josh-Sims,eng ENG,FW,NY Red Bulls,21,1997,5.3,25.3,36.8,68.7,377.2,99.8,1.13,3.21,35.3,21.5,27.4,78.6,2.64,6.23,42.4,0.19,0.09,0.09,1.32,2.08,0.94,0.38,4.15,Matches
565,Seth Sinovic/Seth-Sinovic,us USA,DF,Sporting KC,32,1987,21.2,45.1,55.2,81.8,826.6,293.9,0.24,1.08,21.7,37.3,41.8,89.3,7.59,12.3,61.7,0.05,0.02,0.02,0.38,3.58,0.33,0.09,6.37,Matches
566,Pablo Sisniega/Pablo-Sisniega,mx MEX,GK,Los Angeles FC,23,1995,6,19.8,27,73.5,528.5,326.3,0.17,0.17,100,12,12.2,98.6,7.67,14.7,52.3,0,0,0,0,0.17,0,0,0,Matches
567,Axel Sjöberg/Axel-Sjoberg,se SWE,DFFW,Colorado,27,1991,4.8,35.4,39.6,89.5,728.5,229.2,0.21,0.63,33.3,26.5,27.9,94.8,8.75,11,79.2,0,0,0,0,0.83,0,0,0.83,Matches
568,Jørgen Skjelvik/Jorgen-Skjelvik,no NOR,DF,LA Galaxy,27,1991,18.7,33.7,41.2,81.8,566.6,224.9,0.21,1.12,19,28.8,32.6,88.3,4.76,7.54,63.1,0.11,0.11,-0.01,0.91,1.93,0.91,0.53,5.19,Matches
569,Brad Smith/Brad-Smith,au AUS,DF,Seattle,24,1994,21.9,48.3,61.5,78.5,791.2,306.7,0.5,2.65,19,41.6,47.8,87.1,6.21,11.1,56,0.23,0.2,0.03,1.23,3.42,1.19,0.55,5.43,Matches
570,Graham Smith/Graham-Smith,us USA,DF,Sporting KC,23,1995,9.8,44.7,49,91.3,1010,288.3,0.2,0.61,33.3,29.3,31.1,94.1,15.2,17.2,88.2,0.1,0.01,0.09,0.1,2.14,0,0,2.65,Matches
571,Kyle Smith/Kyle-Smith,us USA,DF,Orlando City,27,1992,15.4,37,46.5,79.6,656.1,263.2,0.32,1.49,21.7,30.3,35.1,86.1,6.43,9.87,65.1,0,0.01,-0.01,0.19,3.18,0.45,0.06,5.19,Matches
572,Tommy Smith/Tommy-Smith,nz NZL,DF,Colorado,28,1990,26.8,25.6,30.6,83.9,582.9,239.4,0.07,0.15,50,17.6,19.3,91.3,7.99,11.2,71.6,0.07,0.01,0.06,0.26,2.76,0.11,0,2.84,Matches
573,Eduardo Sosa/Eduardo-Sosa,ve VEN,MFFW,Columbus,21,1997,3.6,36.7,43.3,84.6,634.7,161.7,0.28,1.67,16.7,29.4,33.1,89.1,6.94,8.61,80.6,0,0.03,-0.03,1.39,6.67,0.83,0.28,5.56,Matches
574,Caleb Stanko/Caleb-Stanko,us USA,MF,FC Cincinnati,25,1993,16,36.7,42.9,85.6,766.4,202.1,0.06,0.63,10,26.7,29.9,89.1,9.94,12.3,80.7,0,0.03,-0.03,0.5,3.94,0.31,0.06,4.19,Matches
575,Zack Steffen/Zack-Steffen,us USA,GK,Columbus,23,1995,13,23.2,31.3,74.2,691.9,439.2,0.08,0.08,100,11.5,11.5,99.3,11.7,19.7,59.4,0,0,0,0,0.38,0,0,0,Matches
576,Daniel Steres/Daniel-Steres,us USA,DF,LA Galaxy,28,1990,29,36.8,42.4,86.7,886.2,357.8,0.17,0.45,38.5,22,23.9,91.9,14.6,18,81.1,0,0.02,-0.02,0.24,2.55,0.28,0.1,3.03,Matches
577,Zoltán Stieber/Zoltan-Stieber,hu HUN,FWMF,D.C. United,30,1988,3.4,34.7,43.2,80.3,571.2,151.5,0.88,1.47,60,29.4,33.2,88.5,4.41,8.53,51.7,0,0.06,-0.06,1.47,1.18,0.88,0.29,4.12,Matches
578,Aljaž Struna/Aljaz-Struna,si SVN,DF,Houston,28,1990,29,38.2,42.8,89.4,850.1,299.5,0.17,0.28,62.5,24.7,26.4,93.7,13.3,16.1,82.7,0.03,0.01,0.03,0.21,2.28,0.03,0.03,3.07,Matches
579,Brad Stuver/Brad-Stuver,us USA,GK,NYCFC,27,1991,5,31.4,37,84.9,867,453.6,0.2,0.2,100,15.6,15.6,100,15.6,21.2,73.6,0,0.04,-0.04,0.2,0.4,0,0,0.2,Matches
580,Scott Sutter/Scott-Sutter,ch SUI,DF,Vancouver,32,1986,10.9,40.8,50.6,80.6,700.4,274.5,0.64,1.38,46.7,33,37.4,88.2,7.16,11.8,60.5,0,0.06,-0.06,0.83,2.2,1.38,0.92,6.15,Matches
581,Gustav Svensson/Gustav-Svensson,se SWE,MF,Seattle,31,1987,20.1,51.1,58.7,87.1,1132.5,350.4,0.05,0.7,7.1,34.6,38.6,89.8,16.4,19.4,84.6,0,0.02,-0.02,0.6,6.47,0.3,0,5.17,Matches
582,Ben Sweat/Ben-Sweat,us USA,DF,NYCFC,27,1991,14.1,45.9,55.2,83.1,798.2,301.1,0.64,1.42,45,38.4,43.3,88.9,6.81,10.6,64.4,0.07,0.05,0.02,0.71,2.98,0.57,0.43,5.32,Matches
583,Ballou Tabla/Ballou-Tabla,ca CAN,MFFW,Montreal,19,1999,1.4,31.4,40.7,77.2,472.1,92.9,0.71,0.71,100,27.9,32.9,84.8,2.86,7.14,40,0,0,0,1.43,2.14,2.14,0,4.29,Matches
584,Saphir Taïder/Saphir-Taider,dz ALG,MFFW,Montreal,26,1992,30.3,49.7,60.4,82.2,1082.8,234.7,0.26,1.32,20,33.6,37.2,90.2,15.8,21.9,72.4,0.23,0.17,0.06,2.01,4.65,1.35,0.3,6.6,Matches
585,Ismael Tajouri-Shradi/Ismael-Tajouri-Shradi,ly LBY,FWMF,NYCFC,24,1994,10.4,33,41,80.5,553.9,128.8,0.87,2.5,34.6,26.5,29.9,88.7,5.58,8.56,65.2,0.29,0.19,0.1,1.63,2.02,1.63,0.19,4.04,Matches
586,Amro Tarek/Amro-Tarek,eg EGY,DF,NY Red Bulls,26,1992,16.3,17.8,29.1,61.2,360.9,184.6,0.06,0.49,12.5,12.9,17.3,74.8,4.79,11.3,42.4,0.06,0.07,-0.01,0.43,2.33,0.67,0.31,3.93,Matches
587,Russell Teibert/Russell-Teibert,ca CAN,MF,Vancouver,26,1992,24.4,32.7,37.1,88.1,567,152.9,0.29,0.78,36.8,27.3,28.7,95,5.16,7.66,67.4,0.12,0.07,0.05,0.66,2.83,0.29,0.04,2.46,Matches
588,Ryan Telfer/Ryan-Telfer,tt TRI,DF,Toronto FC,24,1994,0,3,3,100,52,8,0,0,,3,3,100,0,0,,1,0.7,0.3,1,0,0,0,0,Matches
589,Tommy Thompson/Tommy-Thompson,us USA,DF,San Jose,23,1995,25.4,51.5,58.3,88.4,895,307.6,0.43,1.54,28.2,43.9,47.6,92.2,7.24,9.17,79,0.04,0.06,-0.02,0.94,3.27,0.39,0.12,5.08,Matches
590,Anton Tinnerholm/Anton-Tinnerholm,se SWE,DF,NYCFC,27,1991,29.2,40.2,52.4,76.6,740.7,304.6,0.27,1.68,16.3,32.2,38.2,84.5,7.67,12.6,60.9,0.24,0.12,0.12,1.1,3.05,1.37,0.65,7.81,Matches
591,Donny Toia/Donny-Toia,us USA,DF,Real Salt Lake,26,1992,23.8,41.3,51.9,79.7,794.5,336.3,0.17,1.01,16.7,32.8,36.9,88.7,8.4,13.9,60.2,0.04,0.05,-0.01,0.71,2.77,0.63,0.25,5.42,Matches
592,Nouhou Tolo/Nouhou-Tolo,cm CMR,DF,Seattle,21,1997,8.8,47.2,56.8,83,816.7,249,0.57,2.05,27.8,40.5,45.3,89.2,6.14,9.43,65.1,0,0.02,-0.02,0.23,3.07,0.34,0.11,5,Matches
593,Román Torres/Roman-Torres,pa PAN,DF,Seattle,32,1986,12.6,30.8,38,81,753.9,294.7,0.08,0.48,16.7,18,19.4,92.7,12.7,18.1,70.2,0,0.01,-0.01,0.08,1.83,0.08,0.08,2.06,Matches
594,Mason Toye/Mason-Toye,us USA,FW,Minnesota,20,1998,9.1,12.5,17.8,70.4,196.8,13.6,0.33,1.43,23.1,9.89,13,76.3,2.31,3.41,67.7,0.22,0.13,0.09,0.44,0.33,0.22,0.11,0.33,Matches
595,Diedie Traoré/Diedie-Traore,fr FRA,DF,LA Galaxy,20,1999,2.4,37.5,49.2,76.3,737.5,333.3,0,0.42,0,29.6,34.2,86.6,7.92,14.6,54.3,0,0.04,-0.04,0.83,1.25,2.5,0.83,7.92,Matches
596,Wil Trapp/Wil-Trapp,us USA,MF,Columbus,26,1993,25.9,56.9,66.5,85.5,1156.6,344.2,0.39,1.16,33.3,41,45.3,90.5,15.6,20.1,77.4,0.12,0.06,0.06,0.89,6.87,0.62,0.04,5.71,Matches
597,Auston Trusty/Auston-Trusty,us USA,DF,Philadelphia,20,1998,21.8,37.9,46.5,81.5,840.7,300.6,0.14,0.78,17.6,25.2,28.1,89.7,12.6,17.7,71.2,0,0.01,-0.01,0.14,3.85,0.09,0,3.12,Matches
598,Bill Tuiloma/Bill-Tuiloma,nz NZL,DF,Portland,23,1995,21.3,32.4,37.5,86.6,786.7,274.3,0.05,0.33,14.3,19.5,21.2,91.8,12.9,15.9,81.1,0,0,0,0.14,2.49,0.05,0,1.69,Matches
599,Matt Turner/Matt-Turner,us USA,GK,New England,24,1994,19.6,17.4,27.6,63.2,602,429.9,0,0,,7.65,7.76,98.7,9.8,19.8,49.4,0,0,0,0,0.51,0,0,0.05,Matches
600,Ema Twumasi/Ema-Twumasi,gh GHA,DFMF,FC Dallas,21,1997,0.3,36.7,50,73.3,566.7,40,0,0,,33.3,40,83.3,3.33,10,33.3,0,0,0,0,0,0,0,0,Matches
601,Przemysław Tytoń/Przemyslaw-Tyton,pl POL,GK,FC Cincinnati,32,1987,15,19.9,31.7,62.9,687.5,439.9,0,0.07,0,7.87,7.87,100,12.1,23.7,50.8,0,0,0,0,0.2,0,0,0,Matches
602,Victor Ulloa/Victor-Ulloa,us USA,MF,FC Cincinnati,26,1992,21.6,44.5,53.7,82.9,860.6,226.1,0.56,1.16,48,33.6,38.2,87.8,10.4,14.3,72.8,0.05,0.07,-0.03,1.02,3.89,0.37,0,4.81,Matches
603,Maximiliano Urruti/Maximiliano-Urruti,ar ARG,FW,Montreal,27,1991,27,18.1,22.9,79.4,314.3,62.6,0.37,1.37,27,14.9,16.8,88.5,2.89,4.67,61.9,0.22,0.11,0.11,1.04,1.48,0.52,0.04,2.04,Matches
604,Zarek Valentin/Zarek-Valentin,us USA,DF,Portland,27,1991,18.1,46.7,54.4,85.8,968.1,336.3,0.11,0.88,12.5,33.5,36.7,91.3,13.1,16.9,77.7,0,0.02,-0.02,0.55,4.92,0.5,0.17,7.57,Matches
605,Diego Valeri/Diego-Valeri,ar ARG,MFFW,Portland,32,1986,28.8,40.5,55.8,72.7,803.3,263.4,0.38,1.77,21.6,29.6,35.7,83,10.6,18.3,57.6,0.28,0.29,-0.01,3.96,3.99,2.33,0.45,9.62,Matches
606,Florian Valot/Florian-Valot,fr FRA,MFFW,NY Red Bulls,25,1993,1.4,29.3,41.4,70.7,450.7,175,0.71,1.43,50,24.3,32.9,73.9,4.29,7.14,60,0.71,0.21,0.5,2.86,3.57,2.14,1.43,7.14,Matches
607,Peter-Lee Vassell/Peter-Lee-Vassell,jm JAM,MF,Los Angeles FC,20,1998,2,42,50,84,684,195.5,0,1,0,37.5,42.5,88.2,4.5,6.5,69.2,0,0.25,-0.25,1.5,2.5,2,0,7.5,Matches
608,Brandon Vazquez/Brandon-Vazquez,us USA,FW,Atlanta,20,1998,7.1,18.3,24.4,75.1,275.5,18,0.56,1.13,50,15.8,19.7,80,1.97,3.52,56,0.14,0.15,-0.01,0.99,0.28,0.14,0,0.56,Matches
609,Carlos Vela/Carlos-Vela,mx MEX,FW,Los Angeles FC,29,1989,30.3,27.1,40.3,67.2,520.8,174.1,0.26,2.11,12.5,20.9,26.3,79.4,5.91,11.9,49.7,0.33,0.39,-0.06,2.74,1.85,2.64,0.43,6.96,Matches
610,Lucas Venuto/Lucas-Venuto,br BRA,FW,Vancouver,24,1995,12.6,22.5,29.4,76.8,378.7,72,0.16,1.03,15.4,19.2,23.4,82,3.17,4.92,64.5,0.08,0.15,-0.07,1.43,0.48,1.11,0.24,2.54,Matches
611,Matías Vera/Matias-Vera,ar ARG,MF,Houston,23,1995,29.3,44.5,48.9,91.1,995.7,222.3,0.24,0.72,33.3,29.3,31.6,92.8,15,16.6,90.5,0.03,0.02,0.01,0.55,4.54,0.48,0.03,4.44,Matches
612,Jorge Villafaña/Jorge-Villafana,us USA,DF,Portland,29,1989,21.6,40.8,51.4,79.3,738.3,287.8,0.51,1.67,30.6,33.8,38.3,88,6.53,11.4,57.1,0.19,0.09,0.09,1.39,2.73,1.62,0.97,6.67,Matches
613,Héctor Villalba/Hector-Villalba,py PAR,FWMF,Atlanta,24,1994,10.4,27.9,37.3,74.7,469.8,91.8,0.19,1.73,11.1,23.6,28.4,83.1,4.13,7.21,57.3,0.29,0.25,0.04,1.35,1.15,0.87,0.1,3.17,Matches
614,Sam Vines/Sam-Vines,us USA,DF,Colorado,19,1999,23.9,29,36.6,79.2,529.5,233,0.29,0.63,46.7,23.5,26.6,88.5,5.15,9.37,54.9,0,0.02,-0.02,0.21,2.18,0.63,0.13,4.27,Matches
615,Kai Wagner/Kai-Wagner,de GER,DF,Philadelphia,21,1997,29.9,45.1,55.9,80.6,800.5,272.2,0.4,1.47,27.3,37,42,88.1,7.63,12.4,61.6,0.2,0.12,0.08,1.27,3.11,1.2,0.77,6.45,Matches
616,Rodney Wallace/Rodney-Wallace,cr CRC,DF,Sporting KC,30,1988,0.3,23.3,23.3,100,403.3,143.3,0,0,,20,20,100,3.33,3.33,100,0,0,0,0,0,0,0,0,Matches
