R,Team,TotalTackles,DribbledPast,TotalAttemptedTackles,Rating,R,Team,Total,Rating,R,Team,Fouled,Fouls,Rating,R,Team,Yellow,Red,Rating,R,Team,CaughtOffside,Rating,R,Team,Total,Rating,R,Team,ShotsBlocked,CrossesBlocked,PassesBlocked,Rating,R,Team,Total,SixYardBox,PenaltyArea,OutOfBox,Rating,R,Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating,R,Team,Total,SixYardBox,PenaltyArea,OutOfBox,Rating,R,Team,Unsuccessful,Successful,Total Dribbles,Rating,R,Team,UnsuccessfulTouches,Dispossessed,Rating,R,Team,Total,Won,Lost,Rating,R,Team,Total,AccLB,InAccLB,AccSP,InAccSP,Rating,R,Team,Total,Long,Short,Rating,R,Team,Cross,Corner,Throughball,Freekick,Throwin,Other,Total,Rating,R,Team,Total,OpenPlay,Counter,SetPiece,PenaltyTaken,Rating,R,Team,Cross,Corner,Throughball,Freekick,Other,Rating,League
11,Burnley,14.7,8.9,23.6,6.73,11,Burnley,10.3,6.73,11,Burnley,9.8,11.1,6.73,11,Burnley,2,0,6.73,11,Burnley,2.4,6.73,11,Burnley,20.7,6.73,11,Burnley,4.5,1.9,7.1,6.73,11,Burnley,3,0.2,1.8,1.1,6.73,11,Burnley,10.4,3.4,1.7,5.2,6.73,11,Burnley,1.2,0.4,0.5,0.2,6.73,11,Burnley,5.8,6.9,12.7,6.73,11,Burnley,14.2,7.9,6.73,11,Burnley,50,25.6,24.4,6.73,11,Burnley,325.7,23.8,46.6,199,56.3,6.73,11,Burnley,7.4,2.1,5.2,6.73,11,Burnley,0.3,0.1,0,0,0,0.4,0.8,6.73,11,Burnley,10.4,6.6,0.1,3.6,0.1,6.73,11,Burnley,2.8,0.8,0.2,0.4,4.2,6.73,PL
12,West Ham,18.9,12.7,31.5,6.71,12,West Ham,11.4,6.71,12,West Ham,9,10.3,6.71,12,West Ham,1.8,0,6.71,12,West Ham,2,6.71,12,West Ham,19.8,6.71,12,West Ham,3.3,1.4,7,6.71,12,West Ham,3.5,0.2,2.1,1.2,6.71,12,West Ham,10.4,3.1,1,6.3,6.71,12,West Ham,1.2,0.2,0.9,0.1,6.71,12,West Ham,6.8,11,17.8,6.71,12,West Ham,13.6,8.7,6.71,12,West Ham,44.7,22.5,22.2,6.71,12,West Ham,400.3,26.8,35.8,277,60.7,6.71,12,West Ham,8.2,1.7,6.5,6.71,12,West Ham,0.3,0.1,0.1,0.1,0,0.5,0.9,6.71,12,West Ham,10.4,6.6,0.6,3,0.1,6.71,12,West Ham,3,1.1,0.3,0.5,4.8,6.71,PL
13,Brighton,17.7,10.9,28.6,6.68,13,Brighton,11.1,6.68,13,Brighton,8.4,10,6.68,13,Brighton,1.6,0.1,6.68,13,Brighton,1.8,6.68,13,Brighton,17.3,6.68,13,Brighton,3.1,1.4,7.6,6.68,13,Brighton,3.2,0.3,2.1,0.7,6.68,13,Brighton,13,5.1,1.3,6.6,6.68,13,Brighton,1.1,0.2,0.6,0.1,6.68,13,Brighton,7,9.4,16.3,6.68,13,Brighton,17.1,10.9,6.68,13,Brighton,35.5,19.5,16,6.68,13,Brighton,513.9,30.2,29.3,388.7,65.7,6.68,13,Brighton,9.7,1.9,7.8,6.68,13,Brighton,0.3,0,0,0.1,0,0.3,0.7,6.68,13,Brighton,13,9.2,0.3,3.4,0,6.68,13,Brighton,2.4,1,0.2,0.5,6.8,6.68,PL
14,Everton,18.3,10.3,28.6,6.68,14,Everton,10.8,6.68,14,Everton,10.2,11.9,6.68,14,Everton,1.8,0.1,6.68,14,Everton,1.7,6.68,14,Everton,17.8,6.68,14,Everton,2.3,1.5,6.6,6.68,14,Everton,2.6,0.2,1.5,0.9,6.68,14,Everton,13.3,4.2,1.4,7.7,6.68,14,Everton,1.3,0.4,0.7,0,6.68,14,Everton,6.6,9.9,16.5,6.68,14,Everton,16.3,9.1,6.68,14,Everton,46.1,22.9,23.2,6.68,14,Everton,412,30.3,33,288.5,60.1,6.68,14,Everton,9.6,1.6,8,6.68,14,Everton,0.4,0,0.1,0,0,0.4,0.9,6.68,14,Everton,13.3,7.8,0.5,5.1,0,6.68,14,Everton,3.1,1.3,0.5,0.7,5.6,6.68,PL
15,Newcastle United,16.1,9.7,25.8,6.67,15,Newcastle United,10.9,6.67,15,Newcastle United,10.8,9.5,6.67,15,Newcastle United,1.8,0.1,6.67,15,Newcastle United,2.1,6.67,15,Newcastle United,26.4,6.67,15,Newcastle United,3.9,2,6.9,6.67,15,Newcastle United,4,0.5,2.3,1.2,6.67,15,Newcastle United,10.3,4.4,0.4,5.4,6.67,15,Newcastle United,0.9,0.2,0.6,0.1,6.67,15,Newcastle United,8.1,10.7,18.8,6.67,15,Newcastle United,16.4,7.5,6.67,15,Newcastle United,41.1,20.4,20.7,6.67,15,Newcastle United,328.9,24.9,36,219.1,49,6.67,15,Newcastle United,7.6,1.8,5.8,6.67,15,Newcastle United,0.1,0,0,0,0,0.4,0.6,6.67,15,Newcastle United,10.3,6.7,0.7,2.9,0,6.67,15,Newcastle United,2,0.9,0.2,0.3,5,6.67,PL
16,Aston Villa,15.3,10.2,25.4,6.65,16,Aston Villa,10.9,6.65,16,Aston Villa,13.1,11.7,6.65,16,Aston Villa,1.9,0,6.65,16,Aston Villa,1.8,6.65,16,Aston Villa,23.3,6.65,16,Aston Villa,5.6,2.7,7.2,6.65,16,Aston Villa,3.5,0.3,2,1.2,6.65,16,Aston Villa,12.3,4.5,0.8,6.9,6.65,16,Aston Villa,1.2,0.3,0.7,0.1,6.65,16,Aston Villa,6.5,10.1,16.5,6.65,16,Aston Villa,15.3,8.9,6.65,16,Aston Villa,38.3,18.8,19.5,6.65,16,Aston Villa,379.3,26.1,34.6,268,50.6,6.65,16,Aston Villa,9.9,1.8,8.1,6.65,16,Aston Villa,0.4,0,0.1,0.1,0,0.5,1,6.65,16,Aston Villa,12.3,8.5,0.4,3.2,0.1,6.65,16,Aston Villa,3.1,0.8,0.2,0.5,6.4,6.65,PL
17,Bournemouth,13.1,9.6,22.7,6.64,17,Bournemouth,13.2,6.64,17,Bournemouth,10.2,9.3,6.64,17,Bournemouth,2,0.1,6.64,17,Bournemouth,1.6,6.64,17,Bournemouth,27.6,6.64,17,Bournemouth,4.7,2.7,7.1,6.64,17,Bournemouth,3.5,0.4,1.7,1.4,6.64,17,Bournemouth,10.2,3.7,0.8,5.8,6.64,17,Bournemouth,1,0.3,0.6,0.1,6.64,17,Bournemouth,6.9,8.5,15.3,6.64,17,Bournemouth,15.4,10,6.64,17,Bournemouth,42.8,20.9,21.9,6.64,17,Bournemouth,397.8,21.7,34.4,280.1,61.6,6.64,17,Bournemouth,7.4,1.4,6,6.64,17,Bournemouth,0.1,0.1,0.1,0,0,0.4,0.6,6.64,17,Bournemouth,10.2,5.8,0.4,4,0,6.64,17,Bournemouth,2,0.9,0.3,0.2,4.9,6.64,PL
18,Southampton,19.1,13.3,32.4,6.64,18,Southampton,10.6,6.64,18,Southampton,9.6,12.2,6.64,18,Southampton,1.4,0.1,6.64,18,Southampton,1.6,6.64,18,Southampton,21.5,6.64,18,Southampton,3,1.5,10.3,6.64,18,Southampton,3,0.3,1.9,0.9,6.64,18,Southampton,12.8,5.1,1.4,6.2,6.64,18,Southampton,1.2,0.4,0.6,0.2,6.64,18,Southampton,6.9,11.2,18.1,6.64,18,Southampton,18.1,10,6.64,18,Southampton,45.6,21.6,24,6.64,18,Southampton,394,22.9,42.7,259.4,69,6.64,18,Southampton,8.8,1.5,7.3,6.64,18,Southampton,0.2,0,0.1,0.1,0,0.4,0.7,6.64,18,Southampton,12.8,8.2,0.4,4.1,0.1,6.64,18,Southampton,2.6,0.8,0.2,0.6,5.8,6.64,PL
19,Watford,17.8,12.3,30.1,6.63,19,Watford,11.5,6.63,19,Watford,8.2,12.1,6.63,19,Watford,2.1,0.1,6.63,19,Watford,1.8,6.63,19,Watford,23.9,6.63,19,Watford,3.4,1.6,6.9,6.63,19,Watford,3.1,0.2,2,0.9,6.63,19,Watford,11.4,4,0.6,6.7,6.63,19,Watford,0.9,0.1,0.8,0,6.63,19,Watford,7,8.9,15.9,6.63,19,Watford,14.1,8.6,6.63,19,Watford,41.6,20.9,20.7,6.63,19,Watford,380.3,23.2,37.9,258.4,60.8,6.63,19,Watford,8.3,1.1,7.2,6.63,19,Watford,0.1,0,0,0,0,0.5,0.6,6.63,19,Watford,11.4,8,0.5,2.8,0.2,6.63,19,Watford,1.7,0.4,0.1,0.2,6.4,6.63,PL
20,Norwich,16.9,11.7,28.6,6.62,20,Norwich,10.8,6.62,20,Norwich,11.5,9.6,6.62,20,Norwich,1.8,0,6.62,20,Norwich,1.2,6.62,20,Norwich,24.1,6.62,20,Norwich,4.6,2.3,7.4,6.62,20,Norwich,3.6,0.3,2,1.2,6.62,20,Norwich,11.6,4.3,0.8,6.4,6.62,20,Norwich,0.9,0.1,0.7,0.1,6.62,20,Norwich,7.9,12,19.9,6.62,20,Norwich,16.1,11.1,6.62,20,Norwich,31.7,14.4,17.2,6.62,20,Norwich,463.8,23.3,33.9,350.7,55.9,6.62,20,Norwich,8.5,1.1,7.4,6.62,20,Norwich,0.1,0,0.1,0,0,0.4,0.6,6.62,20,Norwich,11.6,8.2,0.2,3.1,0.1,6.62,20,Norwich,1.6,1,0.5,0.3,6.3,6.62,PL
1,Los Angeles FC,17.3,9.1,26.4,7.02,1,Los Angeles FC,9.8,7.02,1,Los Angeles FC,12.6,11.6,7.02,1,Los Angeles FC,1.5,0,7.02,1,Los Angeles FC,2.2,7.02,1,Los Angeles FC,13.9,7.02,1,Los Angeles FC,2.4,1.2,8.3,7.02,1,Los Angeles FC,2.6,0.1,1.7,0.9,7.02,1,Los Angeles FC,18.3,6.9,1.4,10,7.02,1,Los Angeles FC,2.5,0.5,1.7,0.2,7.02,1,Los Angeles FC,10.9,14.4,25.3,7.02,1,Los Angeles FC,16.4,12.8,7.02,1,Los Angeles FC,22.2,11.8,10.5,7.02,1,Los Angeles FC,526.6,22.3,21.5,421.9,60.8,7.02,1,Los Angeles FC,13.5,1.6,11.9,7.02,1,Los Angeles FC,0.2,0.1,0.2,0.1,0,1.2,1.7,7.02,1,Los Angeles FC,18.3,13,0.5,4.5,0.3,7.02,1,Los Angeles FC,2.1,1.2,0.7,0.4,10.4,7.02,MLS
2,LA Galaxy,16.9,10,26.9,6.82,2,LA Galaxy,10.6,6.82,2,LA Galaxy,8.5,11.3,6.82,2,LA Galaxy,2.1,0.1,6.82,2,LA Galaxy,2.5,6.82,2,LA Galaxy,19.1,6.82,2,LA Galaxy,3.8,1.4,6.6,6.82,2,LA Galaxy,4.2,0.1,2.4,1.7,6.82,2,LA Galaxy,13.8,4.1,1.1,8.7,6.82,2,LA Galaxy,1.7,0.4,1.2,0.1,6.82,2,LA Galaxy,6.2,10,16.2,6.82,2,LA Galaxy,14.3,8.4,6.82,2,LA Galaxy,30.6,17.5,13.1,6.82,2,LA Galaxy,449.5,30.3,26.5,342.1,50.6,6.82,2,LA Galaxy,10.9,2.1,8.8,6.82,2,LA Galaxy,0.4,0.1,0.1,0,0,0.9,1.3,6.82,2,LA Galaxy,13.8,9.9,0.4,3.3,0.2,6.82,2,LA Galaxy,3.3,1.2,0.3,0.1,7.3,6.82,MLS
3,Atlanta United,14.9,9.5,24.4,6.81,3,Atlanta United,9.4,6.81,3,Atlanta United,11.8,10.3,6.81,3,Atlanta United,1.6,0.1,6.81,3,Atlanta United,1.6,6.81,3,Atlanta United,13.4,6.81,3,Atlanta United,2.6,0.8,7.5,6.81,3,Atlanta United,2.7,0.3,1.3,1,6.81,3,Atlanta United,15,5.9,0.6,8.5,6.81,3,Atlanta United,1.7,0.3,1.1,0.2,6.81,3,Atlanta United,7.9,12.3,20.2,6.81,3,Atlanta United,16,9.4,6.81,3,Atlanta United,24,12.8,11.2,6.81,3,Atlanta United,493.4,33.8,27.7,372.5,59.3,6.81,3,Atlanta United,11.2,2.1,9.1,6.81,3,Atlanta United,0.1,0,0.2,0,0,0.8,1.1,6.81,3,Atlanta United,15,10.3,0.8,3.6,0.3,6.81,3,Atlanta United,2.2,1.3,0.7,0.2,8.1,6.81,MLS
4,New York City FC,17.2,10.5,27.7,6.81,4,New York City FC,10.1,6.81,4,New York City FC,12,13.7,6.81,4,New York City FC,2.3,0,6.81,4,New York City FC,2,6.81,4,New York City FC,18.9,6.81,4,New York City FC,2.6,1,7.9,6.81,4,New York City FC,2.6,0.1,1.3,1.2,6.81,4,New York City FC,15.2,6.5,0.5,8.2,6.81,4,New York City FC,1.9,0.3,1.2,0.4,6.81,4,New York City FC,6.3,9.5,15.7,6.81,4,New York City FC,16.3,10.4,6.81,4,New York City FC,30.1,15.2,15,6.81,4,New York City FC,509.6,35.9,32.6,377.9,63.2,6.81,4,New York City FC,11.2,2,9.3,6.81,4,New York City FC,0.1,0,0.1,0,0,1,1.3,6.81,4,New York City FC,15.2,10.9,0.6,3.4,0.3,6.81,4,New York City FC,2,1,0.3,0.3,8.5,6.81,MLS
5,DC United,16.7,10.3,27,6.81,5,DC United,9.7,6.81,5,DC United,11.3,11.4,6.81,5,DC United,1.4,0.1,6.81,5,DC United,1.5,6.81,5,DC United,23,6.81,5,DC United,5.3,1.3,6.9,6.81,5,DC United,3.8,0.1,2,1.6,6.81,5,DC United,12.6,5,0.7,6.9,6.81,5,DC United,1.2,0.2,0.8,0.2,6.81,5,DC United,7.4,10.4,17.7,6.81,5,DC United,14.4,10,6.81,5,DC United,33.5,17.7,15.8,6.81,5,DC United,432.9,26.1,31.4,318.1,57.4,6.81,5,DC United,9.1,2.2,6.9,6.81,5,DC United,0.1,0,0.1,0.1,0,0.5,0.7,6.81,5,DC United,12.6,7.5,0.4,4.5,0.1,6.81,5,DC United,2.3,0.9,0.2,0.7,6.3,6.81,MLS
6,Minnesota United,17.5,9,26.5,6.79,6,Minnesota United,12.7,6.79,6,Minnesota United,9.4,11.5,6.79,6,Minnesota United,1.6,0.1,6.79,6,Minnesota United,1.5,6.79,6,Minnesota United,19.4,6.79,6,Minnesota United,3.6,1.4,7.2,6.79,6,Minnesota United,3.8,0.2,1.9,1.7,6.79,6,Minnesota United,13.7,4.9,1,7.8,6.79,6,Minnesota United,1.5,0.3,1,0.2,6.79,6,Minnesota United,7.1,10.4,17.5,6.79,6,Minnesota United,16.4,9.8,6.79,6,Minnesota United,29.6,13.6,15.9,6.79,6,Minnesota United,405,26.8,29.6,294.2,54.3,6.79,6,Minnesota United,10.2,2,8.2,6.79,6,Minnesota United,0.2,0,0.2,0.1,0,0.6,1,6.79,6,Minnesota United,13.7,10.4,0.3,2.8,0.2,6.79,6,Minnesota United,2.4,0.8,0.4,0.3,7.1,6.79,MLS
7,Philadelphia Union,18.9,10.6,29.5,6.77,7,Philadelphia Union,9.1,6.77,7,Philadelphia Union,9.6,11.4,6.77,7,Philadelphia Union,1.7,0.1,6.77,7,Philadelphia Union,2.4,6.77,7,Philadelphia Union,15.7,6.77,7,Philadelphia Union,3.1,1.1,7.6,6.77,7,Philadelphia Union,2.4,0.1,1.5,0.8,6.77,7,Philadelphia Union,14,5.5,1.1,7.4,6.77,7,Philadelphia Union,1.7,0.2,1.3,0.2,6.77,7,Philadelphia Union,6.6,10.6,17.2,6.77,7,Philadelphia Union,15.7,8.4,6.77,7,Philadelphia Union,31.4,15.6,15.8,6.77,7,Philadelphia Union,484,27.1,29.2,368.9,58.7,6.77,7,Philadelphia Union,10.5,1.5,9,6.77,7,Philadelphia Union,0.2,0,0.1,0,0,1,1.2,6.77,7,Philadelphia Union,14,9.8,0.3,3.7,0.2,6.77,7,Philadelphia Union,2,0.9,0.5,0.4,7.5,6.77,MLS
8,San Jose Earthquakes,17.7,9.1,26.9,6.75,8,San Jose Earthquakes,10.6,6.75,8,San Jose Earthquakes,12.2,12.5,6.75,8,San Jose Earthquakes,2.1,0.1,6.75,8,San Jose Earthquakes,2.2,6.75,8,San Jose Earthquakes,14.9,6.75,8,San Jose Earthquakes,2.7,0.9,6.9,6.75,8,San Jose Earthquakes,3.2,0.1,1.8,1.3,6.75,8,San Jose Earthquakes,17.5,7.8,1.3,8.4,6.75,8,San Jose Earthquakes,1.5,0.4,0.9,0.2,6.75,8,San Jose Earthquakes,7.1,11.7,18.9,6.75,8,San Jose Earthquakes,14.1,10.6,6.75,8,San Jose Earthquakes,23.1,10.6,12.5,6.75,8,San Jose Earthquakes,501.9,38.1,26.5,385,52.4,6.75,8,San Jose Earthquakes,13.9,1.7,12.2,6.75,8,San Jose Earthquakes,0.1,0,0.1,0,0,0.9,1.2,6.75,8,San Jose Earthquakes,17.5,13.3,0.3,3.9,0,6.75,8,San Jose Earthquakes,2.1,1.1,0.3,0.4,11,6.75,MLS
9,Portland Timbers,16.9,10.3,27.2,6.74,9,Portland Timbers,10.1,6.74,9,Portland Timbers,9,13.5,6.74,9,Portland Timbers,2.2,0.2,6.74,9,Portland Timbers,1.6,6.74,9,Portland Timbers,19,6.74,9,Portland Timbers,3.1,1,6.4,6.74,9,Portland Timbers,3.6,0.2,2.2,1.2,6.74,9,Portland Timbers,16.5,6,0.9,9.6,6.74,9,Portland Timbers,1.5,0.3,0.9,0.3,6.74,9,Portland Timbers,6.1,8,14.1,6.74,9,Portland Timbers,14.3,7.7,6.74,9,Portland Timbers,27.7,13.8,13.9,6.74,9,Portland Timbers,450.9,34.8,26.9,333.5,55.7,6.74,9,Portland Timbers,13.2,3.1,10.2,6.74,9,Portland Timbers,0.3,0.1,0.1,0.1,0,0.6,1,6.74,9,Portland Timbers,16.5,11.5,0.9,4.1,0.1,6.74,9,Portland Timbers,3.6,1.7,0.3,0.4,9.2,6.74,MLS
