"Team","TotalTackles","DribbledPast","TotalAttemptedTackles","Interceptions","Fouled","Fouls","Yellow","Red","CaughtOffside","Clearances","ShotsBlocked","CrossesBlocked","PassesBlocked","TotalSaves","SixYardBoxSaves","PenaltyAreaSaves","OutOfBoxSaves","TotalShots","OutOfBoxShots","SixYardBoxShots","PenaltyAreaShots","TotalGoals","SixYardBoxGoals","PenaltyAreaGoals","OutOfBoxGoals","Unsuccessful","Successful","TotalDribbles","UnsuccessfulTouches","Dispossessed","TotalAerial","AerialWon","AerialLost","TotalPasses","AccLB","InAccLB","AccSP","InAccSP","TotalKeyPasses","LongKeyPasses","ShortKeyPasses","CrossAss","CornerAss","ThroughballAss","FreekickAss","OtherAss","TotalAss","OpenPlayShots","CounterShots","SetPieceShots","PenaltyShots","CrossKP","CornerKP","ThroughballKP","FreekickKP","ThrowinKP","OtherKP","League","percOppThird","percMiddleThird","attackMiddle","percOutofBoxShots","percSixYardBoxShots","percPenaltyAreaShots","percOutofBoxGoals","percSixYardBoxGoals","percPenaltyAreaGoals","percAerial","TotalLB","accLB","percLB","TotalSP","accSP","percLongKeyPasses","percCrossAss","percCornerAss","percThroughballAss","percFreekickAss","percSetPieceAss","percDribbles","percSetPieceShots","percCounterShots","percLongKP","percTBKP","percCrossKP","percSetPieceKP","team"
"Burnley",14.7,8.9,23.6,10.3,9.8,11.1,2,0,2.4,20.7,4.5,1.9,7.1,3,0.2,1.8,1.1,10.4,3.4,1.7,5.2,1.2,0.4,0.5,0.2,5.8,6.9,12.7,14.2,7.9,50,25.6,24.4,325.7,23.8,46.6,199,56.3,7.4,2.1,5.2,0.3,0.1,0,0,0.4,0.8,6.6,0.1,3.6,0.1,2.8,0.8,0.2,0.4,NA,4.2,"PL",29,45,27,0.326923076923077,0.163461538461538,0.5,0.166666666666667,0.333333333333333,0.416666666666667,0.512,70.4,0.338068181818182,0.216149831132944,255.3,0.779475127301214,0.283783783783784,0.375,0.125,0,0,0.125,0.543307086614173,0.352941176470588,0.0151515151515152,0.283783783783784,0.0277777777777778,0.388888888888889,0.162162162162162,"Burnley"
"West Ham",18.9,12.7,31.5,11.4,9,10.3,1.8,0,2,19.8,3.3,1.4,7,3.5,0.2,2.1,1.2,10.4,3.1,1,6.3,1.2,0.2,0.9,0.1,6.8,11,17.8,13.6,8.7,44.7,22.5,22.2,400.3,26.8,35.8,277,60.7,8.2,1.7,6.5,0.3,0.1,0.1,0.1,0.5,0.9,6.6,0.6,3,0.1,3,1.1,0.3,0.5,NA,4.8,"PL",27,46,23,0.298076923076923,0.0961538461538461,0.605769230769231,0.0833333333333333,0.166666666666667,0.75,0.503355704697987,62.6,0.428115015974441,0.156382712965276,337.7,0.820254663902872,0.207317073170732,0.333333333333333,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.617977528089888,0.3125,0.0909090909090909,0.207317073170732,0.037037037037037,0.37037037037037,0.195121951219512,"West Ham"
"Brighton",17.7,10.9,28.6,11.1,8.4,10,1.6,0.1,1.8,17.3,3.1,1.4,7.6,3.2,0.3,2.1,0.7,13,5.1,1.3,6.6,1.1,0.2,0.6,0.1,7,9.4,16.3,17.1,10.9,35.5,19.5,16,513.9,30.2,29.3,388.7,65.7,9.7,1.9,7.8,0.3,0,0,0.1,0.3,0.7,9.2,0.3,3.4,0,2.4,1,0.2,0.5,NA,6.8,"PL",28,44,23,0.392307692307692,0.1,0.507692307692308,0.0909090909090909,0.181818181818182,0.545454545454545,0.549295774647887,59.5,0.507563025210084,0.115781280404748,454.4,0.855413732394366,0.195876288659794,0.428571428571429,0,0,0.142857142857143,0.142857142857143,0.576687116564417,0.26984126984127,0.0326086956521739,0.195876288659794,0.0212765957446809,0.25531914893617,0.154639175257732,"Brighton"
"Everton",18.3,10.3,28.6,10.8,10.2,11.9,1.8,0.1,1.7,17.8,2.3,1.5,6.6,2.6,0.2,1.5,0.9,13.3,4.2,1.4,7.7,1.3,0.4,0.7,0,6.6,9.9,16.5,16.3,9.1,46.1,22.9,23.2,412,30.3,33,288.5,60.1,9.6,1.6,8,0.4,0,0.1,0,0.4,0.9,7.8,0.5,5.1,0,3.1,1.3,0.5,0.7,NA,5.6,"PL",30,43,23,0.315789473684211,0.105263157894737,0.578947368421053,0,0.307692307692308,0.538461538461538,0.496746203904555,63.3,0.478672985781991,0.153640776699029,348.6,0.827596098680436,0.166666666666667,0.444444444444444,0,0.111111111111111,0,0,0.6,0.395348837209302,0.0641025641025641,0.166666666666667,0.0543478260869565,0.33695652173913,0.208333333333333,"Everton"
"Newcastle United",16.1,9.7,25.8,10.9,10.8,9.5,1.8,0.1,2.1,26.4,3.9,2,6.9,4,0.5,2.3,1.2,10.3,4.4,0.4,5.4,0.9,0.2,0.6,0.1,8.1,10.7,18.8,16.4,7.5,41.1,20.4,20.7,328.9,24.9,36,219.1,49,7.6,1.8,5.8,0.1,0,0,0,0.4,0.6,6.7,0.7,2.9,0,2,0.9,0.2,0.3,NA,5,"PL",22,45,24,0.427184466019418,0.0388349514563107,0.524271844660194,0.111111111111111,0.222222222222222,0.666666666666667,0.496350364963504,60.9,0.408866995073892,0.185162663423533,268.1,0.817232375979112,0.236842105263158,0.166666666666667,0,0,0,0,0.569148936170213,0.302083333333333,0.104477611940299,0.236842105263158,0.0277777777777778,0.277777777777778,0.157894736842105,"Newcastle United"
"Aston Villa",15.3,10.2,25.4,10.9,13.1,11.7,1.9,0,1.8,23.3,5.6,2.7,7.2,3.5,0.3,2,1.2,12.3,4.5,0.8,6.9,1.2,0.3,0.7,0.1,6.5,10.1,16.5,15.3,8.9,38.3,18.8,19.5,379.3,26.1,34.6,268,50.6,9.9,1.8,8.1,0.4,0,0.1,0.1,0.5,1,8.5,0.4,3.2,0.1,3.1,0.8,0.2,0.5,NA,6.4,"PL",26,41,25,0.365853658536585,0.0650406504065041,0.560975609756098,0.0833333333333333,0.25,0.583333333333333,0.490861618798956,60.7,0.42998352553542,0.16003163722647,318.6,0.841180163214061,0.181818181818182,0.4,0,0.1,0.1,0.1,0.612121212121212,0.273504273504274,0.0470588235294118,0.181818181818182,0.0206185567010309,0.319587628865979,0.131313131313131,"Aston Villa"
"Bournemouth",13.1,9.6,22.7,13.2,10.2,9.3,2,0.1,1.6,27.6,4.7,2.7,7.1,3.5,0.4,1.7,1.4,10.2,3.7,0.8,5.8,1,0.3,0.6,0.1,6.9,8.5,15.3,15.4,10,42.8,20.9,21.9,397.8,21.7,34.4,280.1,61.6,7.4,1.4,6,0.1,0.1,0.1,0,0.4,0.6,5.8,0.4,4,0,2,0.9,0.3,0.2,NA,4.9,"PL",26,43,23,0.362745098039216,0.0784313725490196,0.568627450980392,0.1,0.3,0.6,0.488317757009346,56.1,0.38680926916221,0.141025641025641,341.7,0.819724904887328,0.189189189189189,0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0.555555555555556,0.408163265306122,0.0689655172413793,0.189189189189189,0.0416666666666667,0.277777777777778,0.148648648648649,"Bournemouth"
"Southampton",19.1,13.3,32.4,10.6,9.6,12.2,1.4,0.1,1.6,21.5,3,1.5,10.3,3,0.3,1.9,0.9,12.8,5.1,1.4,6.2,1.2,0.4,0.6,0.2,6.9,11.2,18.1,18.1,10,45.6,21.6,24,394,22.9,42.7,259.4,69,8.8,1.5,7.3,0.2,0,0.1,0.1,0.4,0.7,8.2,0.4,4.1,0.1,2.6,0.8,0.2,0.6,NA,5.8,"PL",29,45,24,0.3984375,0.109375,0.484375,0.166666666666667,0.333333333333333,0.5,0.473684210526316,65.6,0.349085365853659,0.166497461928934,328.4,0.789890377588307,0.170454545454545,0.285714285714286,0,0.142857142857143,0.142857142857143,0.142857142857143,0.61878453038674,0.333333333333333,0.0487804878048781,0.170454545454545,0.0232558139534884,0.302325581395349,0.159090909090909,"Southampton"
"Watford",17.8,12.3,30.1,11.5,8.2,12.1,2.1,0.1,1.8,23.9,3.4,1.6,6.9,3.1,0.2,2,0.9,11.4,4,0.6,6.7,0.9,0.1,0.8,0,7,8.9,15.9,14.1,8.6,41.6,20.9,20.7,380.3,23.2,37.9,258.4,60.8,8.3,1.1,7.2,0.1,0,0,0,0.5,0.6,8,0.5,2.8,0.2,1.7,0.4,0.1,0.2,NA,6.4,"PL",28,45,26,0.350877192982456,0.0526315789473684,0.587719298245614,0,0.111111111111111,0.888888888888889,0.502403846153846,61.1,0.379705400981997,0.16066263476203,319.2,0.80952380952381,0.132530120481928,0.166666666666667,0,0,0,0,0.559748427672956,0.259259259259259,0.0625,0.132530120481928,0.0121951219512195,0.207317073170732,0.072289156626506,"Watford"
"Norwich",16.9,11.7,28.6,10.8,11.5,9.6,1.8,0,1.2,24.1,4.6,2.3,7.4,3.6,0.3,2,1.2,11.6,4.3,0.8,6.4,0.9,0.1,0.7,0.1,7.9,12,19.9,16.1,11.1,31.7,14.4,17.2,463.8,23.3,33.9,350.7,55.9,8.5,1.1,7.4,0.1,0,0.1,0,0.4,0.6,8.2,0.2,3.1,0.1,1.6,1,0.5,0.3,NA,6.3,"PL",23,42,22,0.370689655172414,0.0689655172413793,0.551724137931034,0.111111111111111,0.111111111111111,0.777777777777778,0.454258675078864,57.2,0.407342657342657,0.123329021129797,406.6,0.862518445646827,0.129411764705882,0.166666666666667,0,0.166666666666667,0,0,0.603015075376884,0.274336283185841,0.024390243902439,0.129411764705882,0.0595238095238095,0.19047619047619,0.152941176470588,"Norwich"
"Los Angeles FC",17.3,9.1,26.4,9.8,12.6,11.6,1.5,0,2.2,13.9,2.4,1.2,8.3,2.6,0.1,1.7,0.9,18.3,6.9,1.4,10,2.5,0.5,1.7,0.2,10.9,14.4,25.3,16.4,12.8,22.2,11.8,10.5,526.6,22.3,21.5,421.9,60.8,13.5,1.6,11.9,0.2,0.1,0.2,0.1,1.2,1.7,13,0.5,4.5,0.3,2.1,1.2,0.7,0.4,NA,10.4,"MLS",33,42,34,0.377049180327869,0.0765027322404371,0.546448087431694,0.08,0.2,0.68,0.531531531531532,43.8,0.509132420091324,0.0831750854538549,482.7,0.874041847938678,0.118518518518519,0.117647058823529,0.0588235294117647,0.117647058823529,0.0588235294117647,0.117647058823529,0.569169960474308,0.257142857142857,0.0384615384615385,0.118518518518519,0.053030303030303,0.159090909090909,0.118518518518519,"Los Angeles FC"
"LA Galaxy",16.9,10,26.9,10.6,8.5,11.3,2.1,0.1,2.5,19.1,3.8,1.4,6.6,4.2,0.1,2.4,1.7,13.8,4.1,1.1,8.7,1.7,0.4,1.2,0.1,6.2,10,16.2,14.3,8.4,30.6,17.5,13.1,449.5,30.3,26.5,342.1,50.6,10.9,2.1,8.8,0.4,0.1,0.1,0,0.9,1.3,9.9,0.4,3.3,0.2,3.3,1.2,0.3,0.1,NA,7.3,"MLS",29,43,30,0.297101449275362,0.0797101449275362,0.630434782608696,0.0588235294117647,0.235294117647059,0.705882352941177,0.571895424836601,56.8,0.533450704225352,0.126362625139043,392.7,0.871148459383753,0.192660550458716,0.307692307692308,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.617283950617284,0.25,0.0404040404040404,0.192660550458716,0.0275229357798165,0.302752293577982,0.119266055045872,"LA Galaxy"
"Atlanta United",14.9,9.5,24.4,9.4,11.8,10.3,1.6,0.1,1.6,13.4,2.6,0.8,7.5,2.7,0.3,1.3,1,15,5.9,0.6,8.5,1.7,0.3,1.1,0.2,7.9,12.3,20.2,16,9.4,24,12.8,11.2,493.4,33.8,27.7,372.5,59.3,11.2,2.1,9.1,0.1,0,0.2,0,0.8,1.1,10.3,0.8,3.6,0.3,2.2,1.3,0.7,0.2,NA,8.1,"MLS",29,46,29,0.393333333333333,0.04,0.566666666666667,0.117647058823529,0.176470588235294,0.647058823529412,0.533333333333333,61.5,0.549593495934959,0.124645318200243,431.8,0.862667901806392,0.1875,0.0909090909090909,0,0.181818181818182,0,0,0.608910891089109,0.258992805755396,0.0776699029126214,0.1875,0.0636363636363636,0.2,0.133928571428571,"Atlanta United"
