"Team"	"TotalTackles"	"DribbledPast"	"TotalAttemptedTackles"	"R"	"Interceptions"	"Fouled"	"Fouls"	"Yellow"	"Red"	"CaughtOffside"	"Clearances"	"ShotsBlocked"	"CrossesBlocked"	"PassesBlocked"	"TotalSaves"	"SixYardBoxSaves"	"PenaltyAreaSaves"	"OutOfBoxSaves"	"TotalShots"	"OutOfBoxShots"	"SixYardBoxShots"	"PenaltyAreaShots"	"TotalGoals"	"SixYardBoxGoals"	"PenaltyAreaGoals"	"OutOfBoxGoals"	"Unsuccessful"	"Successful"	"TotalDribbles"	"UnsuccessfulTouches"	"Dispossessed"	"TotalAerial"	"AerialWon"	"AerialLost"	"TotalPasses"	"AccLB"	"InAccLB"	"AccSP"	"InAccSP"	"TotalKeyPasses"	"LongKeyPasses"	"ShortKeyPasses"	"CrossAss"	"CornerAss"	"ThroughballAss"	"FreekickAss"	"OtherAss"	"TotalAss"	"OpenPlayShots"	"CounterShots"	"SetPieceShots"	"PenaltyShots"	"CrossKP"	"CornerKP"	"ThroughballKP"	"FreekickKP"	"ThrowinKP"	"OtherKP"	"League"	"SA"	"Tackles.pg"	"Ints.pg"	"Fouls.pg"	"Offsides"	"GF"	"Discipline"	"Possesion"	"percPass"	"AerialsWon"	"percOppThird"	"percMiddleThird"	"attackMiddle"	"npxG"	"npxGA"	"ppda_coef"	"oppda_coef"	"deep"	"deep_allowed"	"xG_diff"	"xGA_diff"	"xGA"	"xG"	"FastSF"	"FastSA"	"FastGF"	"FastGA"	"FastxG"	"FastxGA"	"FastxGperShot"	"FastxGAperShot"	"NormalSF"	"NormalSA"	"NormalGF"	"NormalGA"	"NormalxG"	"NormalxGA"	"NormalxGperShot"	"NormalxGAperShot"	"StandardSF"	"StandardSA"	"StandardGF"	"StandardGA"	"StandardxG"	"StandardxGA"	"StandardxGperShot"	"StandardxGAperShot"	"SlowSF"	"SlowSA"	"SlowGF"	"SlowGA"	"SlowxG"	"SlowxGA"	"SlowxGperShot"	"SlowxGAperShot"	"GP"	"GA"	"percOutofBoxShots"	"percSixYardBoxShots"	"percPenaltyAreaShots"	"percOutofBoxGoals"	"percSixYardBoxGoals"	"percPenaltyAreaGoals"	"percAerial"	"TotalLB"	"accLB"	"percLB"	"TotalSP"	"accSP"	"percLongKeyPasses"	"percCrossAss"	"percCornerAss"	"percThroughballAss"	"percFreekickAss"	"percSetPieceAss"	"percDribbles"	"percSetPieceShots"	"percCounterShots"	"percLongKP"	"percTBKP"	"percCrossKP"	"percSetPieceKP"	"xGper"	"xGdiffper"	"xGAper"	"xGAdiffper"	"SuccessDA"	"CounterDA"	"npXGAperShot"	"xGshot"
"Burnley"	14.7	8.9	23.6	11	10.3	9.8	11.1	2	0	2.4	20.7	4.5	1.9	7.1	3	0.2	1.8	1.1	10.4	3.4	1.7	5.2	1.2	0.4	0.5	0.2	5.8	6.9	12.7	14.2	7.9	50	25.6	24.4	325.7	23.8	46.6	199	56.3	7.4	2.1	5.2	0.3	0.1	0	0	0.4	0.8	6.6	0.1	3.6	0.1	2.8	0.8	0.2	0.4		4.2	"PL"	13.9	14.7	10.3	11.1	2.4	34	580	43.1	68.4	25.6	29	45	27	38.844542	37.467616	12.4419171986318	9.30322543108045	97	194	6.366882	0.527358999999997	40.527359	40.366882	24	29	3	8	4.05128477979451	4.36215901374817	0.168803532491438	0.150419276336144	160	248	19	25	18.7497206032276	26.2192711587995	0.117185753770173	0.105722867575805	108	97	12	5	18.500326434616	8.94460630137473	0.171299318839037	0.0922124360966467	10	29	0	2	0.728072308003902	2.14708140306175	0.0728072308003902	0.0740372897607499	29	40	0.326923076923077	0.163461538461538	0.5	0.166666666666667	0.333333333333333	0.416666666666667	0.512	70.4	0.338068181818182	0.216149831132944	255.3	0.779475127301214	0.283783783783784	0.375	0.125	0	0	0.125	0.543307086614173	0.352941176470588	0.0151515151515152	0.283783783783784	0.0277777777777778	0.388888888888889	0.162162162162162	1.39196144827586	-0.219547655172414	1.39749513793103	-0.0181847931034482	25	0.004	2.69551194244604	0.133842446949602
"West Ham"	18.9	12.7	31.5	12	11.4	9	10.3	1.8	0	2	19.8	3.3	1.4	7	3.5	0.2	2.1	1.2	10.4	3.1	1	6.3	1.2	0.2	0.9	0.1	6.8	11	17.8	13.6	8.7	44.7	22.5	22.2	400.3	26.8	35.8	277	60.7	8.2	1.7	6.5	0.3	0.1	0.1	0.1	0.5	0.9	6.6	0.6	3	0.1	3	1.1	0.3	0.5		4.8	"PL"	13.5	18.9	11.4	10.3	2	35	531	45.5	75.9	22.5	27	46	23	32.6622342	53.476696	14.3572954056217	10.1477571944365	179	233	-0.0542568000000045	7.28250600000001	57.282506	34.9457432	21	22	3	2	3.12383180111647	4.85499248933047	0.14875389529126	0.220681476787749	184	233	19	32	19.7142967162654	34.5863730814308	0.107142916936225	0.148439369448201	88	116	12	15	11.9722704989836	17.7145995683968	0.13604852839754	0.1527120652448	9	22	1	1	0.547760562039912	2.55530363041908	0.0608622846711013	0.116150165019049	29	50	0.298076923076923	0.0961538461538461	0.605769230769231	0.0833333333333333	0.166666666666667	0.75	0.503355704697987	62.6	0.428115015974441	0.156382712965276	337.7	0.820254663902872	0.207317073170732	0.333333333333333	0.111111111111111	0.111111111111111	0.111111111111111	0.222222222222222	0.617977528089888	0.3125	0.0909090909090909	0.207317073170732	0.037037037037037	0.37037037037037	0.195121951219512	1.20502562758621	0.00187092413793119	1.97525882758621	-0.251120896551724	30.3	0.0198019801980198	3.96123674074074	0.115867848806366
"Brighton"	17.7	10.9	28.6	13	11.1	8.4	10	1.6	0.1	1.8	17.3	3.1	1.4	7.6	3.2	0.3	2.1	0.7	13	5.1	1.3	6.6	1.1	0.2	0.6	0.1	7	9.4	16.3	17.1	10.9	35.5	19.5	16	513.9	30.2	29.3	388.7	65.7	9.7	1.9	7.8	0.3	0	0	0.1	0.3	0.7	9.2	0.3	3.4	0	2.4	1	0.2	0.5		6.8	"PL"	10.9	18.3	10.8	11.9	1.7	32	533	49.4	77.4	22.9	28	44	23	38.264151	43.094763	9.5091811449859	14.5349355375778	199	186	7.02531800000001	4.617103	44.617103	39.025318	15	34	0	5	1.40222743712366	7.3286682870239	0.0934818291415771	0.215549067265409	242	215	18	23	23.2607149165124	24.1689510438591	0.0961186566798032	0.112413725785391	99	91	11	12	14.095351414755	14.5306473374367	0.142377287017727	0.159677443268535	24	21	3	0	4.68609380163252	1.94233404751867	0.195253908401355	0.0924920975008891	29	40	0.392307692307692	0.1	0.507692307692308	0.0909090909090909	0.181818181818182	0.545454545454545	0.549295774647887	59.5	0.507563025210084	0.115781280404748	454.4	0.855413732394366	0.195876288659794	0.428571428571429	0	0	0.142857142857143	0.142857142857143	0.576687116564417	0.26984126984127	0.0326086956521739	0.195876288659794	0.0212765957446809	0.25531914893617	0.154639175257732	1.34570062068966	-0.242252344827586	1.53852079310345	-0.159210448275862	29.4	0.0102040816326531	3.95364798165138	0.103515432360743
"Everton"	18.3	10.3	28.6	14	10.8	10.2	11.9	1.8	0.1	1.7	17.8	2.3	1.5	6.6	2.6	0.2	1.5	0.9	13.3	4.2	1.4	7.7	1.3	0.4	0.7	0	6.6	9.9	16.5	16.3	9.1	46.1	22.9	23.2	412	30.3	33	288.5	60.1	9.6	1.6	8	0.4	0	0.1	0	0.4	0.9	7.8	0.5	5.1	0	3.1	1.3	0.5	0.7		5.6	"PL"	12.3	17.7	11.1	10	1.8	37	452	54.2	81.5	19.5	30	43	23	46.579852	36.47549	10.2167987583855	11.027175478423	167	154	9.579852	-8.763343	37.236657	46.579852	29	25	5	9	5.14327768795192	6.12501935847104	0.177354403032825	0.245000774338841	198	198	21	22	25.2133206841536	21.9643926750869	0.127340003455321	0.110931276136802	143	83	11	13	17.1570077640936	9.85375701729208	0.119979075273382	0.11871996406376	19	11	0	2	1.69561007246375	1.4738281276077	0.089242635392829	0.133984375237064	29	46	0.315789473684211	0.105263157894737	0.578947368421053	0	0.307692307692308	0.538461538461538	0.496746203904555	63.3	0.478672985781991	0.153640776699029	348.6	0.827596098680436	0.166666666666667	0.444444444444444	0	0.111111111111111	0	0	0.6	0.395348837209302	0.0641025641025641	0.166666666666667	0.0543478260869565	0.33695652173913	0.208333333333333	1.60620179310345	-0.330339724137931	1.28402265517241	0.30218424137931	28.5	0.0175438596491228	2.96548699186992	0.120767052113041
"Newcastle United"	16.1	9.7	25.8	15	10.9	10.8	9.5	1.8	0.1	2.1	26.4	3.9	2	6.9	4	0.5	2.3	1.2	10.3	4.4	0.4	5.4	0.9	0.2	0.6	0.1	8.1	10.7	18.8	16.4	7.5	41.1	20.4	20.7	328.9	24.9	36	219.1	49	7.6	1.8	5.8	0.1	0	0	0	0.4	0.6	6.7	0.7	2.9	0	2	0.9	0.2	0.3		5	"PL"	15.3	16.1	10.9	9.5	2.1	25	523	40.8	74.2	20.4	22	45	24	25.157864	52.333705	22.8369363163659	7.33877115385298	93	266	0.919033999999996	11.333705	52.333705	25.919034	18	21	0	7	2.58837284240872	5.2939884737134	0.143798491244929	0.252094689224447	190	261	14	21	16.916848400142	30.9676562221721	0.0890360442112739	0.11865002383974	79	130	11	9	6.33352911099792	13.5569198867306	0.0801712545695939	0.104283999128697	12	33	0	4	0.401445807423443	4.05887006316334	0.0334538172852869	0.122996062520101	29	41	0.427184466019418	0.0388349514563107	0.524271844660194	0.111111111111111	0.222222222222222	0.666666666666667	0.496350364963504	60.9	0.408866995073892	0.185162663423533	268.1	0.817232375979112	0.236842105263158	0.166666666666667	0	0	0	0	0.569148936170213	0.302083333333333	0.104477611940299	0.236842105263158	0.0277777777777778	0.277777777777778	0.157894736842105	0.893759793103448	-0.0316908275862068	1.80461051724138	-0.390817413793104	27	0.0259259259259259	3.42050359477124	0.0867727954469367
"Aston Villa"	15.3	10.2	25.4	16	10.9	13.1	11.7	1.9	0	1.8	23.3	5.6	2.7	7.2	3.5	0.3	2	1.2	12.3	4.5	0.8	6.9	1.2	0.3	0.7	0.1	6.5	10.1	16.5	15.3	8.9	38.3	18.8	19.5	379.3	26.1	34.6	268	50.6	9.9	1.8	8.1	0.4	0	0.1	0.1	0.5	1	8.5	0.4	3.2	0.1	3.1	0.8	0.2	0.5		6.4	"PL"	18.1	15.3	10.9	11.7	1.8	34	531	47.1	77.5	18.8	26	41	25	32.374001	57.517924	12.7839187076953	8.22956303804053	146	282	0.810489000000004	5.46777900000001	61.467779	34.810489	18	37	3	6	2.95333950780332	7.28514859080315	0.164074417100184	0.196895907859545	219	300	20	29	21.6315063750371	35.024231032934	0.0987740017124983	0.116747436776447	93	141	11	19	11.2072766516358	18.7616996876895	0.120508351092858	0.133061699912692	16	29	0	2	0.884893570095301	2.36117926891893	0.0553058481309563	0.081419974790308	28	56	0.365853658536585	0.0650406504065041	0.560975609756098	0.0833333333333333	0.25	0.583333333333333	0.490861618798956	60.7	0.42998352553542	0.16003163722647	318.6	0.841180163214061	0.181818181818182	0.4	0	0.1	0.1	0.1	0.612121212121212	0.273504273504274	0.0470588235294118	0.181818181818182	0.0206185567010309	0.319587628865979	0.131313131313131	1.24323175	-0.0289460357142859	2.19527782142857	-0.195277821428572	26.2	0.0152671755725191	3.17778585635359	0.10107575203252
"Bournemouth"	13.1	9.6	22.7	17	13.2	10.2	9.3	2	0.1	1.6	27.6	4.7	2.7	7.1	3.5	0.4	1.7	1.4	10.2	3.7	0.8	5.8	1	0.3	0.6	0.1	6.9	8.5	15.3	15.4	10	42.8	20.9	21.9	397.8	21.7	34.4	280.1	61.6	7.4	1.4	6	0.1	0.1	0.1	0	0.4	0.6	5.8	0.4	4	0	2	0.9	0.3	0.2		4.9	"PL"	12.2	19.1	10.6	12.2	1.6	29	423	48.1	71.7	21.6	26	43	23	33.470166	46.919128	13.9868048288404	9.89263689670802	157	247	5.231331	2.96380600000001	49.963806	34.231331	17	31	3	5	3.14848014432937	5.57601273432374	0.185204714372316	0.179871378526572	158	301	11	30	17.6182923652232	31.6976860603318	0.111508179526729	0.105307927110737	110	96	15	11	13.5962793603539	11.7170253256336	0.123602539639581	0.122052347142017	12	25	0	1	1.64443958736956	1.93035212811083	0.137036632280797	0.077214085124433	29	47	0.362745098039216	0.0784313725490196	0.568627450980392	0.1	0.3	0.6	0.488317757009346	56.1	0.38680926916221	0.141025641025641	341.7	0.819724904887328	0.189189189189189	0.166666666666667	0.166666666666667	0.166666666666667	0	0.166666666666667	0.555555555555556	0.408163265306122	0.0689655172413793	0.189189189189189	0.0416666666666667	0.277777777777778	0.148648648648649	1.18039072413793	-0.180390724137931	1.72288986206897	-0.102200206896552	32.3	0.0123839009287926	3.84583016393443	0.115724580797836
"Southampton"	19.1	13.3	32.4	18	10.6	9.6	12.2	1.4	0.1	1.6	21.5	3	1.5	10.3	3	0.3	1.9	0.9	12.8	5.1	1.4	6.2	1.2	0.4	0.6	0.2	6.9	11.2	18.1	18.1	10	45.6	21.6	24	394	22.9	42.7	259.4	69	8.8	1.5	7.3	0.2	0	0.1	0.1	0.4	0.7	8.2	0.4	4.1	0.1	2.6	0.8	0.2	0.6		5.8	"PL"	15.6	13.1	13.2	9.3	1.6	35	573	46.3	75.9	20.9	29	45	24	39.916796	42.104926	8.97977240705819	11.0428852320822	156	184	6.59444600000001	-6.85041500000001	45.149585	41.594446	21	25	4	4	3.6271604988724	3.31268234923482	0.172721928517733	0.132507293969393	213	217	20	35	24.289046951104	27.7413470447063	0.114033084277483	0.12784030896178	119	95	10	12	12.9502111291513	12.7878736983985	0.108825303606313	0.134609196825247	18	17	1	1	1.5193078154698	1.72930570412427	0.0844059897483223	0.101723864948487	29	52	0.3984375	0.109375	0.484375	0.166666666666667	0.333333333333333	0.5	0.473684210526316	65.6	0.349085365853659	0.166497461928934	328.4	0.789890377588307	0.170454545454545	0.285714285714286	0	0.142857142857143	0.142857142857143	0.142857142857143	0.61878453038674	0.333333333333333	0.0487804878048781	0.170454545454545	0.0232558139534884	0.302325581395349	0.159090909090909	1.43429124137931	-0.227394689655173	1.55688224137931	0.236221206896552	23.7	0.0168776371308017	2.69903371794872	0.112054003232759
"Watford"	17.8	12.3	30.1	19	11.5	8.2	12.1	2.1	0.1	1.8	23.9	3.4	1.6	6.9	3.1	0.2	2	0.9	11.4	4	0.6	6.7	0.9	0.1	0.8	0	7	8.9	15.9	14.1	8.6	41.6	20.9	20.7	380.3	23.2	37.9	258.4	60.8	8.3	1.1	7.2	0.1	0	0	0	0.5	0.6	8	0.5	2.8	0.2	1.7	0.4	0.1	0.2		6.4	"PL"	12.8	17.8	11.5	12.1	1.8	27	613	44.5	74.1	20.9	28	45	26	33.339938	39.668634	13.8373079287922	10.6039004336545	172	207	10.14579	0.235644000000001	44.235644	37.14579	26	27	3	5	5.21950193401426	5.27329948544502	0.200750074385164	0.195307388349816	204	227	17	20	22.1014350382611	25.10736500239	0.108340367834613	0.110605132169119	80	99	5	16	8.12782539334148	13.7209639316425	0.101597817416769	0.138595595269116	18	21	2	3	1.99088597297668	3.88647453580052	0.110604776276482	0.185070215990501	29	44	0.350877192982456	0.0526315789473684	0.587719298245614	0	0.111111111111111	0.888888888888889	0.502403846153846	61.1	0.379705400981997	0.16066263476203	319.2	0.80952380952381	0.132530120481928	0.166666666666667	0	0	0	0	0.559748427672956	0.259259259259259	0.0625	0.132530120481928	0.0121951219512195	0.207317073170732	0.072289156626506	1.28088931034483	-0.349854827586207	1.52536703448276	-0.00812565517241381	29.3	0.0170648464163823	3.09911203125	0.112358711433757
"Norwich"	16.9	11.7	28.6	20	10.8	11.5	9.6	1.8	0	1.2	24.1	4.6	2.3	7.4	3.6	0.3	2	1.2	11.6	4.3	0.8	6.4	0.9	0.1	0.7	0.1	7.9	12	19.9	16.1	11.1	31.7	14.4	17.2	463.8	23.3	33.9	350.7	55.9	8.5	1.1	7.4	0.1	0	0.1	0	0.4	0.6	8.2	0.2	3.1	0.1	1.6	1	0.5	0.3		6.3	"PL"	15.4	16.9	10.8	9.6	1.2	25	531	50.5	80.6	14.4	23	42	22	30.801842	47.9545	13.0696524340695	9.87284860176267	176	244	7.324183	1.43558999999999	53.43559	32.324183	19	27	1	4	2.41794103942811	4.58175268210471	0.127260054706743	0.169694543781656	212	260	18	30	20.7191494312137	29.6388313090429	0.0977318369396874	0.11399550503478	90	126	5	16	9.66855296120048	18.6921273395419	0.107428366235561	0.148350216980491	15	37	1	2	0.811111164279282	4.00214771088213	0.0540740776186188	0.108166154348166	29	52	0.370689655172414	0.0689655172413793	0.551724137931034	0.111111111111111	0.111111111111111	0.777777777777778	0.454258675078864	57.2	0.407342657342657	0.123329021129797	406.6	0.862518445646827	0.129411764705882	0.166666666666667	0	0.166666666666667	0	0	0.603015075376884	0.274336283185841	0.024390243902439	0.129411764705882	0.0595238095238095	0.19047619047619	0.152941176470588	1.114627	-0.252558034482759	1.84260655172414	-0.0495031034482755	27.7	0.0072202166064982	3.11392857142857	0.0960885344827586
"Los Angeles FC"	17.3	9.1	26.4	1	9.8	12.6	11.6	1.5	0	2.2	13.9	2.4	1.2	8.3	2.6	0.1	1.7	0.9	18.3	6.9	1.4	10	2.47	0.5	1.7	0.2	10.9	14.4	25.3	16.4	12.8	22.2	11.8	10.5	526.6	22.3	21.5	421.9	60.8	13.5	1.6	11.9	0.2	0.1	0.2	0.1	1.2	1.7	13	0.5	4.5	0.3	2.1	1.2	0.7	0.4		10.4	"MLS"	10.3	17.3	9.8	11.5	2.2	84	511	55.5	84.4	12	33	42	34									33.3	68.1																																	34	37	0.377049180327869	0.0765027322404371	0.546448087431694	0.0809716599190283	0.202429149797571	0.688259109311741	0.531531531531532	43.8	0.509132420091324	0.0831750854538549	482.7	0.874041847938678	0.118518518518519	0.117647058823529	0.0588235294117647	0.117647058823529	0.0588235294117647	0.117647058823529	0.569169960474308	0.257142857142857	0.0384615384615385	0.118518518518519	0.053030303030303	0.159090909090909	0.118518518518519	2.00294117647059	0.46764705882353	0.979411764705882	0.108823529411765	27.1	0.018450184501845		0.109450337512054
"LA Galaxy"	16.9	10	26.9	2	10.6	8.5	11.3	2.1	0.1	2.5	19.1	3.8	1.4	6.6	4.2	0.1	2.4	1.7	13.8	4.1	1.1	8.7	1.71	0.4	1.2	0.1	6.2	10	16.2	14.3	8.4	30.6	17.5	13.1	449.5	30.3	26.5	342.1	50.6	10.9	2.1	8.8	0.4	0.1	0.1	0	0.9	1.3	9.9	0.4	3.3	0.2	3.3	1.2	0.3	0.1		7.3	"MLS"	16.6	17.4	10.7	11.2	2.5	58	763	50	82.7	17.4	29	43	30									50.9	52.7																																	34	59	0.297101449275362	0.0797101449275362	0.630434782608696	0.0584795321637427	0.233918128654971	0.701754385964912	0.571895424836601	56.8	0.533450704225352	0.126362625139043	392.7	0.871148459383753	0.192660550458716	0.307692307692308	0.0769230769230769	0.0769230769230769	0	0.0769230769230769	0.617283950617284	0.25	0.0404040404040404	0.192660550458716	0.0275229357798165	0.302752293577982	0.119266055045872	1.55	0.155882352941176	1.49705882352941	0.238235294117647	28	0.0142857142857143		0.11231884057971
"Atlanta United"	14.9	9.5	24.4	3	9.4	11.8	10.3	1.6	0.1	1.6	13.4	2.6	0.8	7.5	2.7	0.3	1.3	1	15	5.9	0.6	8.5	1.62	0.3	1.1	0.2	7.9	12.3	20.2	16	9.4	24	12.8	11.2	493.4	33.8	27.7	372.5	59.3	11.2	2.1	9.1	0.1	0	0.2	0	0.8	1.1	10.3	0.8	3.6	0.3	2.2	1.3	0.7	0.2		8.1	"MLS"	11.2	14.9	9.5	10.2	1.7	55	612	54.3	82.6	12.6	29	46	29									40.6	48.4																																	34	43	0.393333333333333	0.04	0.566666666666667	0.123456790123457	0.185185185185185	0.679012345679012	0.533333333333333	61.5	0.549593495934959	0.124645318200243	431.8	0.862667901806392	0.1875	0.0909090909090909	0	0.181818181818182	0	0	0.608910891089109	0.258992805755396	0.0776699029126214	0.1875	0.0636363636363636	0.2	0.133928571428571	1.42352941176471	0.194117647058824	1.19411764705882	0.0705882352941176	24.3	0.0329218106995885		0.0949019607843137
"New York City FC"	17.2	10.5	27.7	4	10.1	12	13.7	2.3	0	2	18.9	2.6	1	7.9	2.6	0.1	1.3	1.2	15.2	6.5	0.5	8.2	1.85	0.3	1.2	0.4	6.3	9.5	15.7	16.3	10.4	30.1	15.2	15	509.6	35.9	32.6	377.9	63.2	11.2	2	9.3	0.1	0	0.1	0	1	1.3	10.9	0.6	3.4	0.3	2	1	0.3	0.3		8.5	"MLS"	11.5	17.2	10.3	13.7	2.2	63	801	55.2	81	15.5	26	44	30									37.6	48.9																																	34	42	0.427631578947368	0.0328947368421053	0.539473684210526	0.216216216216216	0.162162162162162	0.648648648648649	0.504983388704319	68.5	0.524087591240876	0.134419152276295	441.1	0.856721831784176	0.178571428571429	0.0769230769230769	0	0.0769230769230769	0	0	0.605095541401274	0.237762237762238	0.055045871559633	0.178571428571429	0.0277777777777778	0.185185185185185	0.116071428571429	1.43823529411765	0.414705882352941	1.10588235294118	0.129411764705882	27.3	0.021978021978022		0.0946207430340557
"DC United"	16.7	10.3	27	5	9.7	11.3	11.4	1.4	0.1	1.5	23	5.3	1.3	6.9	3.8	0.1	2	1.6	12.6	5	0.7	6.9	1.21	0.2	0.8	0.2	7.4	10.4	17.7	14.4	10	33.5	17.7	15.8	432.9	26.1	31.4	318.1	57.4	9.1	2.2	6.9	0.1	0	0.1	0.1	0.5	0.7	7.5	0.4	4.5	0.1	2.3	0.9	0.2	0.7		6.3	"MLS"	17.3	16.9	9.9	11.6	1.5	41	506	48.4	79.3	18.1	24	44	27									51.6	37.9																																	34	38	0.396825396825397	0.0555555555555556	0.547619047619048	0.165289256198347	0.165289256198347	0.661157024793388	0.528358208955224	57.5	0.453913043478261	0.132825132825133	375.5	0.847137150466045	0.241758241758242	0.142857142857143	0	0.142857142857143	0.142857142857143	0.142857142857143	0.587570621468927	0.375	0.0533333333333333	0.241758241758242	0.0227272727272727	0.261363636363636	0.175824175824176	1.11470588235294	0.0911764705882353	1.51764705882353	-0.4	26.6	0.0150375939849624		0.088468720821662
"Minnesota United"	17.5	9	26.5	6	12.7	9.4	11.5	1.6	0.1	1.5	19.4	3.6	1.4	7.2	3.8	0.2	1.9	1.7	13.7	4.9	1	7.8	1.47	0.3	1	0.2	7.1	10.4	17.5	16.4	9.8	29.6	13.6	15.9	405	26.8	29.6	294.2	54.3	10.2	2	8.2	0.2	0	0.2	0.1	0.6	1	10.4	0.3	2.8	0.2	2.4	0.8	0.4	0.3		7.1	"MLS"	14.4	17.4	12.7	11.5	1.6	50	544	46.3	79.4	13.8	27	44	28									42.4	46.6																																	34	43	0.357664233576642	0.072992700729927	0.569343065693431	0.136054421768707	0.204081632653061	0.680272108843537	0.459459459459459	56.4	0.475177304964539	0.139259259259259	348.5	0.844189383070301	0.196078431372549	0.2	0	0.2	0.1	0.1	0.594285714285714	0.212121212121212	0.0288461538461538	0.196078431372549	0.0404040404040404	0.242424242424242	0.107843137254902	1.37058823529412	0.1	1.24705882352941	0.0176470588235295	30.1	0.00996677740863787		0.100042936882782
"Philadelphia Union"	18.9	10.6	29.5	7	9.1	9.6	11.4	1.7	0.1	2.4	15.7	3.1	1.1	7.6	2.4	0.1	1.5	0.8	14	5.5	1.1	7.4	1.68	0.2	1.3	0.2	6.6	10.6	17.2	15.7	8.4	31.4	15.6	15.8	484	27.1	29.2	368.9	58.7	10.5	1.5	9	0.2	0	0.1	0	1	1.2	9.8	0.3	3.7	0.2	2	0.9	0.5	0.4		7.5	"MLS"	11.6	18.5	9.2	11.8	2.5	57	623	52.1	81.5	16	32	43	26									42.7	50.2																																	34	50	0.392857142857143	0.0785714285714286	0.528571428571429	0.119047619047619	0.119047619047619	0.773809523809524	0.496815286624204	56.3	0.481349911190053	0.116322314049587	427.6	0.862722170252572	0.142857142857143	0.166666666666667	0	0.0833333333333333	0	0	0.616279069767442	0.274074074074074	0.0306122448979592	0.142857142857143	0.05	0.2	0.123809523809524	1.47647058823529	0.2	1.25588235294118	0.214705882352941	27.6	0.0108695652173913		0.10546218487395
"San Jose Earthquakes"	17.7	9.1	26.9	8	10.6	12.2	12.5	2.1	0.1	2.2	14.9	2.7	0.9	6.9	3.2	0.1	1.8	1.3	17.5	7.8	1.3	8.4	1.47	0.4	0.9	0.2	7.1	11.7	18.9	14.1	10.6	23.1	10.6	12.5	501.9	38.1	26.5	385	52.4	13.9	1.7	12.2	0.1	0	0.1	0	0.9	1.2	13.3	0.3	3.9	0	2.1	1.1	0.3	0.4		11	"MLS"	13.1	17.7	10.6	12.5	2.2	50	705	55.8	84.3	10.6	30	42	26									45.5	54.7																																	34	55	0.445714285714286	0.0742857142857143	0.48	0.136054421768707	0.272108843537415	0.612244897959184	0.458874458874459	64.6	0.589783281733746	0.128710898585376	437.4	0.880201188843164	0.122302158273381	0.0833333333333333	0	0.0833333333333333	0	0	0.619047619047619	0.226744186046512	0.0225563909774436	0.122302158273381	0.0223880597014925	0.156716417910448	0.107913669064748	1.60882352941176	-0.138235294117647	1.33823529411765	0.279411764705882	28.3	0.0106007067137809		0.0919327731092437
"Portland Timbers"	16.9	10.3	27.2	9	10.1	9	13.5	2.2	0.2	1.6	19	3.1	1	6.4	3.6	0.2	2.2	1.2	16.5	6	0.9	9.6	1.47	0.3	0.9	0.3	6.1	8	14.1	14.3	7.7	27.7	13.8	13.9	450.9	34.8	26.9	333.5	55.7	13.2	3.1	10.2	0.3	0.1	0.1	0.1	0.6	1	11.5	0.9	4.1	0.1	3.6	1.7	0.3	0.4		9.2	"MLS"	14	16.6	10.6	10.2	1.7	50	564	49.3	81.1	14.4	30	42	31									51.7	51.6																																	34	49	0.363636363636364	0.0545454545454545	0.581818181818182	0.204081632653061	0.204081632653061	0.612244897959184	0.498194945848375	61.7	0.564019448946515	0.136837436238634	389.2	0.85688591983556	0.234848484848485	0.3	0.1	0.1	0.1	0.2	0.567375886524823	0.262820512820513	0.0782608695652174	0.234848484848485	0.0229007633587786	0.274809160305344	0.159090909090909	1.51764705882353	-0.0470588235294118	1.52058823529412	-0.0794117647058824	26.7	0.0337078651685393		0.0919786096256685
"FC Dallas"	17.8	9.3	27.1	10	11	11.7	12.6	2	0	1.5	16.4	3	1.3	6.8	2.7	0.1	1.5	1.1	13.8	6.2	0.7	6.9	1.5	0.3	1	0.2	7	9.2	16.2	13.5	9.9	23	11.7	11.3	495.9	31.3	25.3	387.9	51.3	10.2	1.9	8.4	0.1	0.1	0.1	0	0.8	1	10	0.4	3.3	0.1	1.5	1.1	0.2	0.1		8.1	"MLS"	13.1	17.7	11.2	12.8	1.5	51	701	52.6	84.4	12	26	42	25									40.7	44.7																																	34	46	0.449275362318841	0.0507246376811594	0.5	0.133333333333333	0.2	0.666666666666667	0.508695652173913	56.6	0.553003533568905	0.114135914498891	439.2	0.883196721311475	0.186274509803922	0.1	0.1	0.1	0	0.1	0.567901234567901	0.24812030075188	0.04	0.186274509803922	0.0204081632653061	0.153061224489796	0.117647058823529	1.31470588235294	0.185294117647059	1.19705882352941	0.155882352941176	28.7	0.0139372822299652		0.0952685421994885
