"","Var.1","Var.2","Var.3","Playing Time","Playing Time","Playing Time","Performance","Performance","Performance","Performance","Performance","Performance","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Expected","Expected","Expected","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Var.26","Var.27","Playing Time","Playing Time","Playing Time","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Penalty Kicks","Penalty Kicks","Penalty Kicks","Penalty Kicks","Var.45","Var.46","Var.47","Goals","Goals","Goals","Goals","Goals","Expected","Expected","Expected","Expected","Launched","Launched","Launched","Passes","Passes","Passes","Passes","Goal Kicks","Goal Kicks","Goal Kicks","Crosses","Crosses","Crosses","Sweeper","Sweeper","Sweeper","Var.73","Var.74","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Expected","Expected","Expected","Expected","Expected","Var.91","Var.92","Total","Total","Total","Total","Total","Short","Short","Short","Medium","Medium","Medium","Long","Long","Long","Var.107","Var.108","Var.109","Var.110","Var.111","Var.112","Var.113","Var.114","Var.115","Var.116","Var.117","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Corner Kicks","Corner Kicks","Corner Kicks","Height","Height","Height","Body Parts","Body Parts","Body Parts","Body Parts","Body Parts","Outcomes","Outcomes","Outcomes","Outcomes","Outcomes","Var.142","Var.143","SCA","SCA","SCA Types","SCA Types","SCA Types","SCA Types","SCA Types","GCA","GCA","GCA Types","GCA Types","GCA Types","GCA Types","GCA Types","GCA Types","Var.159","Var.160","Tackles","Tackles","Tackles","Tackles","Tackles","Vs Dribbles","Vs Dribbles","Vs Dribbles","Vs Dribbles","Pressures","Pressures","Pressures","Pressures","Pressures","Pressures","Blocks","Blocks","Blocks","Blocks","Var.180","Var.181","Var.182","Var.183","Var.184","Var.185","Touches","Touches","Touches","Touches","Touches","Touches","Touches","Dribbles","Dribbles","Dribbles","Dribbles","Dribbles","Carries","Carries","Carries","Receiving","Receiving","Receiving","Var.204","Var.205","Var.206","Var.207","Playing Time","Playing Time","Playing Time","Playing Time","Starts","Starts","Subs","Subs","Subs","Team Success","Team Success","Team Success","Team Success","Team Success","Team Success (xG)","Team Success (xG)","Team Success (xG)","Team Success (xG)","Var.226","Var.227","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Aerial Duels","Aerial Duels","Aerial Duels","League"
"101","Fulham","28","48.6","38","418","3,420","33","24","2","3","70","2","0.87","0.63","1.50","0.82","1.45","39.5","37.2","28.6","1.04","0.75","1.79","0.98","1.73","Fulham","3","38","38","3,420","81","2.13","222","147",".658","7","5","26","5","13.2","7","5","1","1","Fulham","3","38.0","81","5","1","9","2","73.7","0.31","-5.3","-0.14","332","788","42.1","833","131","59.7","44.8","345","84.3","60.1","397","31","7.8","17","0.45","13.5","Fulham","28","33","2","3","438","138","10","31.5","11.53","3.63","0.07","0.22","39.5","37.2","0.09","-6.5","-6.2","Fulham","28","15145","19240","78.7","291406","105290","168","505","33.3","11743","13450","87.3","3234","5285","61.2","24","28.6","-4.6","335","1096","248","63","1543","Fulham","28","19240","17462","1778","399","22","3213","440","621","160","19","13","7","12911","1984","4345","5995","10812","986","755","242","15145","85","398","306","425","Fulham","28","704","18.53","540","58","48","37","20","61","1.61","42","3","7","5","3","1","Fulham","28","605","400","334","220","51","189","524","36.1","335","6366","1641","25.8","2452","2700","1214","644","160","3","484","426","985","8","Fulham","28","48.6","23822","2733","7984","11730","5399","692","22098","391","625","62.6","424","27","15638","80735","42307","18090","15145","83.7","472","502","Fulham","28","38","3,420","90","100","418","84","108","22","158","0.68","34","81","-47","-1.24","39.5","65.3","-25.8","-0.68","Fulham","28","70","2","2","428","343","91","621","426","400","2","6","2","3667","541","523","50.8","Premier-League"
"111","Huddersfield","31","47.0","38","418","3,420","20","13","1","1","56","4","0.53","0.34","0.87","0.50","0.84","30.0","29.3","20.5","0.79","0.54","1.33","0.77","1.31","Huddersfield","3","38","38","3,420","76","2.00","177","108",".610","3","7","28","5","13.2","8","7","1","0","Huddersfield","3","38.0","76","7","3","8","1","64.8","0.34","-10.2","-0.27","371","883","42.0","1064","106","62.9","46.9","264","81.1","61.0","282","32","11.3","23","0.61","14.2","Huddersfield","31","20","1","1","400","118","15","29.5","10.53","3.11","0.05","0.16","30.0","29.3","0.08","-10.0","-10.3","Huddersfield","31","13000","17533","74.1","259930","97688","176","618","28.5","9543","11409","83.6","3281","5506","59.6","13","20.5","-7.5","279","1014","238","94","1484","Huddersfield","31","17533","15641","1892","429","24","3183","432","776","162","21","18","6","10562","2272","4699","4559","10227","1054","924","168","13000","56","417","339","524","Huddersfield","31","569","14.97","415","66","24","30","32","34","0.89","23","5","0","2","2","2","Huddersfield","31","745","434","359","299","87","230","709","32.4","479","7217","1897","26.3","2649","3201","1367","667","135","4","532","521","759","6","Huddersfield","31","47.0","21964","2177","7018","10351","5818","684","20118","284","524","54.2","310","14","13564","73902","36182","16204","13000","80.2","424","434","Huddersfield","31","38","3,420","90","100","418","84","107","22","159","0.42","22","76","-54","-1.42","30.0","62.2","-32.1","-0.85","Huddersfield","31","56","4","1","427","381","64","776","521","434","1","8","1","3871","624","613","50.4","Premier-League"
"121","Leicester City","25","51.1","38","418","3,420","48","34","5","7","60","5","1.26","0.89","2.16","1.13","2.03","49.4","44.3","33.7","1.30","0.89","2.19","1.16","2.05","Leicester City","1","38","38","3,420","48","1.26","139","96",".691","15","7","16","10","26.3","5","5","0","0","Leicester City","1","38.0","48","5","0","7","0","44.8","0.29","-3.2","-0.08","329","692","47.5","903","108","51.3","41.9","305","75.1","57.4","338","34","10.1","16","0.42","14.2","Leicester City","25","48","5","7","508","174","18","34.3","13.37","4.58","0.08","0.25","49.4","44.3","0.09","-1.4","-1.3","Leicester City","25","14734","19028","77.4","291099","99436","191","611","31.3","10955","12891","85.0","3588","5526","64.9","34","33.7","+0.3","363","1173","275","69","1662","Leicester City","25","19028","17142","1886","445","46","3284","651","786","206","12","22","11","12183","2553","4292","4108","12347","1082","844","183","14734","65","436","383","523","Leicester City","25","757","19.92","544","75","52","43","42","82","2.16","56","2","8","6","9","1","Leicester City","25","714","445","384","255","75","160","540","29.6","380","6784","1888","27.8","2475","2986","1323","644","108","0","536","428","931","7","Leicester City","25","51.1","23571","2375","7494","11300","6329","878","21754","381","596","63.9","417","26","15756","91191","50143","17706","14734","83.2","481","448","Leicester City","25","38","3,420","90","100","418","85","111","18","155","1.37","51","48","+3","+0.08","49.4","42.1","+7.3","+0.19","Leicester City","25","60","5","3","359","381","72","786","428","445","6","5","0","3733","598","472","55.9","Premier-League"
"131","Liverpool","23","61.7","38","418","3,420","86","55","7","7","39","2","2.26","1.45","3.71","2.08","3.53","72.9","67.6","47.8","1.92","1.26","3.18","1.78","3.04","Liverpool","1","38","38","3,420","22","0.58","96","74",".771","30","7","1","21","55.3","1","0","0","1","Liverpool","1","38.0","22","0","0","5","0","26.0","0.27","+4.0","+0.11","196","394","49.7","1054","197","27.0","32.4","208","52.4","46.3","278","22","7.9","37","0.97","16.6","Liverpool","23","86","7","7","568","210","20","37.0","14.95","5.53","0.14","0.38","72.9","67.6","0.12","+13.1","+11.4","Liverpool","23","21090","25254","83.5","417026","130704","196","596","32.9","15715","17597","89.3","5179","7061","73.3","55","47.8","+7.2","417","1731","528","88","2279","Liverpool","23","25254","23407","1847","441","88","3738","767","721","247","26","20","5","18169","2611","4474","6294","16465","972","892","284","21090","72","387","356","551","Liverpool","23","893","23.50","667","69","70","46","38","143","3.76","99","9","11","10","11","3","Liverpool","23","603","388","262","246","95","174","564","30.9","390","6195","1812","29.2","1756","2743","1696","509","92","2","417","323","699","14","Liverpool","23","61.7","29488","2056","7736","15345","8207","1297","27686","395","640","61.7","437","33","21611","105121","57522","24214","21090","87.1","544","480","Liverpool","23","38","3,420","90","100","418","86","109","15","157","2.55","89","22","+67","+1.76","72.9","29.8","+43.1","+1.13","Liverpool","23","39","2","2","321","349","82","721","323","388","7","1","0","3898","462","431","51.7","Premier-League"
"141","Manchester City","21","67.8","38","418","3,420","91","71","3","4","44","1","2.39","1.87","4.26","2.32","4.18","81.6","78.5","61.0","2.15","1.61","3.75","2.07","3.67","Manchester City","1","38","38","3,420","23","0.61","76","57",".750","32","2","4","20","52.6","4","4","0","0","Manchester City","1","38.0","23","4","1","5","0","25.2","0.30","+2.2","+0.06","137","277","49.5","901","172","21.5","29.7","170","48.8","49.4","177","17","9.6","27","0.71","17.1","Manchester City","21","91","3","4","680","247","20","36.3","17.89","6.50","0.13","0.36","81.6","78.5","0.12","+9.4","+9.5","Manchester City","21","24603","28124","87.5","460695","127587","240","614","39.1","19165","20858","91.9","5198","6652","78.1","71","61.0","+10.0","507","2097","593","63","2310","Manchester City","21","28124","26548","1576","326","119","4224","666","789","294","30","30","12","22234","2711","3179","11583","14472","816","725","256","24603","84","334","366","490","Manchester City","21","1078","28.37","833","68","76","57","41","161","4.24","128","6","10","5","9","3","Manchester City","21","513","352","215","222","76","167","465","35.9","298","5487","1589","29.0","1362","2474","1651","440","78","2","362","361","653","6","Manchester City","21","67.8","32061","2019","6900","16636","10728","1670","30517","423","710","59.6","465","30","24823","137034","79550","27101","24603","90.8","430","456","Manchester City","21","38","3,420","90","100","418","86","108","17","158","2.58","95","23","+72","+1.89","81.6","25.2","+56.4","+1.48","Manchester City","21","44","1","0","333","302","102","789","361","352","4","4","0","3515","402","363","52.5","Premier-League"
"151","Manchester Utd","28","54.5","38","418","3,420","65","40","9","12","75","4","1.71","1.05","2.76","1.47","2.53","59.6","50.4","38.2","1.57","1.00","2.57","1.33","2.33","Manchester Utd","1","38","38","3,420","54","1.42","169","124",".716","19","9","10","7","18.4","6","6","0","0","Manchester Utd","1","38.0","54","6","2","7","3","53.1","0.29","+2.1","+0.05","311","667","46.6","756","143","53.0","43.8","331","80.4","60.5","310","19","6.1","13","0.34","12.6","Manchester Utd","28","65","9","12","518","212","28","40.9","13.63","5.58","0.11","0.26","59.6","50.4","0.10","+5.4","+5.6","Manchester Utd","28","16788","20703","81.1","318767","112450","250","648","38.6","12876","14605","88.2","3662","5450","67.2","40","38.2","+1.8","380","1327","361","74","1860","Manchester Utd","28","20703","18832","1871","417","48","3537","625","632","198","9","27","9","14205","2500","3998","6017","12339","859","833","227","16788","79","321","328","480","Manchester Utd","28","839","22.08","642","54","53","40","50","110","2.89","75","4","11","10","10","0","Manchester Utd","28","581","359","299","215","67","179","528","33.9","349","6216","1619","26.0","2204","2739","1273","603","138","0","465","354","861","6","Manchester Utd","28","54.5","25046","2320","7285","12543","6675","1012","23215","362","585","61.9","390","17","17295","89832","48401","19538","16788","85.9","454","457","Manchester Utd","28","38","3,420","90","100","418","85","112","20","154","1.74","65","54","+11","+0.29","59.6","48.3","+11.3","+0.30","Manchester Utd","28","75","4","2","436","400","90","632","354","359","10","6","3","3482","537","387","58.1","Premier-League"
"161","Newcastle Utd","24","40.4","38","418","3,420","41","33","1","3","57","2","1.08","0.87","1.95","1.05","1.92","38.8","36.5","25.5","1.02","0.67","1.69","0.96","1.63","Newcastle Utd","1","38","38","3,420","48","1.26","135","94",".689","12","9","17","11","28.9","6","6","0","0","Newcastle Utd","1","38.0","48","6","2","10","1","48.5","0.33","+1.5","+0.04","272","722","37.7","836","144","54.2","43.5","316","85.1","62.8","408","35","8.6","23","0.61","13.3","Newcastle Utd","24","41","1","3","433","136","17","31.4","11.39","3.58","0.09","0.29","38.8","36.5","0.09","+2.2","+3.5","Newcastle Utd","24","10842","15148","71.6","226560","88748","151","568","26.6","7742","9407","82.3","2949","5173","57.0","33","25.5","+7.5","293","892","267","89","1353","Newcastle Utd","24","15148","13371","1777","382","25","2899","551","716","180","19","27","1","8424","2135","4589","4111","8525","1038","813","230","10842","52","374","262","484","Newcastle Utd","24","615","16.18","454","61","39","28","32","59","1.55","43","5","0","8","2","1","Newcastle Utd","24","716","422","375","271","70","229","667","34.3","438","7340","1774","24.2","2886","3310","1144","745","152","5","593","508","1100","9","Newcastle Utd","24","40.4","19947","2472","7414","8754","4909","723","18203","296","506","58.5","324","21","11686","63711","33652","13864","10842","78.2","474","428","Newcastle Utd","24","38","3,420","90","100","418","86","99","17","167","1.18","42","48","-6","-0.16","38.8","53.1","-14.3","-0.38","Newcastle Utd","24","57","2","0","425","336","59","716","508","422","2","6","1","3788","535","716","42.8","Premier-League"
"171","Southampton","30","43.9","38","418","3,420","44","27","4","5","73","3","1.16","0.71","1.87","1.05","1.76","45.2","41.5","26.4","1.19","0.69","1.88","1.09","1.78","Southampton","3","38","38","3,420","65","1.71","170","110",".629","9","12","17","7","18.4","3","2","1","0","Southampton","3","38.0","65","2","0","8","3","56.7","0.32","-5.3","-0.14","204","709","28.8","691","96","67.6","50.8","276","87.7","65.6","355","30","8.5","19","0.50","14.1","Southampton","30","44","4","5","483","152","19","31.5","12.71","4.00","0.08","0.26","45.2","41.5","0.09","-1.2","-1.5","Southampton","30","11568","15998","72.3","224381","82853","173","551","31.4","8742","10557","82.8","2653","4890","54.3","27","26.4","+0.6","330","1091","267","80","1473","Southampton","30","15998","14242","1756","399","37","3198","471","668","191","37","21","8","9577","2075","4346","3458","10006","1108","786","180","11568","51","451","300","471","Southampton","30","704","18.53","496","66","45","50","46","65","1.71","49","0","3","5","7","1","Southampton","30","725","451","371","269","85","235","679","34.6","444","7432","1940","26.1","2704","3166","1562","697","164","4","533","533","1026","14","Southampton","30","43.9","20628","2202","6335","9613","5833","815","18891","329","554","59.4","363","19","12398","71573","37806","14584","11568","79.3","453","381","Southampton","30","38","3,420","90","100","418","85","107","20","159","1.03","45","65","-20","-0.53","45.2","54.8","-9.6","-0.25","Southampton","30","73","3","2","428","341","62","668","533","451","4","3","3","3829","551","665","45.3","Premier-League"
"181","Tottenham","28","58.9","38","418","3,420","66","47","4","4","57","3","1.74","1.24","2.97","1.63","2.87","54.4","51.4","36.2","1.43","0.95","2.38","1.35","2.31","Tottenham","3","38","38","3,420","39","1.03","148","114",".757","23","2","13","13","34.2","5","3","2","0","Tottenham","3","38.0","39","3","1","7","3","49.3","0.31","+13.3","+0.35","246","541","45.5","1067","182","35.8","35.4","266","59.8","48.1","331","17","5.1","19","0.50","14.8","Tottenham","28","66","4","4","533","186","23","34.9","14.03","4.89","0.12","0.33","54.4","51.4","0.10","+11.6","+10.6","Tottenham","28","18683","22702","82.3","367941","115352","216","640","33.8","13903","15664","88.8","4564","6398","71.3","47","36.2","+10.8","385","1436","383","98","1803","Tottenham","28","22702","20899","1803","442","40","3843","605","639","194","18","21","2","16157","2498","4047","6318","14035","923","824","249","18683","66","332","318","546","Tottenham","28","826","21.74","603","72","61","47","43","103","2.71","68","8","8","11","8","0","Tottenham","28","640","401","336","212","92","191","534","35.8","343","5919","1677","28.3","1979","2572","1368","580","124","4","456","332","780","8","Tottenham","28","58.9","27062","2616","8365","13239","7117","1016","25308","395","671","58.9","435","31","19056","100034","53420","21487","18683","87.0","486","453","Tottenham","28","38","3,420","90","100","418","86","106","15","160","1.87","67","39","+28","+0.74","54.4","45.7","+8.7","+0.23","Tottenham","28","57","3","1","378","366","74","639","332","401","3","5","3","3705","453","462","49.5","Premier-League"
"191","Watford","25","47.1","38","418","3,420","51","39","1","1","79","4","1.34","1.03","2.37","1.32","2.34","47.7","47.0","33.0","1.26","0.87","2.13","1.24","2.11","Watford","1","38","38","3,420","59","1.55","173","118",".682","14","8","16","7","18.4","5","4","1","0","Watford","1","38.0","59","4","2","7","3","57.5","0.32","+1.5","+0.04","360","973","37.0","942","99","73.8","52.5","300","92.7","68.8","374","35","9.4","42","1.11","15.9","Watford","25","51","1","1","434","150","22","34.6","11.42","3.95","0.12","0.33","47.7","47.0","0.11","+3.3","+3.0","Watford","25","12718","17004","74.8","249287","96628","227","621","36.6","9498","11267","84.3","2993","5116","58.5","39","33.0","+6.0","301","1010","320","68","1501","Watford","25","17004","15200","1804","481","35","3073","497","573","177","17","15","2","10275","2505","4224","4588","9913","1046","749","195","12718","78","335","355","475","Watford","25","635","16.71","466","53","44","30","41","81","2.13","53","8","12","4","3","1","Watford","25","676","426","370","235","71","211","626","33.7","415","6896","1875","27.2","2581","2976","1339","591","123","3","468","416","915","11","Watford","25","47.1","21445","2346","6799","10012","5786","964","19671","313","550","56.9","341","18","13433","72935","38317","15660","12718","81.2","487","486","Watford","25","38","3,420","90","100","418","85","103","18","163","1.32","52","59","-7","-0.18","47.7","55.0","-7.2","-0.19","Watford","25","79","4","1","437","385","90","573","416","426","1","4","3","3820","567","624","47.6","Premier-League"
"20","West Ham","26","48.7","38","418","3,420","51","33","5","5","59","1","1.34","0.87","2.21","1.21","2.08","48.4","44.7","32.5","1.27","0.86","2.13","1.18","2.03","West Ham","1","38","38","3,420","55","1.45","191","139",".733","15","7","16","7","18.4","5","4","1","0","West Ham","1","38.0","55","4","0","10","1","66.2","0.34","+12.2","+0.32","316","848","37.3","901","142","62.9","49.4","303","92.7","68.7","376","36","9.6","16","0.42","13.6","West Ham","26","51","5","5","437","149","17","34.1","11.50","3.92","0.11","0.31","48.4","44.7","0.11","+2.6","+1.3","West Ham","26","13888","17968","77.3","264951","95522","324","720","45.0","10451","12214","85.6","3113","5034","61.8","33","32.5","+0.5","314","1041","291","60","1467","West Ham","26","17968","16104","1864","480","44","2789","550","631","188","24","20","2","11654","2361","3953","5274","10468","820","801","223","13888","68","376","314","495","West Ham","26","666","17.53","478","75","31","45","36","81","2.13","54","6","4","9","7","1","West Ham","26","700","443","379","257","64","234","699","33.5","465","6747","1699","25.2","2680","2917","1150","640","145","2","495","458","884","9","West Ham","26","48.7","22419","2381","7042","10842","6041","887","20611","389","614","63.4","411","29","14672","88873","46415","16707","13888","83.1","446","483","West Ham","26","38","3,420","90","100","418","84","113","23","152","1.37","52","55","-3","-0.08","48.4","61.1","-12.7","-0.33","West Ham","26","59","1","0","338","393","73","631","458","443","5","5","1","3433","444","429","50.9","Premier-League"
"21","Wolves","21","46.9","38","418","3,420","46","35","4","4","73","1","1.21","0.92","2.13","1.11","2.03","49.4","46.4","33.8","1.30","0.89","2.19","1.22","2.11","Wolves","3","38","38","3,420","46","1.21","141","101",".695","16","9","13","9","23.7","4","3","0","1","Wolves","3","38.0","46","3","1","7","3","41.7","0.29","-1.3","-0.03","249","585","42.6","574","110","60.6","43.6","282","84.0","57.5","315","21","6.7","13","0.34","12.8","Wolves","21","46","4","4","470","144","12","30.6","12.37","3.79","0.09","0.29","49.4","46.4","0.10","-3.4","-4.4","Wolves","21","14013","18035","77.7","289770","96141","163","524","31.1","10011","11707","85.5","3839","5804","66.1","35","33.8","+1.2","330","1119","275","77","1568","Wolves","21","18035","16304","1731","347","32","3493","725","627","196","14","25","3","10899","2778","4358","3531","11985","1083","823","189","14013","65","411","311","437","Wolves","21","688","18.11","516","60","40","38","33","82","2.16","58","6","3","6","8","1","Wolves","21","694","407","380","258","56","209","642","32.6","433","6221","1631","26.2","2345","2944","932","660","151","2","509","505","945","8","Wolves","21","46.9","22619","2177","7229","11103","5655","822","20911","338","547","61.8","367","12","14762","84510","47743","16952","14013","82.7","459","496","Wolves","21","38","3,420","90","100","418","85","110","17","156","1.50","47","46","+1","+0.03","49.4","38.8","+10.6","+0.28","Wolves","21","73","1","0","412","333","74","627","505","407","3","4","4","3633","595","560","51.5","Premier-League"
"23","Atalanta","27","57.2","38","418","3,420","75","60","2","4","62","3","1.97","1.58","3.55","1.92","3.50","67.8","64.7","51.3","1.78","1.35","3.13","1.70","3.05","Atalanta","3","38","38","3,420","47","1.24","132","93",".674","20","9","9","9","23.7","5","4","0","1","Atalanta","3","38.0","47","4","3","6","3","39.5","0.28","-3.5","-0.09","199","491","40.5","802","175","35.7","35.3","261","78.5","56.6","297","28","9.4","33","0.87","15.9","Atalanta","27","75","2","4","642","211","16","32.9","16.89","5.55","0.11","0.35","67.8","64.7","0.10","+7.2","+8.3","Atalanta","27","18178","22052","82.4","345298","110648","249","658","37.8","14114","15947","88.5","3815","5447","70.0","60","51.3","+8.7","493","1326","474","100","2037","Atalanta","27","22052","20093","1959","565","64","3441","613","813","241","35","24","17","15984","2678","3390","6438","13410","821","810","247","18178","62","324","371","501","Atalanta","27","1022","26.89","769","87","80","58","27","132","3.47","99","9","11","9","3","1","Atalanta","27","708","470","337","284","87","286","718","39.8","432","5905","1777","30.1","1747","2780","1378","575","104","2","471","464","749","9","Atalanta","27","57.2","26743","2067","7426","12846","8422","1275","24884","492","812","60.6","523","25","19056","116757","63704","20896","18178","87.0","530","507","Atalanta","27","38","3,420","90","100","418","84","109","21","311","1.82","77","46","+31","+0.82","67.8","40.5","+27.3","+0.72","Atalanta","27","62","3","1","453","508","72","813","464","470","3","5","3","3708","486","473","50.7","Serie-A"
"32","Bologna","29","45.2","38","418","3,420","45","35","5","5","91","6","1.18","0.92","2.11","1.05","1.97","47.4","43.6","30.2","1.25","0.79","2.04","1.15","1.94","Bologna","1","38","38","3,420","56","1.47","173","121",".699","11","11","16","10","26.3","4","4","0","0","Bologna","1","38.0","56","4","1","5","1","51.7","0.29","-3.3","-0.09","265","607","43.7","783","221","48.5","40.8","343","66.2","51.3","406","41","10.1","9","0.24","12.3","Bologna","29","45","5","5","495","159","23","32.1","13.03","4.18","0.08","0.25","47.4","43.6","0.09","-2.4","-3.6","Bologna","29","12115","16033","75.6","244440","93105","178","581","30.6","8822","10409","84.8","3115","5043","61.8","35","30.2","+4.8","344","970","265","90","1595","Bologna","29","16033","14024","2009","549","32","2553","443","739","201","46","10","14","9735","2275","4023","3970","9587","842","824","312","12115","68","346","254","480","Bologna","29","745","19.61","532","78","36","51","45","80","2.11","54","10","2","5","6","3","Bologna","29","692","420","379","235","78","241","675","35.7","434","6892","1768","25.7","2466","3025","1401","645","159","2","486","385","843","16","Bologna","29","45.2","20537","2335","7012","9392","5506","820","18580","321","615","52.2","350","20","12687","80341","45277","14901","12115","81.3","441","413","Bologna","29","38","3,420","90","100","418","85","112","18","339","1.16","48","56","-8","-0.21","47.4","45.8","+1.6","+0.04","Bologna","29","91","6","3","521","530","86","739","385","420","3","4","1","3374","623","613","50.4","Serie-A"
"42","Cagliari","30","49.9","38","418","3,420","36","27","2","3","94","9","0.95","0.71","1.66","0.89","1.61","39.6","37.3","27.1","1.04","0.71","1.76","0.98","1.70","Cagliari","1","38","38","3,420","54","1.42","195","147",".764","10","11","17","7","18.4","10","8","2","0","Cagliari","1","38.0","54","8","1","5","2","60.8","0.28","+8.8","+0.23","356","766","46.5","891","172","53.5","42.0","361","80.1","58.2","449","34","7.6","11","0.29","12.9","Cagliari","30","36","2","3","434","124","12","28.6","11.42","3.26","0.08","0.27","39.6","37.3","0.09","-3.6","-3.3","Cagliari","30","14565","18872","77.2","286422","107492","241","661","36.5","10806","12541","86.2","3518","5670","62.0","27","27.1","-0.1","306","1006","310","87","1695","Cagliari","30","18872","16876","1996","537","14","3283","554","797","189","24","30","6","11293","2720","4859","3592","12595","976","817","343","14565","55","374","286","468","Cagliari","30","631","16.61","455","80","23","41","31","55","1.45","34","7","4","4","5","1","Cagliari","30","651","421","293","250","108","222","624","35.6","402","5728","1482","25.9","1894","2399","1435","604","133","1","471","348","858","12","Cagliari","30","49.9","23057","2530","7267","11360","5738","773","21147","261","478","54.6","284","11","14594","77015","39344","17529","14565","83.1","461","388","Cagliari","30","38","3,420","90","100","418","84","113","20","310","1.08","36","54","-18","-0.47","39.6","57.7","-18.1","-0.48","Cagliari","30","94","9","5","580","464","62","797","348","421","3","9","2","3622","711","640","52.6","Serie-A"
"52","Chievo","36","43.5","38","418","3,420","25","17","4","6","110","7","0.66","0.45","1.11","0.55","1.00","35.2","30.8","22.7","0.93","0.60","1.52","0.81","1.41","Chievo","3","38","38","3,420","76","2.00","210","139",".648","2","14","22","7","18.4","4","2","2","0","Chievo","3","38.0","76","2","2","10","2","62.3","0.28","-10.7","-0.28","302","666","45.3","772","127","54.1","41.8","343","72.3","47.5","419","17","4.1","9","0.24","11.9","Chievo","36","25","4","6","388","112","13","28.9","10.21","2.95","0.05","0.19","35.2","30.8","0.08","-10.2","-9.8","Chievo","36","12555","16534","75.9","256489","95611","163","540","30.2","9107","10711","85.0","3285","5283","62.2","17","22.7","-5.7","284","908","253","101","1464","Chievo","36","16534","14685","1849","522","23","2616","570","679","128","9","17","1","9760","2403","4371","4502","9700","880","748","254","12555","66","377","292","438","Chievo","36","590","15.53","439","57","31","31","32","35","0.92","24","2","1","5","3","0","Chievo","36","687","460","354","257","76","249","711","35.0","462","7284","1728","23.7","2467","3369","1448","608","135","2","473","490","955","12","Chievo","36","43.5","20785","2471","7540","9844","4617","581","18995","281","449","62.6","293","11","12933","69694","36082","15300","12555","82.1","405","431","Chievo","36","38","3,420","90","100","418","83","113","23","327","0.45","25","75","-50","-1.32","35.2","58.2","-23.0","-0.61","Chievo","36","110","7","6","596","491","79","679","490","460","2","4","2","3289","551","583","48.6","Serie-A"
"62","Empoli","29","47.9","38","418","3,420","48","36","4","7","73","3","1.26","0.95","2.21","1.16","2.11","51.1","45.7","33.4","1.35","0.88","2.22","1.20","2.08","Empoli","3","38","38","3,420","70","1.84","226","164",".717","10","8","20","5","13.2","8","6","1","1","Empoli","3","38.0","70","6","0","8","2","63.8","0.26","-4.2","-0.11","193","512","37.7","847","229","41.4","37.8","345","46.7","43.5","440","30","6.8","18","0.47","13.2","Empoli","29","48","4","7","454","142","16","31.3","11.95","3.74","0.10","0.31","51.1","45.7","0.10","-3.1","-1.7","Empoli","29","14685","18406","79.8","291865","99453","168","544","30.9","10986","12479","88.0","3531","5383","65.6","36","33.4","+2.6","323","1207","340","63","1691","Empoli","29","18406","16475","1931","525","43","2796","634","654","187","16","17","11","12500","2311","3595","5775","10686","611","768","313","14685","65","370","313","451","Empoli","29","686","18.05","519","52","45","39","28","83","2.18","57","5","7","7","4","3","Empoli","29","590","372","286","222","82","193","547","35.3","354","6206","1535","24.7","2292","2665","1249","555","148","4","407","336","758","5","Empoli","29","47.9","22369","2522","7249","10442","6218","926","20508","367","610","60.2","393","20","15670","92321","52887","17241","14685","85.2","431","387","Empoli","29","38","3,420","90","100","418","85","106","20","319","1.00","51","70","-19","-0.50","51.1","60.1","-9.0","-0.24","Empoli","29","73","3","1","464","447","78","654","336","372","5","8","2","3082","327","420","43.8","Serie-A"
