"Date","Day","Comp","Round","Venue","Result","Squad","Opponent","Start","Pos","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int","Blocks","xG","npxG","xA","SCA","GCA","PassesCmp","PassesAtt","PassesCmp%","PassesPrgDist","Carries","CarriesPrgDist","DribblesSucc","DribblesAtt","Match Report","2017-2018"
"2019-04-27","Sat","Bundesliga","Matchweek 31","Home","L 2–4","Dortmund","Schalke 04","N","CM","13","0","0","0","0","0","0","0","0","14","4","1","0","0","0.0","0.0","0.0","0","0","9","10","90.0","8","12","88","0","0","Match Report","2018-2019"
"2019-05-04","Sat","Bundesliga","Matchweek 32","Away","D 2–2","Dortmund","Werder Bremen","Y","LW","90","1","0","0","0","6","3","0","0","62","9","0","0","0","1.0","1.0","0.0","7","2","36","42","85.7","98","58","256","4","5","Match Report","2018-2019"
"2019-05-11","Sat","Bundesliga","Matchweek 33","Home","W 3–2","Dortmund","Düsseldorf","Y","RW","89","1","0","0","0","3","1","1","0","70","13","1","0","3","0.7","0.7","0.1","5","0","39","50","78.0","107","58","228","6","7","Match Report","2018-2019"
"2019-05-18","Sat","Bundesliga","Matchweek 34","Away","W 2–0","Dortmund","M'gladbach","Y","LW,RW","90","0","1","0","0","1","0","0","0","71","10","1","1","2","0.1","0.1","0.8","4","1","46","61","75.4","132","66","234","3","3","Match Report","2018-2019"
"2019-06-18","Tue","Gold Cup","Group stage","Home","W 4–0","us United States","gy Guyana","Y","CM","62","0","0","0","0","3","1","0","0","","","","2","","","","","","","","","","","","","","","Match Report","2018-2019"
"2019-06-22","Sat","Gold Cup","Group stage","Home","W 6–0","us United States","tt Trinidad and Tobago","Y","AM","90","1","2","0","0","3","1","0","0","","","","1","","","","","","","","","","","","","","","Match Report","2018-2019"
"2019-06-26","Wed","Gold Cup","Group stage","Away","W 1–0","us United States","pa Panama","N","","26","0","0","0","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2018-2019"
"2019-06-30","Sun","Gold Cup","Quarter-finals","Home","W 1–0","us United States","cw Curaçao","Y*","CM","90","0","1","0","0","3","1","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2018-2019"
"2019-07-03","Wed","Gold Cup","Semi-finals","Away","W 3–1","us United States","jm Jamaica","Y","CM","90","2","0","0","0","4","3","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2019-2020"
"2019-07-07","Sun","Gold Cup","Final","Away","L 0–1","us United States","mx Mexico","Y","CM","90","0","0","0","0","3","2","0","0","","","","1","","","","","","","","","","","","","","","Match Report","2019-2020"
"2019-08-11","Sun","Premier League","Matchweek 1","Away","L 0–4","Chelsea","Manchester Utd","N","LW","33","0","0","0","0","1","0","0","0","21","12","0","0","0","0.0","0.0","0.0","1","0","13","15","86.7","37","20","107","2","5","Match Report","2019-2020"
