"Player" "Pos" "shots" "KP" "xG" "xA" "xPlace" "ShotDist" "KPDist" "A3Passes" "M3Passes" "D3Passes" "percChain" "xGChain" "xB" "Team" "ShotChainPerc" "KPChainPerc" "xBperc" "Vertical" "PassPct" "PassDistance" "xPassPerc" "Passes" "PassScore" "A3perc" "M3perc" "D3perc" "xGper" "xAper" "teamA3pass" "teamM3pass" "teamD3pass" "teampass" "teamxG" "teamshots" "A3teamperc" "M3teamperc" "D3teamperc" "passteamperc" "xGteamperc" "shotteamperc" "SuccDrib" "AttDrib" "PlayerDrib" "Carries" "CarryPrgDis" "TB" "PressPass" "SwPass" "Crs" "npxG" "targeted" "miscontrol" "passprg" "penCrs" "shortpasspct" "medpasspct" "longpasspct"
"Mark-Anthony Kaye" "CM" 1.37061273051755 1.19928613920286 0.149340884913271 0.182097908571075 -0.0206986279922032 22.8652376443357 21.4777274243219 11.4217727543129 37.4063057703748 5.71428571428571 0.214575159790629 1.11448208928616 0.862872578402816 "LAFC" 0.0518134715025907 0.0328151986183074 0.774236380017102 3.17342857142857 0.847368421052632 17.0966336128886 0.841308527237883 54.2534205829863 0.328769967819804 0.210526315789474 0.689473684210527 0.105325814536341 0.10895921334167 0.151838583486099 4139 8986 4537 17662 1.339 11.412 0.00275954886550203 0.00416273155690795 0.00125948550017318 0.00307175974312005 40.5178645130592 4.7540676991751 1.71 2.23 1.83 52.5 133.6 0.17 7.31 0.63 0.4 "0.11" 51.5 1.6 249.6 0 0.0243494423791822 0.771375464684015 0.204460966542751
"Benny Feilhaber" "CM" 0.739698492462312 1.09346733668342 0.0449860155874787 0.134920226847677 -0.00108075477011815 26.1183858171287 20.2794810236054 13.4753768844221 42.6452261306533 10.1949748743719 0.252256394386399 1.10465492174128 0.859702220859041 "LAFC" 0.0322033898305085 0.0355932203389831 0.778254099030205 3.14344119302195 0.861784675072745 19.473018800558 0.836832363599284 66.3155778894472 1.65472695504001 0.203200775945684 0.643064985451019 0.153734238603298 0.0608166922683985 0.123387523633675 4139 8986 4537 17662 1.339 11.412 0.00325570835574344 0.00474574072230729 0.00224707403005773 0.00375470376454802 49.5261970794975 5.811039071981 0.9 1.32 0.96 58 134.3 0.13 8.3 2.25 0.38 "0.05" 60.4 1 331.3 0.1 0.0186846038863976 0.711509715994021 0.270553064275037
"Seth Sinovic" "FB/WB" 0.546385885031303 0.710301650540694 0.016694032060756 0.0406243559933608 -0.015303437964914 30.3219707789096 28.8833691157055 16.5688073394495 33.6027319294252 9.34319863403529 0.226420105103058 0.905209380813554 0.851860486263216 "SKC" 0.0214168039538715 0.0230642504118616 0.941064580547773 0.912980022197558 0.828886844526219 18.3934892498058 0.795556723655963 59.3921457029027 1.97954739502159 0.278973038326173 0.565777368905244 0.157313707451702 0.0305535565945295 0.0571931037502684 5093 9163 4487 18743 1.269 13.618 0.00325325099930287 0.00366721946190387 0.00208228184400162 0.00316876410942233 46.8023212788831 4.36129723181838 0.27 0.6 0.33 39.7 126.9 0.11 7.6 1.09 0.98 "0.02" 42.6 0.55 314 0.05 0.0179310344827586 0.737931034482759 0.244827586206897
"Jonathan Osorio" "CM" 1.04461371055495 1.81066376496192 0.224449886376498 0.160084854974789 0.0952551843108595 14.5754728948178 22.0987042364499 16.4210526315789 30.1893362350381 7.18465588567131 0.199767605794737 1.04672888763986 0.848467173702697 "TOR" 0.0348468848996832 0.0549102428722281 0.810589240176414 0.44235938641344 0.892438070404172 16.5479841125164 0.862065939310418 53.4145810663765 1.62231465846592 0.307426404995539 0.565189048239896 0.134507389971723 0.214864005812502 0.0884122486309079 4540 9672 4990 19202 1.316 10.529 0.0036169719452817 0.00312131267938773 0.00143981079873173 0.00278171966807502 40.5885874364563 5.07309156295721 1.49 2.08 1.63 51.8 132.7 0.24 9.03 0.93 0.31 "0.27" 57.1 1.9 177.2 0.07 0.0290502793296089 0.813780260707635 0.157169459962756
"Leandro Gonzalez Pirez" "CB" 0.0323777403035413 0.25902192242833 0.00197147829340387 0.0231925773560342 -0.00197147829340387 21.6154395051315 24.410188131384 3.81227436823105 38.2057335581787 22.6644182124789 0.22525503815137 0.952018272099351 0.848330182948719 "ATL" 0.0113851992409867 0.00759013282732448 0.891086030395212 6.99131944444444 0.841463414634146 25.8363551805725 0.812589433122042 63.7193929173693 1.83983257305863 0.0598291068650759 0.599593495934959 0.355691056910569 0.0608899285410675 0.089539051901877 4305 8726 4626 17657 1.499 11.529 0.000885545730134971 0.00437837881711881 0.00489935542855143 0.00360873267924162 42.5079339008468 5.52687942730239 0.62 1.2 0.78 52.8 207.7 0.13 5.32 4.35 0.13 "0.06" 51.7 0.45 501.3 0.06 0.0124615384615385 0.498461538461538 0.489230769230769
"Yoshimar Yotun" "CDM" 1.45454545454545 1.68181818181818 0.075823966770219 0.164597752214618 -0.031410947301476 28.2338313316398 21.8318021787788 20.6363636363636 37.5909090909091 11.5 0.248349124318117 1.04091899989514 0.827873378574311 "ORL" 0.0427745664739884 0.069364161849711 0.795329299069102 5.23865733113674 0.791395045632334 21.4138249898868 0.772509274955698 69.7272727272727 1.3168532826345 0.295958279009126 0.539113428943938 0.164928292046936 0.0521289771545257 0.0978689337492324 3906 7404 4987 16297 0.916 9.529 0.00528324721873108 0.00507710819704337 0.00230599558853018 0.00427853425337625 76.1214767764986 7.31737566662532 2.01 2.97 2.1 62 197.2 0.18 10.8 5.21 1.55 "0.07" 63.2 1.42 441.9 0.46 0.0246808510638298 0.626950354609929 0.348936170212766
"Borek Dockal" "CAM" 1.48292682926829 2.02926829268293 0.135444541601167 0.261253250317797 0.0385991114167698 23.5277918977741 21.0075818558698 28.4487804878049 37.0731707317073 4.47179487179487 0.236290630774949 1.11912057807103 0.816890438885172 "PHI" 0.0483516483516484 0.089010989010989 0.729939610522756 1.89611192392099 0.764541387024608 19.4868487085276 0.787237505943116 69.7756097560976 -1.5836355366358 0.407718120805369 0.531319910514541 0.0640882234841966 0.0913359573297345 0.12874258729603 3993 8828 4226 17047 1.124 10.176 0.00712466328269594 0.00419949827046979 0.00105816253473613 0.00409313132845061 62.0779446228626 6.85687988955362 1.1 1.44 1.1 53.6 135.2 0.27 7.73 2.92 1.82 "0.13" 64.7 1.14 261.7 0.57 0.0307237813884786 0.663220088626292 0.304283604135894
"Michael Parkhurst" "CB" 0 0.18432 0 0.0178460972864496 0 0 25.668186125004 2.81296758104738 31.45728 23.22432 0.202384399677679 0.825948710622666 0.816859334983648 "ATL" 0 0.00605449041372351 0.988995229943315 4.42094392523364 0.878489326765189 24.3240554990014 0.846826991252907 56.12544 1.77706251205445 0.050119296722616 0.56048166392994 0.413793103448276 0 0.0968212743405469 4305 8726 4626 17657 1.499 11.529 0.000653418718013329 0.00360500573000229 0.00502038910505837 0.00317865095995922 37.4419212808539 4.86819672131148 0.25 0.28 0.25 44.6 152.5 0.09 4.41 2.7 0.03 "0" 44.9 0.19 358.8 0 0.00973913043478261 0.52 0.469565217391304
"Graham Zusi" "FB/WB" 1.27961223871554 1.2505301423811 0.0697041660140159 0.126302442953068 0.0191828336323473 27.9740840282126 21.114482614332 22.8876098152075 35.5674038170251 14.5992123598909 0.238082455679898 0.9968888808606 0.816794638444549 "SKC" 0.0432145564821835 0.0523123578468537 0.819343714356029 1.53037586547972 0.804936305732484 20.0423973905219 0.772222689869754 73.0542259921236 2.38986788625538 0.313296178343949 0.48686305732484 0.19984076433121 0.0544728816316919 0.100999119231608 5093 9163 4487 18743 1.269 13.618 0.0044939347762041 0.00388163306963059 0.00325366890124602 0.00389768052030751 57.5683419953693 5.36453414540488 0.82 1.26 0.82 53.8 187.1 0.21 11.9 4.47 3.12 "0.07" 54.8 1 398 0.5 0.0266216216216216 0.67027027027027 0.304054054054054
"Nicolas Lodeiro" "CAM" 1.40740740740741 1.81481481481481 0.0923533506105852 0.177060600132382 -0.0524749941329238 27.5249450751118 22.0043187482225 30.5555555555556 39.3333333333333 5.425250501002 0.243167484232656 1.05322421245288 0.811681787598352 "SEA" 0.0528338136407301 0.0835734870317003 0.77066381308117 2.53995891276865 0.780078895463511 19.3008630526171 0.76530134307103 75.1111111111111 1.10995837970188 0.406804733727811 0.523668639053254 0.0722296664334586 0.0656194859601525 0.0975640041545781 4348 8383 4589 17320 1.006 9.559 0.00702749667791067 0.0046920354686071 0.00118222935301852 0.00433666923274314 74.6631323172079 7.85763271378922 1.37 2.78 1.41 65.9 191.9 0.52 11.4 3.74 2.45 "0.1" 75.6 2.26 360.5 0.59 0.0300932090545939 0.673768308921438 0.29560585885486
