Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
109,Rudy Camacho/Rudy-Camacho,fr FRA,DF,Montreal,26,1991,17.4,42.4,48,88.2,978.7,332.6,0.29,0.57,50,25.7,29,88.7,16.4,18.5,88.5,0,0,0,0.06,2.18,0.06,0,2.36,Matches
110,Jonathan Campbell/Jonathan-Campbell,us USA,DF,Chicago,24,1993,11.2,42.7,49.3,86.6,981.3,322.8,0,0.45,0,26,27.9,93.3,16.7,21,79.6,0,0,0,0.09,1.88,0,0,1.52,Matches
111,Diego Campos/Diego-Campos,cr CRC,FWDF,Chicago,22,1995,13.3,27.1,39.5,68.4,518.2,152.1,0.45,1.73,26.1,20.2,23.5,85.9,6.47,14.4,45,0.08,0.14,-0.06,1.13,1.35,0.75,0.23,3.98,Matches
112,Reggie Cannon/Reggie-Cannon,us USA,DF,FC Dallas,19,1998,32.4,38.4,45.4,84.4,637.1,237.7,0.22,0.83,25.9,33.1,36.9,89.7,5.06,7.72,65.6,0.06,0.07,-0.01,0.49,2.31,0.8,0.22,4.91,Matches
113,Russell Canouse/Russell-Canouse,us USA,MF,D.C. United,22,1995,17,46.6,53,88,783.5,257.5,0.88,1.47,60,38.8,43.2,89.8,6.94,8.29,83.7,0,0.01,-0.01,0.35,5.06,0.24,0,4.29,Matches
114,Andrew Carleton/Andrew-Carleton,us USA,FWMF,Atlanta,17,2000,1.8,31.1,41.1,75.7,596.1,133.9,1.11,1.67,66.7,23.3,30,77.8,6.67,9.44,70.6,0.56,0.22,0.33,1.11,1.11,1.11,0.56,5,Matches
115,Servando Carrasco/Servando-Carrasco,us USA,MF,LA Galaxy,29,1988,11.2,45.1,54,83.5,877.6,233.3,0.36,1.16,30.8,34,37.9,89.6,10.7,14.9,71.9,0.18,0.09,0.09,0.8,5.54,0.71,0.18,3.93,Matches
116,Julio Cascante/Julio-Cascante,cr CRC,DF,Portland,24,1993,19.2,31.5,35.5,88.8,675.9,253,0.36,0.47,77.8,21.2,23.1,91.9,9.95,11.9,83.4,0.05,0.01,0.05,0.16,1.15,0,0,1.88,Matches
117,Cristian Cásseres/Cristian-Casseres,ve VEN,MF,NY Red Bulls,18,2000,1.1,30.9,50.9,60.7,583.6,200.9,0,1.82,0,23.6,34.5,68.4,7.27,14.5,50,0,0,0,0,5.45,0.91,0,6.36,Matches
118,Valentín Castellanos/Valentin-Castellanos,ar ARG,FW,NYCFC,19,1998,5,16.6,25.2,65.9,282.4,75.4,0,1,0,15,20.4,73.5,1.6,3.8,42.1,0,0.08,-0.08,0.6,0.6,1.8,0.6,3.8,Matches
119,Edgar Castillo/Edgar-Castillo,us USA,DFMF,Colorado,31,1986,27.1,38.7,50.5,76.8,673.8,277.3,0.22,1.33,16.7,32.7,37.7,86.6,5.87,11.4,51.3,0.18,0.12,0.06,1.51,2.47,1.14,0.3,6.42,Matches
120,Darwin Cerén/Darwin-Ceren,sv SLV,MF,Houston,28,1989,20.7,45.3,53.3,85,1093.6,283.2,0.29,0.87,33.3,27.6,30.7,89.9,17.4,21.7,80.2,0,0.03,-0.03,0.77,6.67,0.68,0.05,5.22,Matches
121,Maxime Chanot/Maxime-Chanot,lu LUX,DF,NYCFC,28,1989,17.4,51.6,59.5,86.7,1143.4,349.9,0.29,0.69,41.7,35.2,38.6,91.1,16.1,20.2,79.8,0,0.01,-0.01,0.17,2.24,0.06,0,1.84,Matches
122,Jay Chapman/Jay-Chapman,ca CAN,MFFW,Toronto FC,24,1994,11,37.9,47.5,79.7,630.9,187,1.09,2.27,48,31,36.8,84.2,5.82,8.45,68.8,0.09,0.24,-0.15,1.36,3.36,0.73,0.09,5.09,Matches
123,Diego Chará/Diego-Chara,co COL,MF,Portland,31,1986,26.5,45.4,51.7,87.8,864.9,266.5,0.64,1.21,53.1,35.4,39,90.8,9.32,11.5,81.3,0,0.06,-0.06,1.02,5.74,0.75,0.11,5.92,Matches
124,David Choinière/David-Choiniere,ca CAN,MF,Montreal,20,1997,0.1,40,50,80,800,400,0,0,,30,30,100,10,20,50,0,0,0,0,0,10,10,10,Matches
125,Mathieu Choiniere/Mathieu-Choiniere,ca CAN,FWMF,Montreal,18,1999,1,38,43,88.4,685,142,0,0,,32,36,88.9,6,7,85.7,0,0.1,-0.1,1,5,1,0,6,Matches
126,Paul Christensen/Paul-Christensen,us USA,GK,Atlanta,21,1996,0.6,10,40,25,325,201.7,0,0,,3.33,3.33,100,6.67,36.7,18.2,0,0,0,0,0,0,0,0,Matches
127,Michaël Ciani/Michael-Ciani,fr FRA,DF,LA Galaxy,33,1984,18.3,30.1,36.6,82.2,692.3,210.9,0.11,0.27,40,18.8,21.5,87.3,11.1,14.8,75.6,0,0.01,-0.01,0.05,1.8,0.11,0,1.69,Matches
128,Laurent Ciman/Laurent-Ciman,be BEL,DF,Los Angeles FC,32,1985,22,43,51.3,83.8,1094.9,431.6,0.27,0.95,28.6,24.4,26.9,90.5,18.4,23.5,78.3,0,0.04,-0.04,0.55,3.91,0.23,0.05,3.59,Matches
129,Ricardo Clark/Ricardo-Clark,us USA,MF,Columbus,34,1983,7.1,48.9,53.9,90.6,946.1,289.3,0.28,0.56,50,37.3,40,93.3,11.3,13.4,84.2,0.14,0.04,0.1,0.56,3.94,0.7,0,4.51,Matches
130,Steve Clark/Steve-Clark,us USA,GK,D.C. United,31,1986,3,35,47.7,73.4,1048,599.7,0,0,,17.7,17.7,100,17.3,30,57.8,0,0,0,0,0.33,0,0,0,Matches
131,Steve Clark/Steve-Clark,us USA,GK,Portland,31,1986,6.4,21.6,31.3,69,769.4,533.3,0.16,0.16,100,8.75,8.91,98.2,12.7,22.2,57,0,0,0,0,0.31,0,0,0,Matches
132,Stefan Cleveland/Stefan-Cleveland,us USA,GK,Chicago,23,1994,5,15.4,28.2,54.6,543.6,350.6,0,0,,6.4,6.6,97,9,21.6,41.7,0,0,0,0,0,0,0,0,Matches
133,Ashley Cole/Ashley-Cole,eng ENG,DFMF,LA Galaxy,37,1980,29.8,39.3,46.2,84.9,707.9,258,0.5,1.14,44.1,31.7,35.2,90.1,7.01,9.87,71.1,0.3,0.16,0.14,0.97,3.32,0.97,0.34,5.07,Matches
134,Elliot Collier/Elliot-Collier,nz NZL,FWMF,Chicago,22,1995,10.1,18.6,25.9,71.8,279.1,71.9,0.79,2.08,38.1,15.9,20.5,77.8,1.88,3.37,55.9,0.1,0.1,0,1.09,1.58,0.4,0.1,2.48,Matches
135,Aurélien Collin/Aurelien-Collin,fr FRA,DF,NY Red Bulls,31,1986,3.9,20.3,31,65.3,420.5,241.5,0,0,,15.1,21.3,71.1,5.13,9.74,52.6,0,0.03,-0.03,0.51,2.05,0.26,0,4.62,Matches
136,Cristian Colmán/Cristian-Colman,py PAR,FW,FC Dallas,23,1994,6.8,13.2,24.7,53.6,187.8,49.4,0.44,1.03,42.9,11.5,20.3,56.5,1.32,3.38,39.1,0,0.19,-0.19,1.32,1.03,0.15,0,1.62,Matches
137,Josué Colmán/Josue-Colman,py PAR,FW,Orlando City,19,1998,11.8,29.4,36.4,80.9,520.7,122.4,0.42,1.61,26.3,23.8,27.9,85.4,5.17,6.86,75.3,0.17,0.11,0.06,1.69,2.54,1.1,0.17,3.31,Matches
138,Kip Colvey/Kip-Colvey,nz NZL,DFMF,Colorado,23,1994,2.3,34.3,47,73.1,643.5,240,0.43,1.74,25,25.7,30.4,84.3,8.26,14.8,55.9,0,0.04,-0.04,0.87,2.17,0.43,0,8.26,Matches
139,Simon Colyn/Simon-Colyn,ca CAN,MF,Vancouver,15,2002,0.1,40,50,80,730,0,0,0,,30,40,75,10,10,100,0,0,0,0,0,0,0,0,Matches
140,Tomás Conechny/Tomas-Conechny,ar ARG,FWMF,Portland,19,1998,0.8,30,41.3,72.7,577.5,145,0,2.5,0,22.5,28.8,78.3,7.5,10,75,0,0,0,1.25,1.25,3.75,2.5,5,Matches
141,Drew Conner/Drew-Conner,us USA,MFDF,Chicago,23,1994,5.2,29.2,36.7,79.6,490.8,192.5,0.38,0.77,50,24.8,30.6,81.1,4.04,5.38,75,0.19,0.08,0.12,0.96,2.31,0.96,0.19,5.58,Matches
142,Warren Creavalle/Warren-Creavalle,us USA,MF,Philadelphia,27,1990,7.7,45.2,53,85.3,946.5,249.4,0.26,1.04,25,33.5,37.8,88.7,11.4,14.2,80.7,0.13,0.09,0.04,0.52,6.1,0.65,0,6.23,Matches
143,Alex Crognale/Alex-Crognale,us USA,FWDF,Columbus,23,1994,1.1,25.5,28.2,90.3,550,173.6,0,0,,18.2,20,90.9,7.27,8.18,88.9,0,0,0,0,0.91,0,0,0,Matches
144,Yohan Croizet/Yohan-Croizet,fr FRA,MFFW,Sporting KC,25,1992,17.7,32.4,41.3,78.4,609,146.9,0.23,0.96,23.5,25.5,30.5,83.7,6.61,9.83,67.2,0.17,0.11,0.06,1.47,3.05,1.47,0.73,4.92,Matches
145,Harold Cummings/Harold-Cummings,pa PAN,DF,San Jose,25,1992,20.8,38.1,45.4,83.9,854.8,312.8,0.19,0.58,33.3,24.3,27.4,88.8,13.6,17.4,77.9,0,0.01,-0.01,0.1,1.44,0,0,1.2,Matches
146,Aidan Daniels/Aidan-Daniels,ca CAN,DF,Toronto FC,19,1998,0.1,20,30,66.7,370,100,0,10,0,20,20,100,0,0,,0,0,0,0,0,0,0,10,Matches
147,Abu Danladi/Abu-Danladi,gh GHA,FW,Minnesota,22,1995,5.4,20.2,26.1,77.3,294.8,63.9,1.85,2.59,71.4,16.1,20.6,78.4,2.22,2.96,75,0.19,0.19,0,0.74,1.11,0.37,0.19,1.85,Matches
148,Juan David Cabezas/Juan-David-Cabezas,co COL,MF,Houston,26,1991,3.2,33.8,37.2,90.8,756.9,216.3,0.63,0.94,66.7,21.9,24.4,89.7,11.3,11.9,94.7,0,0,0,0.31,5.94,0.63,0,5,Matches
149,Alphonso Davies/Alphonso-Davies,ca CAN,FWMF,Vancouver,17,2000,26.9,26.1,34.3,76.1,443,127.7,0.3,1.04,28.6,21.7,26.5,81.7,4.13,6.73,61.3,0.33,0.21,0.13,1.3,1.78,1,0.45,2.9,Matches
150,Sean Davis/Sean-Davis,us USA,MF,NY Red Bulls,24,1993,28.6,43.5,56.6,76.9,744.7,317.5,0.52,1.26,41.7,36.7,42.9,85.6,6.26,12.4,50.4,0.14,0.1,0.04,1.57,7.13,0.7,0.07,8.5,Matches
151,Christian Dean/Christian-Dean,us USA,DF,Chicago,24,1993,2,53,65.5,80.9,1137.5,383,0,0.5,0,38,41,92.7,15,24,62.5,0,0,0,0,6.5,0,0,3,Matches
152,A.J. DeLaGarza/AJ-DeLaGarza,gu GUM,DF,Houston,30,1987,4,35.3,43.3,81.5,619,245.5,0,0.25,0,30.5,34.8,87.8,4.75,8.25,57.6,0,0,0,0.25,4,0.5,0,4.75,Matches
153,Antonio Delamea Mlinar/Antonio-Delamea-Mlinar,si SVN,DF,New England,26,1991,16.8,32.4,38.3,84.5,726,270.4,0.12,0.36,33.3,21.2,24,88.1,11.1,13.9,79.5,0,0,0,0,2.38,0.06,0,3.1,Matches
154,Jordy Delem/Jordy-Delem,mq MTQ,MFDF,Seattle,24,1993,9.5,28.4,36.3,78.3,534.1,160.4,0.32,0.63,50,22.2,27.2,81.8,5.89,8.53,69.1,0,0.01,-0.01,0.21,2.42,0.11,0,2.74,Matches
155,Nick DeLeon/Nick-DeLeon,us USA,DF,D.C. United,27,1990,11.8,39.2,49.1,80,687.7,289.3,0.59,1.61,36.8,32.1,36.6,87.7,6.53,10.8,60.2,0.08,0.04,0.04,0.51,2.37,0.59,0.08,5.17,Matches
156,Marky Delgado/Marky-Delgado,us USA,MF,Toronto FC,22,1995,22,55.1,66.1,83.4,949.9,285.1,0.45,1.91,23.8,45.5,52,87.4,9.14,12.1,75.3,0.09,0.1,0,0.77,6.82,0.91,0.09,7.32,Matches
157,Clint Dempsey/Clint-Dempsey,us USA,MFFW,Seattle,34,1983,10.1,33.2,38.7,85.7,581.9,123.1,0.69,0.99,70,26.7,30.9,86.5,5.74,6.83,84.1,0.1,0.14,-0.04,1.49,3.96,1.58,0.3,4.16,Matches
158,Gregory van der Wiel/Gregory-van-der-Wiel,nl NED,DF,Toronto FC,29,1988,25.5,50.1,56.9,88.1,945.1,329.4,0.35,1.18,30,39,42.7,91.2,10.7,12.9,83,0.16,0.07,0.08,0.47,4.27,0.71,0.24,5.69,Matches
159,Tyler Deric/Tyler-Deric,us USA,GK,Houston,29,1988,2,18,32.5,55.4,643.5,436.5,0,0,,5,5,100,13,27.5,47.3,0,0,0,0,0.5,0,0,0,Matches
160,Mauro Díaz/Mauro-Diaz,ar ARG,MFFW,FC Dallas,26,1991,8.9,49.2,62.8,78.4,991.1,323.8,0.34,1.12,30,36,41.2,87.2,12.9,20.4,63.2,0.56,0.36,0.2,4.49,7.08,2.47,0.45,11,Matches
161,Claude Dielna/Claude-Dielna,GPE,DF,New England,30,1987,14.8,38,52,73.1,803.3,381.4,0.47,1.15,41.2,27.3,30.8,88.6,10.3,20.1,51.2,0,0.03,-0.03,0.34,3.72,0.47,0.34,6.62,Matches
162,Adama Diomande/Adama-Diomande,no NOR,FW,Los Angeles FC,27,1990,13.9,13.4,18.6,72.1,210.1,42.6,0.22,0.72,30,11.6,15.3,75.6,1.58,2.52,62.9,0.29,0.15,0.14,0.65,1.08,0.94,0.22,1.58,Matches
163,Bořek Dočkal/Borek-Dockal,cz CZE,MF,Philadelphia,29,1988,26.4,51.7,67.7,76.4,1013.4,261.7,0.61,2.08,29.1,37.6,44.9,83.7,13.5,20.6,65.3,0.42,0.32,0.09,3.33,5.08,2.99,0.57,8.79,Matches
164,Marco Donadel/Marco-Donadel,it ITA,DF,Montreal,34,1983,1.1,60.9,66.4,91.8,1450,696.4,0.91,0.91,100,38.2,40,95.5,21.8,25.5,85.7,0,0,0,0,10.9,1.82,0.91,14.5,Matches
165,Giovani dos Santos/Giovani-dos-Santos,mx MEX,MFFW,LA Galaxy,28,1989,9.1,34.7,42,82.7,615.5,143,0.44,1.1,40,28.2,30.9,91.5,6.04,10,60.4,0.22,0.18,0.04,1.32,3.41,1.65,0.55,4.84,Matches
166,Jonathan dos Santos/Jonathan-dos-Santos,mx MEX,MF,LA Galaxy,27,1990,21.2,61.9,71.5,86.6,1164.7,374.6,0.42,1.6,26.5,48.2,52.3,92.2,13.3,17.5,75.5,0.19,0.07,0.12,0.94,7.59,1.46,0.14,8.21,Matches
167,Kyle Duncan/Kyle-Duncan,us USA,DF,NY Red Bulls,20,1997,4,36.3,53.3,68.1,516.8,250.5,0.5,2.75,18.2,32.8,43,76.2,3,7.5,40,0.25,0.07,0.17,1,2,0.25,0.25,7.75,Matches
168,Julian Dunn-Johnson/Julian-Dunn-Johnson,ca CAN,DF,Toronto FC,17,2000,1.2,24.2,31.7,76.3,449.2,166.7,0.83,1.67,50,18.3,21.7,84.6,5,8.33,60,0,0,0,0,0,0,0,2.5,Matches
169,Chris Durkin/Chris-Durkin,us USA,MF,D.C. United,17,2000,16.7,42,50.1,83.8,821.7,250.2,0.6,1.26,47.6,31.6,35.1,89.9,9.82,13.8,71.3,0,0.02,-0.02,0.12,3.71,0.54,0.06,3.17,Matches
170,Chris Duvall/Chris-Duvall,us USA,DF,Montreal,26,1991,13.2,42.3,53,79.7,756,284.5,0.08,0.98,7.7,34.9,40.1,87.1,7.27,12,60.8,0.08,0.06,0.02,0.45,2.73,0.68,0.38,4.62,Matches
171,Dom Dwyer/Dom-Dwyer,us USA,FW,Orlando City,27,1990,24.9,8.19,12.5,65.6,132.7,17.1,0.28,0.72,38.9,6.75,9,75,1.16,2.77,42,0,0.02,-0.02,0.2,0.56,0.16,0.04,0.72,Matches
172,Jeremy Ebobisse/Jeremy-Ebobisse,us USA,FW,Portland,20,1997,5,16,23,69.6,224.8,38.6,0.8,2,40,14,18.2,76.9,1.2,2.8,42.9,0,0.12,-0.12,1.4,1.2,1,0.2,2,Matches
173,Earl Edwards Jr./Earl-Edwards-Jr,us USA,GK,Orlando City,26,1992,4.3,32.3,40.9,79,1035.8,560.7,0,0,,11.6,12.1,96.2,20.7,28.8,71.8,0,0,0,0,0,0,0,0,Matches
174,Raheem Edwards/Raheem-Edwards,ca CAN,FWMF,Chicago,22,1995,10.2,24.1,32.3,74.8,449.6,142.5,0.39,1.67,23.5,18.7,22.2,84.5,5,8.43,59.3,0.2,0.24,-0.04,1.57,1.27,1.57,0.39,3.92,Matches
175,Raheem Edwards/Raheem-Edwards,ca CAN,FWMF,Montreal,22,1995,9,24.1,31.8,75.9,390.6,99.3,0.44,1.33,33.3,20.4,25,81.8,3.22,5.44,59.2,0,0.06,-0.06,0.67,1.11,0.78,0.22,2.11,Matches
176,Alberth Elis/Alberth-Elis,hn HON,FW,Houston,21,1996,26.8,18.3,26.5,69.1,263.3,68.8,0.41,1.6,25.6,16.4,21.6,76,1.46,3.25,44.8,0.34,0.26,0.07,1.34,1.46,1.12,0.26,2.57,Matches
177,Jack Elliott/Jack-Elliott,eng ENG,DF,Philadelphia,22,1995,15.9,43.9,53.5,82.1,1011.1,354.8,0.19,0.44,42.9,28.2,31.1,90.7,15.5,21.9,70.8,0,0,0,0.13,3.27,0.19,0,2.64,Matches
178,Kevin Ellis/Kevin-Ellis,us USA,DFFW,D.C. United,26,1991,0.5,24,36,66.7,378,112,0,4,0,22,28,78.6,2,4,50,0,0,0,0,0,0,0,4,Matches
179,Kevin Ellis/Kevin-Ellis,us USA,DF,Chicago,26,1991,17,38.3,47.4,80.9,770.4,241.2,0.41,1,41.2,28.5,32.1,88.6,9.41,14.2,66.1,0.18,0.06,0.12,0.53,2.82,0.41,0.18,4.35,Matches
180,Marcus Epps/Marcus-Epps,us USA,FW,Philadelphia,23,1995,6.7,27.9,38.2,73,467.2,121.5,0.3,1.64,18.2,23.3,29.3,79.6,4.33,7.31,59.2,0,0.09,-0.09,0.75,1.64,0.6,0.3,3.28,Matches
181,Magnus Eriksson/Magnus-Eriksson,se SWE,MFFW,San Jose,27,1990,27.6,30.5,45.2,67.4,566,190.7,0.25,1.38,18.4,23.7,29.4,80.5,6.52,14.4,45.3,0.11,0.16,-0.05,2.14,2.93,1.99,0.36,6.3,Matches
182,Fidel Escobar/Fidel-Escobar,pa PAN,DF,NY Red Bulls,23,1995,4.2,30,43.3,69.2,583.1,292.6,0,0.48,0,21.9,26.7,82.1,8.1,16.2,50,0,0,0,0,1.67,0,0,3.33,Matches
183,Franco Escobar/Franco-Escobar,ar ARG,DF,Atlanta,22,1995,19.9,49.4,58.4,84.7,903.7,257.4,0.5,2.01,25,40,44.6,89.6,8.94,11.8,76.1,0,0.06,-0.06,0.7,3.47,0.75,0.2,5.28,Matches
184,Roger Espinoza/Roger-Espinoza,hn HON,MF,Sporting KC,31,1986,31.3,42.7,51.6,82.7,938.9,256.2,0.61,1.21,50,28.3,33.1,85.5,13.7,17.3,79.6,0.19,0.17,0.02,1.76,6.93,1.82,0.35,6.55,Matches
185,Derrick Etienne/Derrick-Etienne,ht HAI,FW,NY Red Bulls,21,1996,10.8,19.4,30,64.5,291.6,94.8,0.28,1.76,15.8,16.9,23.1,73.5,2.13,5.19,41.1,0,0.12,-0.12,1.39,1.11,1.2,0.28,3.15,Matches
186,Fabinho/Fabinho,br BRA,DF,Philadelphia,32,1985,7.9,32.2,42.7,75.4,587,180.5,0.13,0.89,14.3,25.7,29.9,86,6.33,11.9,53.2,0,0.05,-0.05,0.51,1.9,0.38,0.25,3.54,Matches
187,Diego Fagúndez/Diego-Fagundez,uy URU,MFFW,New England,22,1995,29.6,25.6,37.5,68.3,504,181.2,0.24,1.22,19.4,18.9,23.2,81.4,6.49,13,49.7,0.27,0.26,0.01,2.97,2.87,1.96,0.37,6.35,Matches
188,Rod Fanni/Rod-Fanni,fr FRA,DF,Montreal,36,1981,25.4,40.9,47.9,85.5,956.4,333.6,0.47,1.06,44.4,24.5,26.8,91.6,15.9,20.1,79.4,0,0.01,-0.01,0.08,3.23,0.12,0.04,2.01,Matches
189,Marco Farfan/Marco-Farfan,us USA,DFFW,Portland,19,1998,5.7,33.2,44.4,74.7,569.1,230.2,0.18,1.23,14.3,28.1,34.4,81.6,4.91,8.77,56,0,0.07,-0.07,0.7,1.4,0.88,0.18,4.04,Matches
190,Andrew Farrell/Andrew-Farrell,us USA,DF,New England,25,1992,30,38.8,54.6,71.1,830.1,394.5,0.33,1.4,23.8,27.8,34.8,80.1,10.7,18.4,57.9,0.07,0.06,0,1,4.47,1.47,0.5,10.1,Matches
191,Benny Feilhaber/Benny-Feilhaber,us USA,MF,Los Angeles FC,33,1985,31.1,57.8,66.9,86.4,1141.1,331.3,0.48,1.25,38.5,42.7,47.6,89.9,14.6,18.1,80.5,0.06,0.15,-0.08,1.35,6.62,1.61,0.1,7.75,Matches
192,Felipe/Felipe,br BRA,MF,Vancouver,27,1990,24.5,46.2,58.1,79.5,951.5,266.8,0.45,0.9,50,33,36.9,89.5,12.7,20.3,62.6,0.08,0.15,-0.07,1.96,4.73,0.65,0.08,5.59,Matches
193,Luis Felipe/Luis-Felipe,br BRA,MF,San Jose,22,1996,10.8,43,49,87.7,828.1,211.8,0.37,1.11,33.3,32.1,35.6,90.1,10.5,12.2,85.6,0.09,0.03,0.06,0.65,4.72,0.37,0,4.81,Matches
194,Rolf Feltscher/Rolf-Feltscher,ve VEN,DF,LA Galaxy,27,1990,14.4,39,53.8,72.5,758.9,330.4,0.28,1.74,16,29.9,36.4,82.1,8.82,15.6,56.4,0.21,0.1,0.1,0.83,3.19,1.25,0.63,7.01,Matches
195,Gerso Fernandes/Gerso-Fernandes,gw GNB,FW,Sporting KC,26,1991,17.8,21.6,28.8,75,333.6,66,0.17,1.46,11.5,19.8,23.7,83.4,1.69,3.65,46.2,0.22,0.21,0.02,1.4,0.34,1.07,0.39,2.42,Matches
196,Luiz Fernando/Luiz-Fernando,br BRA,MF,Minnesota,22,1995,6.4,33.3,39.7,83.9,644.2,148.1,0.31,0.94,33.3,24.5,28.9,84.9,8.44,9.84,85.7,0,0.02,-0.02,0.31,1.88,0.16,0,2.81,Matches
197,Jesus Ferreira/Jesus-Ferreira,us USA,FW,FC Dallas,17,2000,0,2,3,66.7,17,8,0,0,,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,Matches
198,Maynor Figueroa/Maynor-Figueroa,hn HON,DF,FC Dallas,34,1983,11.2,44.7,56,79.9,992.9,370.4,0.36,0.8,44.4,30.2,34.9,86.4,14.2,20.3,70,0,0.02,-0.02,0.27,4.64,0.54,0.18,5.45,Matches
199,Ethan Finlay/Ethan-Finlay,us USA,FW,Minnesota,27,1990,6.3,21.7,30.5,71.4,357,119.4,0.32,1.43,22.2,18.1,23.5,77,3.33,5.56,60,0.16,0.14,0.02,0.95,1.27,1.27,0.63,3.33,Matches
200,Oniel Fisher/Oniel-Fisher,jm JAM,DF,D.C. United,26,1991,20.4,42.5,51.8,82.1,696.6,256.9,0.64,1.81,35.1,36.6,40.9,89.4,5.29,9.07,58.4,0.05,0.06,-0.01,0.44,2.6,0.39,0.2,3.92,Matches
201,Andrés Flores/Andres-Flores,sv SLV,MF,Portland,27,1990,13,35,42.3,82.7,634.6,191.1,0.15,1.23,12.5,28.3,32,88.5,6.54,9.08,72,0.15,0.11,0.05,1.38,3.62,1.31,0.38,4.62,Matches
202,Anthony Fontana/Anthony-Fontana,us USA,MF,Philadelphia,18,1999,1.1,34.5,47.3,73.1,643.6,130,1.82,2.73,66.7,25.5,32.7,77.8,7.27,11.8,61.5,0,0.27,-0.27,3.64,4.55,0.91,0,4.55,Matches
203,Andreu Fontàs/Andreu-Fontas,es ESP,DF,Sporting KC,28,1989,1,70,71,98.6,1506,449,0,0,,46,46,100,24,25,96,0,0,0,0,9,1,0,8,Matches
204,Kortne Ford/Kortne-Ford,us USA,DF,Colorado,22,1996,12.6,37.7,47,80.2,767.3,287.3,0.08,0.56,14.3,27.9,31.7,88,9.68,14.7,65.9,0,0.01,-0.01,0.32,2.86,0.08,0,1.83,Matches
205,Waylon Francis/Waylon-Francis,cr CRC,DFFW,Seattle,27,1990,6.5,44.9,60,74.9,743.8,330.2,0.15,1.08,14.3,39.1,46.2,84.7,5.69,12.8,44.6,0,0.17,-0.17,1.38,2.77,1.85,0.92,8.77,Matches
206,Sean Franklin/Sean-Franklin,us USA,DF,Vancouver,32,1985,9.3,33.5,42.3,79.4,676,323.8,0.11,0.86,12.5,24.3,28.5,85.3,9.14,12.9,70.8,0,0.08,-0.08,0.65,3.44,0.65,0.43,7.2,Matches
207,Liam Fraser/Liam-Fraser,ca CAN,MFFW,Toronto FC,19,1998,6.8,60,67.1,89.5,1299.4,303.4,0,0.59,0,41.5,44.9,92.5,18.5,21.6,85.7,0,0,0,0.29,7.5,0.44,0,6.91,Matches
208,Stefan Frei/Stefan-Frei,ch SUI,GK,Seattle,31,1986,33,24.3,35.8,67.7,848,543.8,0,0,,8.06,8.15,98.9,16.2,27.7,58.5,0,0,0,0,0.33,0,0,0,Matches
209,Alejandro Fuenmayor/Alejandro-Fuenmayor,ve VEN,DF,Houston,21,1996,19.6,36,44,81.8,863.5,305.3,0.26,0.41,62.5,20.9,23.7,88.1,14.8,19.9,74.6,0.05,0.02,0.04,0.2,2.3,0.1,0,2.09,Matches
210,Gilbert Fuentes/Gilbert-Fuentes,us USA,MF,San Jose,15,2002,0,3,3,100,42,0,0,0,,3,3,100,0,0,,0,0,0,0,0,0,0,0,Matches
211,Omar Gaber/Omar-Gaber,eg EGY,FWDF,Los Angeles FC,26,1992,2.9,32.8,42.1,77.9,573.8,257.6,0,1.72,0,27.6,32.8,84.2,5.17,7.59,68.2,0,0.1,-0.1,1.38,2.07,3.79,2.07,9.66,Matches
212,Ray Gaddis/Ray-Gaddis,us USA,DF,Philadelphia,28,1990,25.5,39.3,46.9,83.7,747.9,232.2,0.2,1.02,19.2,30.7,34.7,88.5,8.35,11.2,74.7,0.04,0.03,0.01,0.43,2.75,0.35,0.16,4.35,Matches
213,Boniek García/Boniek-Garcia,hn HON,MF,Houston,33,1984,22.9,45.9,54.9,83.7,920.1,287.9,0.39,1,39.1,34.4,38.1,90.4,11.1,15.8,70.4,0.26,0.22,0.04,1.92,6.64,0.48,0.22,7.03,Matches
214,Kevin Garcia/Kevin-Garcia,us USA,DF,Houston,27,1990,12.3,34.9,45.1,77.3,762,299.3,0.33,1.06,30.8,22.2,25.9,85.8,12.4,18.2,67.9,0,0.04,-0.04,0.41,3.41,0.33,0.16,4.15,Matches
215,Greg Garza/Greg-Garza,us USA,DFMF,Atlanta,26,1991,10.3,38.4,48.6,79,633,205,0.39,1.26,30.8,33.4,38.3,87.3,4.66,9.13,51.1,0.1,0.08,0.02,0.78,1.94,0.87,0.29,4.47,Matches
216,Shkëlzen Gashi/Shkelzen-Gashi,al ALB,FWMF,Colorado,29,1988,9.1,32,44.7,71.5,596.6,140.9,0.11,1.43,7.7,25.2,29.8,84.5,6.7,13.5,49.6,0.22,0.18,0.04,1.32,3.08,0.66,0,4.51,Matches
217,Ali Ghazal/Ali-Ghazal,eg EGY,MFDF,Vancouver,25,1992,16,28.3,33.8,83.7,575.7,150.5,0.31,0.88,35.7,20.3,23.5,86.4,7.69,9.44,81.5,0,0.01,-0.01,0.25,2.13,0.13,0,2.31,Matches
218,Luis Gil/Luis-Gil,us USA,MFFW,Houston,24,1993,3.1,24.5,36.5,67.3,460,107.1,0,1.29,0,20,26.8,74.7,4.52,8.39,53.8,0,0.03,-0.03,0.65,2.58,0.32,0.32,2.9,Matches
