"First","Last","Player","Season","Team","Games","Minutes","Pos","NumChains/96","TeamChain%","ChainShot%","PlayerShot%","PlayerKP%","xB/96","xGChain/96","xB%","xB% (0)","Comp ($K)"
"Anthony","Fontana","Anthony Fontana",2018,"PHI",5,118,"CAM",25.2203389830508,0.246774354041593,0.419354838709677,0.161290322580645,0.129032258064516,0.836029386023797,1.54137959857418,0.54239032798744,0.37970886261185,73.4216
"Jordan","Harvey","Jordan Harvey",2020,"LAFC",1,96,"FB/WB",43,0.202830188679245,0.162790697674419,0.0232558139534884,0,0.835685540693179,1.06332568857107,0.785916817091292,0.453338161401096,NA
"Ricardo","Clark","Ricardo Clark",2018,"CLB",12,678,"CDM",32.7079646017699,0.272945462601696,0.242424242424242,0.051948051948052,0.0173160173160173,0.83215607945642,0.866846383792929,0.959981024337069,0.939718047883969,125.00004
"Harrison","Afful","Harrison Afful",2020,"CLB",2,197,"FB/WB",32.6497461928934,0.193193764454991,0.17910447761194,0.0149253731343284,0.0149253731343284,0.829862397918972,0.92239383382693,0.899683375457907,1,NA
"Rod","Fanni","Rod Fanni",2020,"MTL",2,196,"CB",22.530612244898,0.142598811676569,0.173913043478261,0,0.0217391304347826,0.829337524818267,0.866160299791869,0.957487343875665,1,NA
"Yoshimar","Yotun","Yoshimar Yotun",2018,"ORL",22,2112,"CDM",39.3181818181818,0.248349124318117,0.239306358381503,0.0427745664739884,0.069364161849711,0.827873378574311,1.04091899989514,0.795329299069102,0.748785341278859,599.996
"Jaylin","Lindsey","Jaylin Lindsey",2018,"SKC",7,591,"FB/WB",37.5228426395939,0.266389349368314,0.212121212121212,0.0216450216450216,0.0303030303030303,0.824037489505866,0.896518873498968,0.919152417048156,0.944662578618939,67.504
"Lucas","Zelarayan","Lucas Zelarayan",2020,"CLB",2,190,"CAM",25.2631578947368,0.149486141388975,0.26,0.08,0.02,0.823415826724542,1.05743338966086,0.778692856472621,0.874281079905421,NA
"Greg","Garza","Greg Garza",2018,"ATL",11,992,"FB/WB",27.5806451612903,0.196240036723282,0.196491228070175,0.0210526315789474,0.0245614035087719,0.822373649699144,0.887230805772271,0.926899341579248,0.924192041882691,175.008
"Jonathan","Mensah","Jonathan Mensah",2020,"CLB",2,197,"CB",34.5989847715736,0.204727720541856,0.140845070422535,0,0,0.818673944737289,0.818673944737289,1,1,NA
"Borek","Dockal","Borek Dockal",2018,"PHI",31,2460,"CAM",35.5121951219512,0.236290630774949,0.256043956043956,0.0483516483516484,0.089010989010989,0.816890438885172,1.11912057807103,0.729939610522756,0.784099487048953,1714.28568
