"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","extreme1","extreme2","plotnames"
"Chris","Wondolowski","Chris Wondolowski",2018,"SJE",2455,"F",334,0.769,0.845,-25.2220904529095,-7.55152408769745,17.3870280518908,-1.05334630350195,800,13.0606924643585,0.769461077844311,0.844976318721286,-0.986281337466114,-7.55152408769745,17.3870280518908,-1.05334630350195,350,125,"Wondolowski"
"C.J.","Sapong","C.J. Sapong",2018,"PHI",2399,"F",354,0.678,0.751,-26.0278103183955,-7.35248879050721,14.2670424801026,-1.86635416666667,525,14.1659024593581,0.677966101694915,0.751490989599987,-1.04154639039849,-7.35248879050721,14.2670424801026,-1.86635416666667,43,36,"Sapong"
"Alejandro","Silva","Alejandro Silva",2018,"MTL",2492,"Wing",531,0.791,0.841,-26.4493648558855,-4.98104799545867,18.118989475205,0.237940476190477,800.04,20.4558587479936,0.790960451977401,0.840770931931988,-1.01891614212079,-4.98104799545867,18.118989475205,0.237940476190477,327,164,"Silva"
"Alejandro","Romero Gamarra","Alejandro Romero Gamarra",2018,"NYRB",2537,"CAM",666,0.76,0.8,-26.8502791374922,-4.03157344406789,18.2767762547783,5.80522727272727,709.0908,25.2014189988175,0.75975975975976,0.800075494200439,-1.01601371588461,-4.03157344406789,18.2767762547783,5.80522727272727,144,108,"Gamarra"
"Jesus","Medina","Jesus Medina",2018,"NYC",2124,"Wing",411,0.805,0.871,-27.1779943704605,-6.61265069840888,17.2676512438744,-1.94527190332326,770.83337,18.5762711864407,0.805352798053528,0.871479305037617,-1.2283839263485,-6.61265069840888,17.2676512438744,-1.94527190332326,467,197,"Medina"
"Alvas","Powell","Alvas Powell",2018,"POR",2195,"FB/WB",464,0.694,0.753,-27.4615271314978,-5.9184325714435,18.989632594006,1.40357142857143,241.625,20.2933940774487,0.693965517241379,0.753149842955814,-1.20105084493111,-5.9184325714435,18.989632594006,1.40357142857143,46,49,"Powell"
"Zlatan","Ibrahimovic","Zlatan Ibrahimovic",2018,"LAG",2287,"F",484,0.736,0.793,-27.9063268974424,-5.76577002013272,17.2654285989416,0.326587078651685,1500,20.3165719282903,0.735537190082645,0.793194890283972,-1.17140681336006,-5.76577002013272,17.2654285989416,0.326587078651685,120,81,"Ibrahimovic"
"Kei","Kamara","Kei Kamara",2018,"VAN",2334,"F",372,0.747,0.823,-28.1754737794399,-7.5740520912473,15.2193055183644,-3.05701438848921,1000,15.3007712082262,0.747311827956989,0.823052348869462,-1.15888838167362,-7.5740520912473,15.2193055183644,-3.05701438848921,238,93,"Kamara"
"Will","Bruin","Will Bruin",2018,"SEA",1923,"F",240,0.725,0.844,-28.4773622602224,-11.865567608426,12.6768238620948,-2.98867816091954,351.66667,11.98127925117,0.725,0.84365567608426,-1.4216467899019,-11.865567608426,12.6768238620948,-2.98867816091954,341,75,"Bruin"
"Jack","McBean","Jack McBean",2018,"COL",1132,"F",190,0.6,0.757,-29.8044901955873,-15.6865737871512,15.5772392288077,-0.7475,68.90625,16.113074204947,0.6,0.756865737871512,-2.52758927453744,-15.6865737871512,15.5772392288077,-0.7475,50,16,"McBean"
