Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
155,Antonio Delamea Mlinar/Antonio-Delamea-Mlinar,si SVN,DF,New England,27,1991,15.2,0.13,0,0,0.46,0.13,0,28.6,0.03,0.01,0.29,1,0.07,0.07,0.15,0.06,0.06,Matches
156,Jordy Delem/Jordy-Delem,mq MTQ,MF,Seattle,25,1993,16,0,0,0,0.44,0,0,0,0.03,0,0,,0.03,0.03,0.05,-0.03,-0.03,Matches
157,Nick DeLeon/Nick-DeLeon,us USA,MFFW,Toronto FC,28,1990,20.6,0.29,0,0,1.99,0.73,0,36.6,0.1,0.04,0.15,0.4,0.21,0.21,0.11,0.08,0.08,Matches
158,Marky Delgado/Marky-Delgado,us USA,MF,Toronto FC,23,1995,28.3,0.07,0,0,1.38,0.28,0,20.5,0.05,0.01,0.05,0.25,0.09,0.09,0.06,-0.02,-0.02,Matches
159,Mathieu Deplagne/Mathieu-Deplagne,fr FRA,DF,FC Cincinnati,27,1991,31.9,0.03,0,0,0.69,0.19,0,27.3,0.02,0.01,0.05,0.17,0.08,0.08,0.11,-0.04,-0.04,Matches
160,Maikel van der Werff/Maikel-van-der-Werff,nl NED,DF,FC Cincinnati,29,1989,11,0,0,0,0.36,0.09,0,25,0.03,0.01,0,0,0.08,0.08,0.22,-0.08,-0.08,Matches
161,Tyler Deric/Tyler-Deric,us USA,GK,Houston,30,1988,7,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
162,Justin Dhillon/Justin-Dhillon,us USA,FW,Seattle,23,1995,2.9,0,0,0,2.07,1.03,0,50,0.71,0.35,0,0,0.28,0.28,0.13,-0.28,-0.28,Matches
163,Zakaria Diallo/Zakaria-Diallo,fr FRA,DF,Montreal,32,1986,22.6,0.13,0,0,0.44,0.13,0,30,0.02,0.01,0.3,1,0.08,0.08,0.19,0.05,0.05,Matches
164,Luis Díaz/Luis-Diaz,cr CRC,FWMF,Columbus,20,1998,8.8,0.23,0,0,2.05,1.02,0,50,0.23,0.12,0.11,0.22,0.11,0.11,0.06,0.11,0.11,Matches
165,Eric Dick/Eric-Dick,us USA,GK,Sporting KC,24,1994,1,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
166,Claude Dielna/Claude-Dielna,GPE,DF,Portland,31,1987,12.1,0,0,0,1.07,0.08,0,7.7,0.09,0.01,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
167,Adama Diomande/Adama-Diomande,no NOR,FW,Los Angeles FC,28,1990,16,0.5,0,0,3.63,1.13,0.06,31,0.23,0.07,0.14,0.44,0.59,0.59,0.16,-0.09,-0.09,Matches
168,Clément Diop/Clement-Diop,sn SEN,GK,Montreal,25,1993,2,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
169,Griffin Dorsey/Griffin-Dorsey,us USA,DF,Toronto FC,19,1999,0,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
170,Jonathan dos Santos/Jonathan-dos-Santos,mx MEX,MF,LA Galaxy,28,1990,28.2,0.07,0.04,0.04,0.43,0.11,0.11,25,0.01,0,0.08,0.33,0.04,0.01,0.03,0.03,0.02,Matches
171,Hassani Dotson/Hassani-Dotson,us USA,DFMF,Minnesota,21,1997,15.7,0.25,0,0,0.89,0.45,0,50,0.06,0.03,0.29,0.57,0.04,0.04,0.04,0.22,0.22,Matches
172,Kyle Duncan/Kyle-Duncan,us USA,DF,NY Red Bulls,21,1997,12,0.08,0,0,0.5,0.08,0,16.7,0.04,0.01,0.17,1,0.05,0.05,0.1,0.03,0.03,Matches
173,Chris Durkin/Chris-Durkin,us USA,MF,D.C. United,18,2000,7.1,0.14,0,0,0.56,0.14,0,25,0.08,0.02,0.25,1,0.01,0.01,0.03,0.13,0.13,Matches
174,Chris Duvall/Chris-Duvall,us USA,DF,Houston,27,1991,1,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
