"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","extreme1","extreme2","plotnames"
"Kelyn","Rowe","Kelyn Rowe",2019,"SKC,RSL",574,"CDM",30,0.667,0.75,-2.51395508646965,-8.37985028823217,18.7268652335877,9.499,326.4,5.01742160278746,0.666666666666667,0.750465169548988,-0.420452418643008,-8.37985028823217,18.7268652335877,9.499,155,111,"Rowe"
"Rasmus","Schuller","Rasmus Schuller",2019,"MIN",935,"CM",57,0.789,0.835,-2.57369764149189,-4.51525902016121,18.8486905206437,3.82311111111111,300.004,5.8524064171123,0.789473684210526,0.834626274412138,-0.264251308645157,-4.51525902016121,18.8486905206437,3.82311111111111,383,289,"Schuller"
"Donovan","Pines","Donovan Pines",2019,"DCU",853,"CB",158,0.804,0.82,-2.61080551147461,-1.65240855156621,20.0838036051032,3.55775590551181,102,17.7819460726846,0.80379746835443,0.820321553870092,-0.293830397539933,-1.65240855156621,20.0838036051032,3.55775590551181,329,325,"Pines"
"Alexander","Ring","Alexander Ring",2019,"NYC",3049,"CM",580,0.869,0.874,-2.63778854161504,-0.454791127864662,21.6564388946501,4.45259920634921,945,18.2617251557888,0.868965517241379,0.873513428520026,-0.0830527058035565,-0.454791127864662,21.6564388946501,4.45259920634921,480,473,"Ring"
"Jack","Price","Jack Price",2019,"COL",2397,"CDM",248,0.819,0.829,-2.66015957295895,-1.07264498909635,17.5862644199357,3.72532019704433,437.5,9.93241551939925,0.818548387096774,0.829274836987738,-0.106539557365064,-1.07264498909635,17.5862644199357,3.72532019704433,362,365,"Price"
"Brenden","Aaronson","Brenden Aaronson",2019,"PHI",1354,"CAM",43,0.791,0.854,-2.70377796888352,-6.28785574158958,12.6321462810507,4.30573529411765,95.809,3.04874446085672,0.790697674418605,0.8535762318345,-0.191700653628373,-6.28785574158958,12.6321462810507,4.30573529411765,441,295,"Aaronson"
"Nick","Lima","Nick Lima",2019,"SJE",1963,"FB/WB",234,0.765,0.777,-2.77186931669713,-1.18455953705006,18.4370955662058,1.15,218.438,11.4437086092715,0.764957264957265,0.776802860327765,-0.135557541723344,-1.18455953705006,18.4370955662058,1.15,211,245,"Lima"
"Aaron","Herrera","Aaron Herrera",2019,"RSL",2971,"FB/WB",432,0.729,0.736,-2.79776731133462,-0.647631322068198,21.7269318675774,5.44333333333333,86,13.9589363850555,0.729166666666667,0.735642979887349,-0.090402444257194,-0.647631322068198,21.7269318675774,5.44333333333333,118,185,"Herrera"
"Luis","Diaz","Luis Diaz",2019,"CLB",661,"Wing",16,0.562,0.737,-2.79780095815659,-17.4862559884787,14.3997232175672,-0.242777777777777,NA,2.32375189107413,0.5625,0.737362559884787,-0.406337204210336,-17.4862559884787,14.3997232175672,-0.242777777777777,120,55,"Diaz"
"Ronald","Matarrita","Ronald Matarrita",2019,"NYC",2129,"FB/WB",354,0.72,0.728,-2.80994410812854,-0.793769522070209,18.0686103715011,6.42286274509804,420,15.962423673086,0.720338983050847,0.72827667827155,-0.126704854100676,-0.793769522070209,18.0686103715011,6.42286274509804,103,172,"Matarrita"
