Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
34,Uriel Antuna/Uriel-Antuna,mx MEX,FWMF,LA Galaxy,21,1997,26.8,29,27.9,1.01,0.07,0.04,5.75,1.49,3.69,0.04,0,0,0,18.4,4.44,6.12,2.91,23.9,1.19,0.45,0.26,22.5,0.11,0.63,0.49,0.97,Matches
35,Pablo Aránguiz/Pablo-Aranguiz,cl CHI,MFFW,FC Dallas,21,1997,6.2,50.8,47.9,2.9,0.81,0.32,10.3,0.81,2.74,1.13,0.16,0.48,0.16,34.8,8.23,7.74,7.26,41,1.45,0.81,0.32,38.5,0.48,0.97,2.1,0.97,Matches
36,Julian Araujo/Julian-Araujo,us USA,DFFW,LA Galaxy,17,2001,9.9,43.6,36.8,6.87,0.4,0.1,7.37,1.31,3.54,0,0,0,0,24.9,9.49,9.19,1.41,33,1.72,6.46,0.1,32.5,0.1,1.72,1.11,1.72,Matches
37,Joaquín Ardaiz/Joaquin-Ardaiz,uy URU,FW,Vancouver,20,1999,4.6,14.8,13,1.74,0,0,3.7,0.87,1.3,0,0,0,0,8.04,4.35,2.39,11.5,2.17,0.22,0,0.22,9.35,0,0.22,0.43,1.74,Matches
38,Luis Argudo/Luis-Argudo,us USA,FWMF,Columbus,23,1995,11.8,36.2,34.7,1.53,0.17,0.25,5.76,0.93,1.27,0,0,0,0,27,4.41,4.75,5.17,27.8,1.53,1.36,0.17,30,0.08,0.34,0.68,0.93,Matches
39,Xavier Arreaga/Xavier-Arreaga,ec ECU,DF,Seattle,24,1994,12.4,47.1,45.5,1.61,1.53,0,6.05,1.29,0,0,0,0,0,36.9,5.16,5.08,11.5,33.5,1.69,0.08,0.08,42.8,0,0.32,0.56,0.08,Matches
40,Luis Arriaga/Luis-Arriaga,us USA,DFMF,Real Salt Lake,18,2001,0.1,30,30,0,0,0,0,0,0,0,0,0,0,20,10,0,0,30,0,0,0,30,0,0,0,0,Matches
41,Paul Arriola/Paul-Arriola,us USA,FWMF,D.C. United,23,1995,26.9,38.8,36.8,2.01,0.04,0.07,7.43,0.89,2.64,0.22,0.04,0.11,0.04,26.6,6.02,6.13,9.26,25,1.9,1.64,0.19,28.8,0.07,0.63,1.19,1.71,Matches
42,Artur/Artur,br BRA,MF,Columbus,22,1996,27.2,58.5,57.1,1.4,1.14,0,9.34,2.39,0.26,0.04,0.04,0,0,44,6.29,8.2,7.02,49,1.65,0.18,0.22,49.9,0.11,0.7,0.77,0.99,Matches
43,Carlos Ascues/Carlos-Ascues,pe PER,MFDF,Orlando City,26,1992,12.3,34.6,34,0.57,0,0,7.07,0.57,0.24,0,0,0,0,24.4,3.98,6.18,3.9,27.3,1.54,0.57,0.16,27.4,0.16,1.14,0.41,0.89,Matches
44,Dairon Asprilla/Dairon-Asprilla,co COL,FWMF,Portland,26,1992,6.3,28.1,26.3,1.75,0,0,6.19,1.27,1.9,0,0,0,0,17.8,5.71,4.6,2.06,22.2,0.48,1.59,0.16,20.8,0.16,0.63,0.79,1.11,Matches
45,Jeff Attinella/Jeff-Attinella,us USA,GK,Portland,30,1988,10,31.8,20.2,11.6,2,0,1.1,1,0.1,0,0,0,0,12,2.6,17.2,1.1,21,0,0,7.9,20.6,0,1.1,0.4,0,Matches
46,Francis Atuahene/Francis-Atuahene,gh GHA,FW,FC Dallas,22,1996,0.3,16.7,16.7,0,0,0,10,0,0,0,0,0,0,10,0,6.67,0,13.3,0,0,0,13.3,0,3.33,0,0,Matches
47,Eduard Atuesta/Eduard-Atuesta,co COL,MF,Los Angeles FC,21,1997,29.2,82.6,77.6,4.97,3.97,0.55,13.1,2.26,1.06,0.86,0.65,0.14,0,65.1,8.53,8.97,13.8,66.9,1.23,0.14,0.24,70.8,0.34,1.68,1.64,1.78,Matches
48,Auro/Auro,br BRA,DF,Toronto FC,23,1996,20.9,66.1,55,11.1,0.77,0.05,11.1,1.15,1.82,0.05,0,0.05,0,43.6,12.1,10.3,3.68,49.9,2.01,10.3,0.19,56.8,0.14,0.57,0.86,1.72,Matches
49,Micheal Azira/Micheal-Azira,ug UGA,MF,Chicago,31,1987,2.4,34.6,34.2,0.42,0,0,6.25,0.83,0.42,0,0,0,0,24.2,4.58,5.83,5,25.4,2.5,0.42,0.42,30,0,0.42,1.25,0,Matches
50,Micheal Azira/Micheal-Azira,ug UGA,MF,Montreal,31,1987,16,41.4,40.4,0.94,0.88,0,6.5,1.31,0.81,0,0,0,0,30.6,5.13,5.63,5.69,33.3,1.56,0.06,0.13,35.9,0.19,0.5,0.56,0.31,Matches
51,Dominique Badji/Dominique-Badji,sn SEN,FW,FC Dallas,26,1992,22.5,21.8,21,0.76,0,0,4.53,0.49,1.11,0,0,0,0,16,3.07,2.71,8.71,10.3,1.29,0.31,0.27,17.2,0,0.53,0.27,0.44,Matches
52,Theo Bair/Theo-Bair,ca CAN,FWMF,Vancouver,19,1999,9.1,24.1,23.4,0.66,0,0.11,7.25,0.44,1.32,0,0,0,0,14.8,3.74,5.49,2.75,16.5,2.2,0.11,0.22,16,0.22,0.55,0.77,0.44,Matches
53,Corey Baird/Corey-Baird,us USA,FWMF,Real Salt Lake,23,1996,23.3,29.6,28.3,1.24,0.04,0.09,5.79,0.34,0.77,0,0,0,0,21.7,5.49,2.4,3.61,23.9,0.6,0.94,0.34,23.3,0.13,0.73,1.03,1.07,Matches
54,Lass Bangoura/Lass-Bangoura,gn GUI,FW,Vancouver,26,1992,7,36.3,35.4,0.86,0.14,0.43,8.43,1,1.86,0.14,0.14,0,0,26.3,5.71,4.29,3.71,30.3,0.86,0.57,0.43,27.9,0,0.86,1.14,1.14,Matches
55,Botond Baráth/Botond-Barath,hu HUN,DF,Sporting KC,26,1992,19.4,51.4,50.2,1.24,1.03,0,5.62,1.55,0,0,0,0,0,40.1,4.28,7.01,5.15,42.4,2.22,0.21,0.21,46,0.21,0.46,0.31,0.1,Matches
56,Ezequiel Barco/Ezequiel-Barco,ar ARG,FWMF,Atlanta,19,1999,10.8,45.6,41.1,4.54,0.83,0.28,7.96,2.04,3.61,2.78,0.65,1.48,0.28,31.2,7.13,7.31,3.7,39.6,1.11,0.93,0.19,35.9,0.09,0.83,0.65,1.3,Matches
57,Tom Barlow/Tom-Barlow,us USA,FW,NY Red Bulls,23,1995,6.7,18.8,17.8,1.04,0,0,7.61,0,0.3,0,0,0,0,8.96,6.12,3.73,1.79,10.6,2.54,0.15,0.3,12.4,0,0.75,0.9,0.75,Matches
58,Michael Barrios/Michael-Barrios,co COL,FW,FC Dallas,27,1991,30.3,34.8,30,4.82,0.36,0.07,5.78,1.45,5.38,3.47,0.79,1.25,0.36,23.3,5.41,6.14,3.07,29.8,0.63,0.92,0.2,25.1,0.03,0.89,0.56,1.91,Matches
59,Cole Bassett/Cole-Bassett,us USA,MF,Colorado,17,2001,11.8,43.8,40.9,2.88,1.02,0.08,6.95,1.61,2.71,0.68,0.42,0.17,0.08,29.3,8.22,6.27,7.12,31.9,2.2,1.02,0.59,34.7,0,0.93,0.59,1.27,Matches
60,Clement Bayiha/Clement-Bayiha,ca CAN,FWMF,Montreal,19,1999,5.3,35.1,34.2,0.94,0.19,0.19,7.55,0.57,2.45,0,0,0,0,27,5.66,2.45,3.4,27.7,2.45,0.75,0.57,27.4,0,0.57,0.57,2.64,Matches
61,DaMarcus Beasley/DaMarcus-Beasley,us USA,DF,Houston,36,1982,11.4,58.5,50.4,8.07,1.4,0.09,8.33,1.14,1.75,0.18,0.09,0.09,0,39.8,10.2,8.51,35.6,13.2,2.63,6.49,0.09,48.9,0.18,1.32,0.44,1.23,Matches
62,Kyle Beckerman/Kyle-Beckerman,us USA,MF,Real Salt Lake,36,1982,23.6,57,54.7,2.25,2.2,0.13,9.15,2.71,0.21,0,0,0,0,41.2,6.82,8.94,8.9,45.3,1.95,0,0.17,48.6,0.34,1.14,0.68,0.81,Matches
63,Alejandro Bedoya/Alejandro-Bedoya,us USA,MF,Philadelphia,31,1987,31.5,52.8,50.7,2.13,0.41,0.1,7.56,0.98,1.3,0.19,0.06,0,0,40.8,6.89,5.14,6.86,41.1,2.16,1.52,0.16,45.9,0.03,0.38,0.95,0.92,Matches
64,Dan Bedoya/Dan-Bedoya,co COL,FW,NYCFC,24,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
65,Steven Beitashour/Steven-Beitashour,ir IRN,DF,Los Angeles FC,31,1987,20.8,56.4,47.9,8.51,0.53,0.14,7.64,0.53,1.3,0.1,0,0,0,37.1,12.6,6.63,12.4,33.6,2.02,7.88,0.29,48.6,0.05,0.82,0.87,1.15,Matches
66,Joe Bendik/Joe-Bendik,us USA,GK,Columbus,29,1989,6,28,17.2,10.8,2.17,0,2.17,0.67,0,0,0,0,0,14.5,2.33,11.2,17.7,5.83,0,0,3.67,19.7,0.17,1,0,0,Matches
67,Nicolas Benezet/Nicolas-Benezet,fr FRA,FWMF,Toronto FC,27,1991,4.9,50.8,50.6,0.2,0.2,0,12.9,0.2,1.84,0,0,0,0,40.4,5.51,4.9,12.9,36.3,1.43,0,0,39.8,0.41,0.41,1.02,2.24,Matches
68,Leonardo Bertone/Leonardo-Bertone,ch SUI,MF,FC Cincinnati,24,1994,22.8,50.8,47.1,3.73,2.32,0,7.72,2.68,2.02,1.32,0.53,0.53,0.09,30.8,6.14,13.8,8.55,39.2,2.32,0.09,0.13,39.6,0.26,0.79,0.92,0.7,Matches
69,Matt Besler/Matt-Besler,us USA,DF,Sporting KC,31,1987,23.5,64.9,63.1,1.83,1.7,0.04,8.6,2,0.04,0,0,0,0,47.9,6.94,10.1,49.2,11.4,2.98,0.13,0.09,56.4,0.04,1.36,0.81,0.55,Matches
70,Nick Besler/Nick-Besler,us USA,MF,Real Salt Lake,25,1993,8.2,43.2,42.2,0.98,0.98,0.12,6.71,1.59,0.37,0,0,0,0,30.6,4.02,8.54,2.93,36,2.93,0,0.12,35,0.49,1.46,0.85,0.61,Matches
71,Vincent Bezecourt/Vincent-Bezecourt,fr FRA,MF,NY Red Bulls,25,1993,5,30.2,26.6,3.6,1,0,10.8,0.8,2.2,0.8,0,0.8,0,17.2,4.8,8.2,19.4,6,1.8,1.2,0.2,17.8,0,1,1.2,1.8,Matches
72,David Bingham/David-Bingham,us USA,GK,LA Galaxy,29,1989,33,31.2,18.1,13.1,3.18,0,1.58,1.03,0,0.03,0,0.03,0,11,1.67,18.5,1.67,22.4,0,0,4,20.6,0.15,0.79,0.12,0.06,Matches
73,Steve Birnbaum/Steve-Birnbaum,us USA,DF,D.C. United,28,1991,33.7,41.5,38.8,2.73,1.04,0,4.07,0.74,0.03,0,0,0,0,26.2,5.52,9.76,9.23,23.4,4.9,1.66,0.3,34.2,0.09,0.68,0.33,0.33,Matches
74,José Bizama/Jose-Bizama,cl CHI,DF,Houston,24,1994,3.9,47.7,36.9,10.8,0.77,0,8.21,0.51,3.08,0,0,0,0,23.1,10.3,14.4,2.05,33.3,1.54,10,0,35.9,0,0.51,0.51,3.08,Matches
75,Tristan Blackmon/Tristan-Blackmon,us USA,DF,Los Angeles FC,22,1996,15.3,65.4,60.5,4.9,1.5,0.07,7.52,0.92,0.33,0.07,0,0,0,50.1,10,5.29,12.9,46.2,1.83,3.33,0.2,58.3,0.07,0.85,0.85,1.24,Matches
76,Andre Blake/Andre-Blake,jm JAM,GK,Philadelphia,28,1990,25.6,27.5,19,8.52,1.37,0,1.64,0.43,0,0,0,0,0,12,1.41,14.1,1.68,19.5,0,0,5.08,19.2,0.04,0.59,0,0,Matches
77,Sebastián Blanco/Sebastian-Blanco,ar ARG,FWMF,Portland,30,1988,27.9,59.4,57,2.47,0.82,0.39,7.81,3.62,5.84,0.75,0.36,0.22,0.11,36.2,9.93,13.3,18.6,38.2,1.58,0.68,0.29,41.9,0.04,1.25,2.01,2.33,Matches
78,Latif Blessing/Latif-Blessing,gh GHA,MF,Los Angeles FC,22,1996,29.9,51.3,49.9,1.37,0.4,0.23,8.33,0.23,0.33,0.1,0,0,0,41.6,6.76,2.94,4.85,44.3,0.94,0.77,0.1,43.3,0.23,0.7,1.44,1.51,Matches
79,Johan Blomberg/Johan-Blomberg,se SWE,MFFW,Colorado,31,1987,1,36,35,1,0,0,3,1,3,0,0,0,0,22,9,5,2,29,3,1,1,26,0,3,1,3,Matches
80,Emmanuel Boateng/Emmanuel-Boateng,gh GHA,FWMF,LA Galaxy,25,1994,9.9,27.9,27.6,0.3,0,0.3,6.06,0.61,2.53,0.1,0,0,0,19.8,3.94,4.14,22,3.64,1.62,0.2,0.2,20.3,0,0.51,1.01,1.21,Matches
81,Emmanuel Boateng/Emmanuel-Boateng,gh GHA,FWMF,D.C. United,25,1994,0.6,33.3,31.7,1.67,0,0,5,1.67,3.33,0,0,0,0,26.7,3.33,3.33,28.3,3.33,0,1.67,0,28.3,0,1.67,1.67,1.67,Matches
82,Corben Bone/Corben-Bone,us USA,MFFW,FC Cincinnati,30,1988,2.1,48.1,44.8,3.33,0.48,0.48,5.71,0.95,0.48,0,0,0,0,36.7,6.67,4.76,5.24,39,0.48,2.38,0.48,42.4,0.48,0.95,0.48,0.48,Matches
83,Alex Bono/Alex-Bono,us USA,GK,Toronto FC,24,1994,6.2,26.5,16.8,9.68,2.58,0,1.45,0.48,0,0,0,0,0,11.3,2.42,12.7,1.77,18.2,0,0,4.84,17.6,0,1.13,0,0,Matches
84,Jonathan Bornstein/Jonathan-Bornstein,us USA,DF,Chicago,34,1984,10.1,44.4,36,8.32,0.5,0,6.34,0.89,1.19,0,0,0,0,23.7,9.5,11.2,27.7,5.35,2.67,7.82,0.3,35.2,0.1,0.69,0.89,0.79,Matches
85,Gustavo Bou/Gustavo-Bou,ar ARG,FWMF,New England,28,1990,12.8,34.5,31.9,2.66,0.23,0.23,5.7,1.33,1.56,0.31,0.08,0,0.08,22.4,6.64,5.47,3.75,29.1,0.7,0.86,0.16,24.2,0,0.78,0.94,1.33,Matches
86,Michael Boxall/Michael-Boxall,nz NZL,DF,Minnesota,30,1988,28.6,34.5,32.9,1.64,1.19,0.03,4.44,0.66,0.17,0,0,0,0,26.6,2.83,5.07,5.21,25.6,2.34,0.45,0.07,30.3,0.03,0.49,0.24,0.49,Matches
87,Terrence Boyd/Terrence-Boyd,us USA,FWMF,Toronto FC,27,1991,3.8,23.9,22.6,1.32,0,0,8.16,0,0.53,0,0,0,0,14.2,3.95,5.79,3.42,14.5,2.11,0.26,0.53,16.6,0,0,0.26,0.79,Matches
88,Michael Bradley/Michael-Bradley,us USA,MF,Toronto FC,31,1987,26.4,80.3,73.7,6.63,5.23,0.08,13.4,3.3,1.93,1.29,0.64,0.45,0.11,59.1,8.3,13,11.9,65.8,1.86,0.11,0.19,70.6,0.27,0.91,1.21,0.64,Matches
89,Zachary Brault-Guillard/Zachary-Brault-Guillard,ca CAN,DF,Montreal,20,1998,9.7,54.8,42.6,12.3,1.03,0.21,7.32,1.24,3.2,0,0,0,0,27.8,13.3,13.7,4.43,36.3,2.06,11.2,0.41,41.8,0.31,1.75,0.72,1.24,Matches
90,Bressan/Bressan,br BRA,DF,FC Dallas,26,1993,12.4,60,53.7,6.29,1.29,0,5.81,2.98,1.05,0,0,0,0,41.6,7.58,10.8,5.89,46.8,1.69,5,0.08,50.1,0.16,0.48,0.56,2.26,Matches
91,Shaft Brewer/Shaft-Brewer,us USA,DF,Los Angeles FC,19,1999,1,71,58,13,2,0,12,2,2,0,0,0,0,48,17,6,4,56,0,11,0,63,0,0,1,2,Matches
92,Frédéric Brillant/Frederic-Brillant,fr FRA,DF,D.C. United,33,1985,32.9,39.3,36.3,3.01,1.52,0.06,4.8,0.91,0.03,0,0,0,0,27.5,4.77,7.02,2.77,31.6,2.28,1.49,0.12,32.9,0.12,1.12,0.55,0.58,Matches
