"First","Last","Player","Season","Team","Games","Minutes","Pos","NumChains/96","TeamChain%","ChainShot%","PlayerShot%","PlayerKP%","xB/96","xGChain/96","xB%","xB% (0)","Comp ($K)"
"Collin","Martin","Collin Martin",2019,"MIN",3,205,"CM",28.5658536585366,0.241401580212985,0.213114754098361,0.0163934426229508,0.0491803278688525,0.496746529873895,0.633216000925402,0.78448196057575,1,105
"Samuel","Piette","Samuel Piette",2019,"MTL",25,2382,"CM",32.7254408060453,0.216782199298128,0.167487684729064,0.0135467980295567,0.0147783251231527,0.493798956153236,0.528089726795128,0.935066393262381,0.918994246484545,143.159
"Kevin","Molino","Kevin Molino",2019,"MIN",17,959,"Wing",28.830031282586,0.26973612097081,0.298611111111111,0.100694444444444,0.0729166666666667,0.492446708775627,0.992128706355402,0.496353654138924,0.582254490277328,546.254
"Alexander","Callens","Alexander Callens",2019,"NYC",24,2352,"CB",32.4489795918367,0.18743092905032,0.137106918238994,0.0188679245283019,0.00251572327044025,0.491969688437333,0.550732516392111,0.893300602005965,0.926766873450303,664
"Jorgen","Skjelvik","Jorgen Skjelvik",2019,"LAG",20,1810,"FB/WB",23.8674033149171,0.160130179905516,0.184444444444444,0.0133333333333333,0.0444444444444444,0.490853068438167,0.592856274274798,0.827946147721208,0.751253742004429,1066.667
"Bacary","Sagna","Bacary Sagna",2019,"MTL",26,2343,"FB/WB",33.1062740076825,0.220935093480427,0.143564356435644,0.0160891089108911,0.0272277227722772,0.490712456431167,0.548018554950458,0.895430368184392,0.901724043293054,705
"Chase","Gasper","Chase Gasper",2019,"MIN",15,1400,"FB/WB",26.4,0.189292543021033,0.18961038961039,0.012987012987013,0.0311688311688312,0.490072416625852,0.541300846801721,0.905360520903391,0.995689548317134,56.25
"Will","Johnson","Will Johnson",2019,"ORL",21,1814,"CM",29.3186328555678,0.213781697905182,0.171480144404332,0.0487364620938628,0.0216606498194946,0.489910522843538,0.55137526551054,0.888524664576511,0.857469567153616,491.004
"Julian","Araujo","Julian Araujo",2019,"LAG",18,973,"FB/WB",23.9753340184995,0.209391563480345,0.222222222222222,0.0288065843621399,0.0411522633744856,0.489874896585933,0.61218706961291,0.800204579452624,0.834263534963147,86.25
"Julio","Cascante","Julio Cascante",2019,"POR",22,1576,"CB",25.0355329949239,0.176872744344356,0.204379562043796,0.024330900243309,0.0072992700729927,0.48979911877401,0.639409547188848,0.766017837749534,0.669251956372333,170.004
"DeJuan","Jones","DeJuan Jones",2019,"NER",20,1416,"FB/WB",22.9152542372881,0.157493156270022,0.227810650887574,0.0384615384615385,0.029585798816568,0.488795318066678,0.712535349673177,0.685994481945179,0.745766498978992,56.25
"Edgar","Castillo","Edgar Castillo",2019,"NER",20,1802,"FB/WB",28.9278579356271,0.175161113748877,0.158379373848987,0.0276243093922652,0.0257826887661142,0.488453941647341,0.5755956613734,0.848606017081271,0.922531627902398,250
"Kenny","Saief","Kenny Saief",2019,"CIN",9,608,"F",25.8947368421053,0.169123825528989,0.170731707317073,0.0304878048780488,0.0670731707317073,0.485111090815428,0.834104250007419,0.581595275184263,0.620285451199381,1511.767
"Rodolfo","Zelaya","Rodolfo Zelaya",2019,"LAFC",4,130,"Wing",19.2,0.180705882352941,0.384615384615385,0.230769230769231,0.115384615384615,0.484291489786155,0.98569106367702,0.491321781877128,NA,185.833
"Kim","Kee-Hee","Kim Kee-Hee",2019,"SEA",30,2837,"CB",25.8188227000352,0.175161619403224,0.174311926605505,0.0170380078636959,0.00917431192660551,0.483351532697426,0.549126243149722,0.880219327936287,0.839257967713913,772
"Darwin","Quintero","Darwin Quintero",2019,"MIN",30,2324,"CAM",24.1239242685026,0.167876995605446,0.340753424657534,0.138698630136986,0.0873287671232877,0.482215039003979,0.997750571731277,0.483302192618391,0.500388286559042,1750
"Leonardo","Bertone","Leonardo Bertone",2019,"CIN",25,2221,"CDM",27.101305718145,0.191501594955801,0.178628389154705,0.0414673046251994,0.0239234449760766,0.482187416202016,0.544755260539533,0.885145038754562,0.857968596010398,496.667
"Sebastian","Saucedo","Sebastian Saucedo",2019,"RSL",26,1273,"Wing",27.3747054202671,0.23513126558538,0.316804407713499,0.110192837465565,0.0743801652892562,0.481785267456673,0.748154641945622,0.643964817492492,0.538367768312895,123
"David","Guzman","David Guzman",2019,"CLB,POR",21,1596,"CDM",30.1954887218045,0.209413891399569,0.175298804780877,0.0418326693227092,0.0219123505976096,0.479442685209611,0.568048162244814,0.844017668000102,0.793725896781815,320
"Anton","Tinnerholm","Anton Tinnerholm",2019,"NYC",30,2864,"FB/WB",31.4078212290503,0.184534789829908,0.208110992529349,0.0341515474919957,0.0309498399146211,0.478223591615255,0.665941993571739,0.718115986424481,0.702082961698258,581.725
"Claude","Dielna","Claude Dielna",2019,"POR",15,1199,"CB",29.9449541284404,0.201333174328375,0.219251336898396,0.0347593582887701,0.00802139037433155,0.476351446688186,0.551071783262594,0.864409068212438,0.925919958647707,600
