"Player" "Pos" "shots" "KP" "xG" "xA" "xPlace" "ShotDist" "KPDist" "A3Passes" "M3Passes" "D3Passes" "percChain" "xGChain" "xB" "Team" "ShotChainPerc" "KPChainPerc" "xBperc" "Vertical" "PassPct" "PassDistance" "TouchPerc" "xPassPerc" "Passes" "PassScore" "A3perc" "M3perc" "D3perc" "role" "subtype"
"Carlos Vela" "Wing" 3.86489252814739 1.8014329580348 0.513973313119685 0.243137267443966 0.165484275163601 20.2557609494957 18.0044666333306 26.431934493347 11.9877175025589 1.96211365902293 0.156400074516758 1.55482077855857 0.704820950206198 "LAFC" 0.187730061349693 0.10920245398773 0.453313307826784 1.19849568434032 0.668039538714992 18.7111291879187 0.0863869204629024 0.69073180322991 39.7625383828045 -0.902302038767198 0.664744645799012 0.301482701812192 0.0493457847216177 "A3" "creative forward"
"Eddie Segura" "CB" 0.0602447442736115 0.0602447442736115 0.00828397750557646 0.00220601208611594 -0.00828397750557646 12.5573484429753 27.7667072206588 3.69456322541234 30.6946972074051 27.4846008799497 0.207670534022981 0.739911493347358 0.703549393084073 "LAFC" 0.0129757785467128 0.00346020761245675 0.950856148890481 6.50375280269058 0.895132965378826 20.0072023205017 0.098829455390983 0.842872200124396 60.0338876686539 3.13741691076236 0.0615412955729905 0.511289513296538 0.457818108193258 "D3" "Back Third General"
"Diego Rossi" "Wing" 3.08771929824561 1.40350877192982 0.330539555464261 0.227957595726202 0.0822390166876534 19.6742328057646 19.0189963426682 19.7738791423002 12.6939571150097 2.31838344011828 0.143411794996466 1.21602119498861 0.700773900792561 "LAFC" 0.138780804150454 0.0609597924773022 0.576284281623171 -3.02187857961054 0.800917431192661 15.3524276786383 0.0726292688025123 0.798658246504263 33.9961013645224 0.0768034716679564 0.581651376146789 0.373394495412843 0.0681955679346719 "A3" "finisher"
"Carles Gil" "CM" 1.60828510508681 2.04690831556503 0.115562863201433 0.197587443026987 0.0438604899888988 23.172172958555 21.2206544759406 26.0834602497716 32.2241851964666 3.68860674908119 0.213701006605494 1.00195331035143 0.69929172311239 "NER" 0.0545004128819158 0.0850536746490504 0.697928452242066 4.18303549190535 0.761498340445709 19.8465118154695 0.136905669318715 0.758299537730788 61.6704233932379 0.197271517780618 0.422949265054529 0.522522522522522 0.0598116008635291 "A3" "creative forward"
"Matt Besler" "CB" 0 0.169611307420495 0 0.0190773224347858 0 0 22.5812488967444 0 36.0848056537102 29.9363957597173 0.226672904201115 0.708328890711217 0.698730612865853 "SKC" 0.00241837968561064 0.00725513905683192 0.986449405112183 6.38415498154982 0.854889589905363 21.8786005863729 0.123449390892895 0.816576179389016 67.208480565371 2.57498610608096 0 0.536908517350157 0.445425867507886 "D3" "Back Third General"
"Aleksandar Katai" "Wing" 3.98393574297189 1.19946452476573 0.258410650241188 0.330556026521265 -0.0574659482522149 23.8667290010902 13.7246980269172 24.4605087014726 14.479250334672 3.19838465421504 0.181971869062546 1.19958042365458 0.698503185270435 "CHI" 0.157650695517774 0.0510046367851623 0.582289583504884 -2.25120736698499 0.751794871794872 16.0420682503851 0.104986786643148 0.745119291616556 41.7670682730924 0.278819413070219 0.585641025641026 0.346666666666666 0.0765767095095716 "A3" "creative forward"
"Graham Zusi" "FB/WB" 0.567375886524823 0.756501182033097 0.0240083645241046 0.0874282077259335 -0.0135242818950579 26.7661116058213 17.4272345679914 15.3569739952719 35.3286052009456 14.4610492845787 0.226950354609929 0.798842003601688 0.697721300599199 "SKC" 0.0377969762419006 0.0226781857451404 0.873415891319469 2.10884588318086 0.826643397324026 19.3344157118744 0.124572534858536 0.788687941995886 65.0212765957447 2.46791215920842 0.236183827806865 0.543339150668993 0.222404881012827 "M3" "Indirect MF Creator"
"Marco Fabian" "CAM" 3.22147651006711 1.14541387024608 0.285551266408462 0.102983886256357 -0.0922577966316663 25.6150433687112 24.1487178209066 24.2684563758389 28.7069351230425 0 0.247058546837684 1.14536580884371 0.696047181133514 "PHI" 0.133757961783439 0.0573248407643312 0.60770731565333 0.901010802469135 0.83183568677792 17.7460089315815 0.115086065911732 0.831489608083901 55.7673378076063 0.0192998874374181 0.435173299101411 0.514762516046213 0 "A3" "creative forward"
"Steven Beitashour" "FB/WB" 0.239640539191213 0.575137294058912 0.0261051812029239 0.0596735210446905 0.0134547758084713 17.5565862268597 19.0997033094761 13.9950074887669 28.2296555167249 14.5222166749875 0.206174528730595 0.797522463440443 0.694695640956243 "LAFC" 0.00869565217391304 0.0231884057971014 0.871067177166881 -0.40273 0.844594594594595 16.7537758957266 0.0974426090314482 0.822314684235214 56.7468796804793 1.26431539245563 0.246621621621622 0.497466216216216 0.255912162162162 "M3" "Indirect MF Creator"
"Jorge Moreira" "FB/WB" 0.86735112936345 1.26160164271047 0.0467630690407268 0.0984611766888442 0.0200085879105056 24.7316100227854 19.5032340654309 20.7375770020534 26.7696098562628 11.5705470999589 0.21531997478226 0.809920470940982 0.693374448762195 "POR" 0.0320733104238259 0.0389461626575029 0.856101893506432 2.52312829525483 0.759679572763685 20.1977640613436 0.118492649166092 0.733420282190116 59.058726899384 1.55084027055597 0.351134846461949 0.453271028037383 0.195915958697707 "M3" "Direct MF Creator"
"Osvaldo Alonso" "CDM" 0.264671130366286 0.529342260732572 0.0145729896457894 0.0381050215926049 0.00161356998827506 32.1292404050487 23.6301680621127 6.28992628992629 38.1504529342261 12.6285939346199 0.236191359131544 0.781949181293534 0.68947716196349 "MIN" 0.0118152524167562 0.0150375939849624 0.881741650810257 5.31449458483755 0.921490352628077 19.7323810516184 0.114864166854769 0.867588652331315 56.8286727057897 3.06316208445026 0.110682266370889 0.671324018629408 0.222222222222222 "M3" "Indirect MF Creator"
"Joao Moutinho" "FB/WB" 0.436033308099924 0.726722180166541 0.0236074384372821 0.0716430018972489 -0.00335721539055061 23.3847199272308 16.9531738098245 17.7614678899083 29.0688872066616 13.0083270249811 0.204354154253844 0.736639010253635 0.686626896506243 "ORL" 0.0216346153846154 0.0288461538461538 0.932107703975421 1.63835884353742 0.716199756394641 16.7073865587018 0.117217217819712 0.728162803400158 59.663890991673 -0.713761932465451 0.297692081335882 0.487210718635809 0.218026796589525 "M3" "Indirect MF Creator"
"Nani" "Wing" 1.64773191663261 1.72619534123416 0.132450239444379 0.185774832741879 0.0600989467437801 23.6503823535697 20.1905442286984 26.0106252554148 26.0106252554148 4.64095600217273 0.208942546240996 0.994512963930357 0.685743872069493 "ORL" 0.0789473684210526 0.0828947368421053 0.689527333418967 1.56847521047708 0.75547703180212 17.6553471968609 0.120437735229724 0.753494510944446 55.5128729055987 0.110055428404782 0.468551236749117 0.468551236749117 0.0836014379955585 "A3" "creative forward"
"Gustav Svensson" "CDM" 0.296448790530108 0.49408131755018 0.00894597038085162 0.0215605663689747 -0.0056063095418389 31.0258414752252 27.3737042893512 5.11331592689295 40.0699948533196 14.0319094184251 0.217784102043702 0.788869085065775 0.683420337131482 "SEA" 0.0282317979197623 0.0178306092124814 0.866329217444868 6.77872126436782 0.87218045112782 22.2552846758951 0.108717560114038 0.83339911718435 59.1415337107566 2.2935875687658 0.0864589672614957 0.677527151211361 0.237259816207184 "M3" "Indirect MF Creator"
